IMAGE 2081024 e6fe8084941e23c2a2f628e2e4228be42e5b6ffde409372c5f6816eaaeff7e1f
RAM REUSE VERIFIED 692224
RAM REUSE VERIFIED 696320
RAM REUSE VERIFIED 700416
CRC VERIFIED 708608/2081024 (189.2s)
CRC VERIFIED 712704/2081024 (190.4s)
CRC VERIFIED 716800/2081024 (191.6s)
CRC VERIFIED 720896/2081024 (192.8s)
CRC VERIFIED 724992/2081024 (194.0s)
CRC VERIFIED 729088/2081024 (195.2s)
CRC VERIFIED 733184/2081024 (196.4s)
CRC VERIFIED 737280/2081024 (197.6s)
CRC VERIFIED 741376/2081024 (198.9s)
CRC VERIFIED 745472/2081024 (200.1s)
CRC VERIFIED 749568/2081024 (201.3s)
CRC VERIFIED 753664/2081024 (202.5s)
CRC VERIFIED 757760/2081024 (203.7s)
CRC VERIFIED 761856/2081024 (204.9s)
CRC VERIFIED 765952/2081024 (206.1s)
CRC VERIFIED 770048/2081024 (207.3s)
CRC VERIFIED 774144/2081024 (208.5s)
CRC VERIFIED 778240/2081024 (209.7s)
CRC VERIFIED 782336/2081024 (210.9s)
CRC VERIFIED 786432/2081024 (212.1s)
CRC VERIFIED 790528/2081024 (212.6s)
CRC VERIFIED 794624/2081024 (213.2s)
CRC VERIFIED 798720/2081024 (214.4s)
RAM REUSE VERIFIED 798720
RAM REUSE VERIFIED 802816
RAM REUSE VERIFIED 806912
RAM REUSE VERIFIED 811008
RAM REUSE VERIFIED 815104
RAM REUSE VERIFIED 819200
RAM REUSE VERIFIED 823296
RAM REUSE VERIFIED 827392
CRC VERIFIED 835584/2081024 (216.1s)
RAM REUSE VERIFIED 835584
RAM REUSE VERIFIED 839680
CRC VERIFIED 847872/2081024 (217.4s)
RAM REUSE VERIFIED 847872
RAM REUSE VERIFIED 851968
RAM REUSE VERIFIED 856064
RAM REUSE VERIFIED 860160
RAM REUSE VERIFIED 864256
RAM REUSE VERIFIED 868352
RAM REUSE VERIFIED 872448
CRC VERIFIED 880640/2081024 (219.0s)
CRC VERIFIED 884736/2081024 (220.0s)
CRC VERIFIED 888832/2081024 (220.8s)
CRC VERIFIED 892928/2081024 (221.7s)
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
RAM REUSE VERIFIED 942080
RAM REUSE VERIFIED 946176
RAM REUSE VERIFIED 950272
RAM REUSE VERIFIED 954368
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
RAM REUSE VERIFIED 999424
RAM REUSE VERIFIED 1003520
RAM REUSE VERIFIED 1007616
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
CRC VERIFIED 2048000/2081024 (240.6s)
RAM REUSE VERIFIED 2048000
RAM REUSE VERIFIED 2052096
CRC VERIFIED 2060288/2081024 (241.8s)
CRC VERIFIED 2064384/2081024 (242.8s)
CRC VERIFIED 2068480/2081024 (243.7s)
CRC VERIFIED 2072576/2081024 (244.0s)
CRC VERIFIED 2076672/2081024 (244.4s)
CRC VERIFIED 2080768/2081024 (244.7s)
CRC VERIFIED 2081024/2081024 (244.8s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (244.8s)
CRC VERIFIED 8192/193224 (244.8s)
CRC VERIFIED 12288/193224 (244.8s)
CRC VERIFIED 16384/193224 (244.8s)
CRC VERIFIED 20480/193224 (244.9s)
CRC VERIFIED 24576/193224 (244.9s)
CRC VERIFIED 28672/193224 (244.9s)
CRC VERIFIED 32768/193224 (244.9s)
CRC VERIFIED 36864/193224 (244.9s)
CRC VERIFIED 40960/193224 (244.9s)
CRC VERIFIED 45056/193224 (245.0s)
CRC VERIFIED 49152/193224 (245.0s)
CRC VERIFIED 53248/193224 (245.0s)
CRC VERIFIED 57344/193224 (245.0s)
CRC VERIFIED 61440/193224 (245.0s)
CRC VERIFIED 65536/193224 (245.0s)
CRC VERIFIED 69632/193224 (245.1s)
CRC VERIFIED 73728/193224 (245.1s)
CRC VERIFIED 77824/193224 (245.1s)
CRC VERIFIED 81920/193224 (245.1s)
CRC VERIFIED 86016/193224 (245.1s)
CRC VERIFIED 90112/193224 (245.1s)
CRC VERIFIED 94208/193224 (245.2s)
CRC VERIFIED 98304/193224 (245.2s)
CRC VERIFIED 102400/193224 (245.2s)
CRC VERIFIED 106496/193224 (245.2s)
CRC VERIFIED 110592/193224 (245.2s)
CRC VERIFIED 114688/193224 (245.2s)
CRC VERIFIED 118784/193224 (245.2s)
CRC VERIFIED 122880/193224 (245.3s)
CRC VERIFIED 126976/193224 (245.3s)
CRC VERIFIED 131072/193224 (245.3s)
CRC VERIFIED 135168/193224 (245.3s)
CRC VERIFIED 139264/193224 (245.3s)
CRC VERIFIED 143360/193224 (245.3s)
CRC VERIFIED 147456/193224 (245.4s)
CRC VERIFIED 151552/193224 (245.4s)
CRC VERIFIED 155648/193224 (245.4s)
CRC VERIFIED 159744/193224 (245.4s)
CRC VERIFIED 163840/193224 (245.4s)
CRC VERIFIED 167936/193224 (245.4s)
CRC VERIFIED 172032/193224 (245.5s)
CRC VERIFIED 176128/193224 (245.5s)
CRC VERIFIED 180224/193224 (245.5s)
CRC VERIFIED 184320/193224 (245.5s)
CRC VERIFIED 188416/193224 (245.5s)
CRC VERIFIED 192512/193224 (245.5s)
CRC VERIFIED 193224/193224 (245.5s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (245.6s)
CRC VERIFIED 8192/356616 (245.6s)
CRC VERIFIED 12288/356616 (245.6s)
CRC VERIFIED 16384/356616 (245.6s)
CRC VERIFIED 20480/356616 (245.6s)
CRC VERIFIED 24576/356616 (245.7s)
CRC VERIFIED 28672/356616 (245.7s)
CRC VERIFIED 32768/356616 (245.7s)
CRC VERIFIED 36864/356616 (245.7s)
CRC VERIFIED 40960/356616 (245.7s)
CRC VERIFIED 45056/356616 (245.7s)
CRC VERIFIED 49152/356616 (245.8s)
CRC VERIFIED 53248/356616 (245.8s)
CRC VERIFIED 57344/356616 (245.8s)
CRC VERIFIED 61440/356616 (245.8s)
CRC VERIFIED 65536/356616 (245.8s)
CRC VERIFIED 69632/356616 (245.8s)
CRC VERIFIED 73728/356616 (245.8s)
CRC VERIFIED 77824/356616 (245.9s)
CRC VERIFIED 81920/356616 (245.9s)
CRC VERIFIED 86016/356616 (245.9s)
CRC VERIFIED 90112/356616 (245.9s)
CRC VERIFIED 94208/356616 (245.9s)
CRC VERIFIED 98304/356616 (245.9s)
CRC VERIFIED 102400/356616 (246.0s)
CRC VERIFIED 106496/356616 (246.0s)
CRC VERIFIED 110592/356616 (246.0s)
CRC VERIFIED 114688/356616 (246.0s)
CRC VERIFIED 118784/356616 (246.0s)
CRC VERIFIED 122880/356616 (246.0s)
CRC VERIFIED 126976/356616 (246.0s)
CRC VERIFIED 131072/356616 (246.1s)
CRC VERIFIED 135168/356616 (246.1s)
CRC VERIFIED 139264/356616 (246.1s)
CRC VERIFIED 143360/356616 (246.1s)
CRC VERIFIED 147456/356616 (246.1s)
CRC VERIFIED 151552/356616 (246.1s)
CRC VERIFIED 155648/356616 (246.2s)
CRC VERIFIED 159744/356616 (246.2s)
CRC VERIFIED 163840/356616 (246.2s)
CRC VERIFIED 167936/356616 (246.2s)
CRC VERIFIED 172032/356616 (246.2s)
CRC VERIFIED 176128/356616 (246.2s)
CRC VERIFIED 180224/356616 (246.2s)
CRC VERIFIED 184320/356616 (246.3s)
CRC VERIFIED 188416/356616 (246.3s)
CRC VERIFIED 192512/356616 (246.3s)
CRC VERIFIED 196608/356616 (246.3s)
CRC VERIFIED 200704/356616 (246.3s)
CRC VERIFIED 204800/356616 (246.3s)
CRC VERIFIED 208896/356616 (246.4s)
CRC VERIFIED 212992/356616 (246.4s)
CRC VERIFIED 217088/356616 (246.4s)
CRC VERIFIED 221184/356616 (246.4s)
CRC VERIFIED 225280/356616 (246.4s)
CRC VERIFIED 229376/356616 (246.4s)
CRC VERIFIED 233472/356616 (246.5s)
CRC VERIFIED 237568/356616 (246.5s)
CRC VERIFIED 241664/356616 (246.5s)
CRC VERIFIED 245760/356616 (246.5s)
CRC VERIFIED 249856/356616 (246.5s)
CRC VERIFIED 253952/356616 (246.5s)
CRC VERIFIED 258048/356616 (246.5s)
CRC VERIFIED 262144/356616 (246.6s)
CRC VERIFIED 266240/356616 (246.6s)
CRC VERIFIED 270336/356616 (246.6s)
CRC VERIFIED 274432/356616 (246.6s)
CRC VERIFIED 278528/356616 (246.6s)
CRC VERIFIED 282624/356616 (246.6s)
CRC VERIFIED 286720/356616 (246.7s)
CRC VERIFIED 290816/356616 (246.7s)
CRC VERIFIED 294912/356616 (246.7s)
CRC VERIFIED 299008/356616 (246.7s)
CRC VERIFIED 303104/356616 (246.7s)
CRC VERIFIED 307200/356616 (246.7s)
CRC VERIFIED 311296/356616 (246.8s)
CRC VERIFIED 315392/356616 (246.8s)
CRC VERIFIED 319488/356616 (246.8s)
CRC VERIFIED 323584/356616 (246.8s)
CRC VERIFIED 327680/356616 (246.8s)
CRC VERIFIED 331776/356616 (246.8s)
CRC VERIFIED 335872/356616 (246.8s)
CRC VERIFIED 339968/356616 (246.9s)
CRC VERIFIED 344064/356616 (246.9s)
CRC VERIFIED 348160/356616 (246.9s)
CRC VERIFIED 352256/356616 (246.9s)
CRC VERIFIED 356352/356616 (246.9s)
CRC VERIFIED 356616/356616 (246.9s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (247.0s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (247.0s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

