IMAGE 2089240 06320f4b86326ea91d682fb6192dad5c64f7893279f9d73ed57490f80b9fe10b
CRC VERIFIED 327680/2089240 (96.5s)
CRC VERIFIED 331776/2089240 (97.7s)
CRC VERIFIED 335872/2089240 (98.9s)
CRC VERIFIED 339968/2089240 (100.1s)
CRC VERIFIED 344064/2089240 (101.3s)
CRC VERIFIED 348160/2089240 (102.5s)
CRC VERIFIED 352256/2089240 (103.7s)
CRC VERIFIED 356352/2089240 (104.9s)
CRC VERIFIED 360448/2089240 (106.1s)
CRC VERIFIED 364544/2089240 (107.3s)
CRC VERIFIED 368640/2089240 (108.5s)
CRC VERIFIED 372736/2089240 (109.7s)
CRC VERIFIED 376832/2089240 (110.9s)
CRC VERIFIED 380928/2089240 (112.1s)
CRC VERIFIED 385024/2089240 (113.4s)
CRC VERIFIED 389120/2089240 (114.6s)
CRC VERIFIED 393216/2089240 (115.8s)
CRC VERIFIED 397312/2089240 (117.0s)
CRC VERIFIED 401408/2089240 (118.2s)
CRC VERIFIED 405504/2089240 (119.4s)
CRC VERIFIED 409600/2089240 (120.6s)
CRC VERIFIED 413696/2089240 (121.8s)
CRC VERIFIED 417792/2089240 (123.0s)
CRC VERIFIED 421888/2089240 (124.2s)
CRC VERIFIED 425984/2089240 (125.4s)
CRC VERIFIED 430080/2089240 (126.6s)
CRC VERIFIED 434176/2089240 (127.8s)
CRC VERIFIED 438272/2089240 (127.8s)
CRC VERIFIED 442368/2089240 (127.8s)
CRC VERIFIED 446464/2089240 (127.8s)
CRC VERIFIED 450560/2089240 (127.8s)
CRC VERIFIED 454656/2089240 (127.9s)
CRC VERIFIED 458752/2089240 (127.9s)
CRC VERIFIED 462848/2089240 (127.9s)
CRC VERIFIED 466944/2089240 (127.9s)
CRC VERIFIED 471040/2089240 (127.9s)
CRC VERIFIED 475136/2089240 (127.9s)
CRC VERIFIED 479232/2089240 (128.0s)
CRC VERIFIED 483328/2089240 (128.0s)
CRC VERIFIED 487424/2089240 (128.0s)
CRC VERIFIED 491520/2089240 (128.0s)
CRC VERIFIED 495616/2089240 (128.0s)
CRC VERIFIED 499712/2089240 (128.0s)
CRC VERIFIED 503808/2089240 (128.0s)
CRC VERIFIED 507904/2089240 (128.1s)
CRC VERIFIED 512000/2089240 (128.1s)
CRC VERIFIED 516096/2089240 (128.1s)
CRC VERIFIED 520192/2089240 (128.1s)
CRC VERIFIED 524288/2089240 (128.1s)
CRC VERIFIED 528384/2089240 (128.1s)
CRC VERIFIED 532480/2089240 (128.2s)
CRC VERIFIED 536576/2089240 (128.2s)
CRC VERIFIED 540672/2089240 (128.2s)
CRC VERIFIED 544768/2089240 (128.2s)
CRC VERIFIED 548864/2089240 (128.2s)
CRC VERIFIED 552960/2089240 (128.2s)
CRC VERIFIED 557056/2089240 (128.2s)
CRC VERIFIED 561152/2089240 (128.3s)
CRC VERIFIED 565248/2089240 (128.3s)
CRC VERIFIED 569344/2089240 (128.3s)
CRC VERIFIED 573440/2089240 (128.3s)
CRC VERIFIED 577536/2089240 (128.3s)
CRC VERIFIED 581632/2089240 (128.3s)
CRC VERIFIED 585728/2089240 (128.4s)
CRC VERIFIED 589824/2089240 (128.4s)
CRC VERIFIED 593920/2089240 (128.4s)
CRC VERIFIED 598016/2089240 (128.4s)
CRC VERIFIED 602112/2089240 (128.4s)
CRC VERIFIED 606208/2089240 (128.4s)
CRC VERIFIED 610304/2089240 (128.5s)
CRC VERIFIED 614400/2089240 (128.5s)
CRC VERIFIED 618496/2089240 (128.5s)
CRC VERIFIED 622592/2089240 (128.5s)
CRC VERIFIED 626688/2089240 (128.5s)
CRC VERIFIED 630784/2089240 (128.5s)
CRC VERIFIED 634880/2089240 (128.5s)
CRC VERIFIED 638976/2089240 (128.6s)
CRC VERIFIED 643072/2089240 (128.6s)
CRC VERIFIED 647168/2089240 (128.6s)
CRC VERIFIED 651264/2089240 (128.6s)
CRC VERIFIED 655360/2089240 (128.6s)
CRC VERIFIED 659456/2089240 (128.6s)
CRC VERIFIED 663552/2089240 (128.7s)
CRC VERIFIED 667648/2089240 (128.7s)
CRC VERIFIED 671744/2089240 (128.7s)
CRC VERIFIED 675840/2089240 (128.7s)
CRC VERIFIED 679936/2089240 (128.7s)
CRC VERIFIED 684032/2089240 (128.7s)
CRC VERIFIED 688128/2089240 (128.8s)
CRC VERIFIED 692224/2089240 (128.8s)
CRC VERIFIED 696320/2089240 (128.8s)
CRC VERIFIED 700416/2089240 (128.8s)
CRC VERIFIED 704512/2089240 (128.8s)
CRC VERIFIED 708608/2089240 (128.8s)
CRC VERIFIED 712704/2089240 (128.9s)
CRC VERIFIED 716800/2089240 (128.9s)
CRC VERIFIED 720896/2089240 (128.9s)
CRC VERIFIED 724992/2089240 (128.9s)
CRC VERIFIED 729088/2089240 (128.9s)
CRC VERIFIED 733184/2089240 (128.9s)
CRC VERIFIED 737280/2089240 (129.0s)
CRC VERIFIED 741376/2089240 (129.0s)
CRC VERIFIED 745472/2089240 (129.0s)
CRC VERIFIED 749568/2089240 (129.0s)
CRC VERIFIED 753664/2089240 (129.0s)
CRC VERIFIED 757760/2089240 (129.0s)
CRC VERIFIED 761856/2089240 (129.0s)
CRC VERIFIED 765952/2089240 (129.1s)
CRC VERIFIED 770048/2089240 (129.1s)
CRC VERIFIED 774144/2089240 (129.1s)
CRC VERIFIED 778240/2089240 (129.1s)
CRC VERIFIED 782336/2089240 (129.1s)
CRC VERIFIED 786432/2089240 (129.1s)
CRC VERIFIED 790528/2089240 (129.2s)
CRC VERIFIED 794624/2089240 (129.2s)
CRC VERIFIED 798720/2089240 (129.2s)
CRC VERIFIED 802816/2089240 (129.2s)
CRC VERIFIED 806912/2089240 (129.2s)
CRC VERIFIED 811008/2089240 (129.2s)
CRC VERIFIED 815104/2089240 (129.2s)
CRC VERIFIED 819200/2089240 (129.3s)
CRC VERIFIED 823296/2089240 (129.3s)
CRC VERIFIED 827392/2089240 (129.3s)
CRC VERIFIED 831488/2089240 (129.3s)
CRC VERIFIED 835584/2089240 (129.3s)
CRC VERIFIED 839680/2089240 (129.3s)
CRC VERIFIED 843776/2089240 (129.4s)
CRC VERIFIED 847872/2089240 (129.4s)
CRC VERIFIED 851968/2089240 (129.4s)
CRC VERIFIED 856064/2089240 (129.4s)
CRC VERIFIED 860160/2089240 (129.4s)
CRC VERIFIED 864256/2089240 (129.4s)
CRC VERIFIED 868352/2089240 (129.5s)
CRC VERIFIED 872448/2089240 (129.5s)
CRC VERIFIED 876544/2089240 (129.5s)
CRC VERIFIED 880640/2089240 (129.5s)
CRC VERIFIED 884736/2089240 (129.5s)
CRC VERIFIED 888832/2089240 (129.5s)
CRC VERIFIED 892928/2089240 (129.5s)
CRC VERIFIED 897024/2089240 (129.6s)
CRC VERIFIED 901120/2089240 (129.6s)
CRC VERIFIED 905216/2089240 (129.6s)
CRC VERIFIED 909312/2089240 (129.6s)
CRC VERIFIED 913408/2089240 (129.6s)
CRC VERIFIED 917504/2089240 (129.6s)
CRC VERIFIED 921600/2089240 (129.7s)
CRC VERIFIED 925696/2089240 (129.7s)
CRC VERIFIED 929792/2089240 (129.7s)
CRC VERIFIED 933888/2089240 (129.7s)
CRC VERIFIED 937984/2089240 (129.7s)
CRC VERIFIED 942080/2089240 (129.7s)
CRC VERIFIED 946176/2089240 (129.8s)
CRC VERIFIED 950272/2089240 (129.8s)
CRC VERIFIED 954368/2089240 (129.8s)
CRC VERIFIED 958464/2089240 (129.8s)
CRC VERIFIED 962560/2089240 (129.8s)
CRC VERIFIED 966656/2089240 (129.8s)
CRC VERIFIED 970752/2089240 (129.8s)
CRC VERIFIED 974848/2089240 (129.9s)
CRC VERIFIED 978944/2089240 (129.9s)
CRC VERIFIED 983040/2089240 (129.9s)
CRC VERIFIED 987136/2089240 (129.9s)
CRC VERIFIED 991232/2089240 (129.9s)
CRC VERIFIED 995328/2089240 (129.9s)
CRC VERIFIED 999424/2089240 (130.0s)
CRC VERIFIED 1003520/2089240 (130.0s)
CRC VERIFIED 1007616/2089240 (130.0s)
CRC VERIFIED 1011712/2089240 (130.0s)
CRC VERIFIED 1015808/2089240 (130.0s)
CRC VERIFIED 1019904/2089240 (130.0s)
CRC VERIFIED 1024000/2089240 (130.0s)
CRC VERIFIED 1028096/2089240 (130.1s)
CRC VERIFIED 1032192/2089240 (130.1s)
CRC VERIFIED 1036288/2089240 (130.1s)
CRC VERIFIED 1040384/2089240 (130.1s)
CRC VERIFIED 1044480/2089240 (130.1s)
CRC VERIFIED 1048576/2089240 (130.1s)
CRC VERIFIED 1052672/2089240 (130.2s)
CRC VERIFIED 1056768/2089240 (130.2s)
CRC VERIFIED 1060864/2089240 (130.2s)
CRC VERIFIED 1064960/2089240 (130.2s)
CRC VERIFIED 1069056/2089240 (130.2s)
CRC VERIFIED 1073152/2089240 (130.2s)
CRC VERIFIED 1077248/2089240 (130.2s)
CRC VERIFIED 1081344/2089240 (130.3s)
CRC VERIFIED 1085440/2089240 (130.3s)
CRC VERIFIED 1089536/2089240 (130.3s)
CRC VERIFIED 1093632/2089240 (130.3s)
CRC VERIFIED 1097728/2089240 (130.3s)
CRC VERIFIED 1101824/2089240 (130.3s)
CRC VERIFIED 1105920/2089240 (130.4s)
CRC VERIFIED 1110016/2089240 (130.4s)
CRC VERIFIED 1114112/2089240 (130.4s)
CRC VERIFIED 1118208/2089240 (130.4s)
CRC VERIFIED 1122304/2089240 (130.4s)
CRC VERIFIED 1126400/2089240 (130.4s)
CRC VERIFIED 1130496/2089240 (130.5s)
CRC VERIFIED 1134592/2089240 (130.5s)
CRC VERIFIED 1138688/2089240 (130.5s)
CRC VERIFIED 1142784/2089240 (130.5s)
CRC VERIFIED 1146880/2089240 (130.5s)
CRC VERIFIED 1150976/2089240 (130.5s)
CRC VERIFIED 1155072/2089240 (130.5s)
CRC VERIFIED 1159168/2089240 (130.6s)
CRC VERIFIED 1163264/2089240 (130.6s)
CRC VERIFIED 1167360/2089240 (130.6s)
CRC VERIFIED 1171456/2089240 (130.6s)
CRC VERIFIED 1175552/2089240 (130.6s)
CRC VERIFIED 1179648/2089240 (130.6s)
CRC VERIFIED 1183744/2089240 (130.7s)
CRC VERIFIED 1187840/2089240 (130.7s)
CRC VERIFIED 1191936/2089240 (130.7s)
CRC VERIFIED 1196032/2089240 (130.7s)
CRC VERIFIED 1200128/2089240 (130.7s)
CRC VERIFIED 1204224/2089240 (130.7s)
CRC VERIFIED 1208320/2089240 (130.8s)
CRC VERIFIED 1212416/2089240 (130.8s)
CRC VERIFIED 1216512/2089240 (130.8s)
CRC VERIFIED 1220608/2089240 (130.8s)
CRC VERIFIED 1224704/2089240 (130.8s)
CRC VERIFIED 1228800/2089240 (130.8s)
CRC VERIFIED 1232896/2089240 (130.8s)
CRC VERIFIED 1236992/2089240 (130.9s)
CRC VERIFIED 1241088/2089240 (130.9s)
CRC VERIFIED 1245184/2089240 (130.9s)
CRC VERIFIED 1249280/2089240 (130.9s)
CRC VERIFIED 1253376/2089240 (130.9s)
CRC VERIFIED 1257472/2089240 (130.9s)
CRC VERIFIED 1261568/2089240 (131.0s)
CRC VERIFIED 1265664/2089240 (131.0s)
CRC VERIFIED 1269760/2089240 (131.0s)
CRC VERIFIED 1273856/2089240 (131.0s)
CRC VERIFIED 1277952/2089240 (131.0s)
CRC VERIFIED 1282048/2089240 (131.0s)
CRC VERIFIED 1286144/2089240 (131.0s)
CRC VERIFIED 1290240/2089240 (131.1s)
CRC VERIFIED 1294336/2089240 (131.1s)
CRC VERIFIED 1298432/2089240 (131.1s)
CRC VERIFIED 1302528/2089240 (131.1s)
CRC VERIFIED 1306624/2089240 (131.1s)
CRC VERIFIED 1310720/2089240 (131.2s)
CRC VERIFIED 1314816/2089240 (131.2s)
CRC VERIFIED 1318912/2089240 (131.2s)
CRC VERIFIED 1323008/2089240 (131.2s)
CRC VERIFIED 1327104/2089240 (131.2s)
CRC VERIFIED 1331200/2089240 (131.2s)
CRC VERIFIED 1335296/2089240 (131.2s)
CRC VERIFIED 1339392/2089240 (131.3s)
CRC VERIFIED 1343488/2089240 (131.3s)
CRC VERIFIED 1347584/2089240 (131.3s)
CRC VERIFIED 1351680/2089240 (131.3s)
CRC VERIFIED 1355776/2089240 (131.3s)
CRC VERIFIED 1359872/2089240 (131.3s)
CRC VERIFIED 1363968/2089240 (131.4s)
CRC VERIFIED 1368064/2089240 (131.4s)
CRC VERIFIED 1372160/2089240 (131.4s)
CRC VERIFIED 1376256/2089240 (131.4s)
CRC VERIFIED 1380352/2089240 (131.4s)
CRC VERIFIED 1384448/2089240 (131.4s)
CRC VERIFIED 1388544/2089240 (131.5s)
CRC VERIFIED 1392640/2089240 (131.5s)
CRC VERIFIED 1396736/2089240 (131.5s)
CRC VERIFIED 1400832/2089240 (131.5s)
CRC VERIFIED 1404928/2089240 (131.5s)
CRC VERIFIED 1409024/2089240 (131.5s)
CRC VERIFIED 1413120/2089240 (131.5s)
CRC VERIFIED 1417216/2089240 (131.6s)
CRC VERIFIED 1421312/2089240 (131.6s)
CRC VERIFIED 1425408/2089240 (131.6s)
CRC VERIFIED 1429504/2089240 (131.6s)
CRC VERIFIED 1433600/2089240 (131.6s)
CRC VERIFIED 1437696/2089240 (131.6s)
CRC VERIFIED 1441792/2089240 (131.7s)
CRC VERIFIED 1445888/2089240 (131.7s)
CRC VERIFIED 1449984/2089240 (131.7s)
CRC VERIFIED 1454080/2089240 (131.7s)
CRC VERIFIED 1458176/2089240 (131.7s)
CRC VERIFIED 1462272/2089240 (131.7s)
CRC VERIFIED 1466368/2089240 (131.8s)
CRC VERIFIED 1470464/2089240 (131.8s)
CRC VERIFIED 1474560/2089240 (131.8s)
CRC VERIFIED 1478656/2089240 (131.8s)
CRC VERIFIED 1482752/2089240 (131.8s)
CRC VERIFIED 1486848/2089240 (131.8s)
CRC VERIFIED 1490944/2089240 (131.8s)
CRC VERIFIED 1495040/2089240 (131.9s)
CRC VERIFIED 1499136/2089240 (131.9s)
CRC VERIFIED 1503232/2089240 (131.9s)
CRC VERIFIED 1507328/2089240 (131.9s)
CRC VERIFIED 1511424/2089240 (131.9s)
CRC VERIFIED 1515520/2089240 (131.9s)
CRC VERIFIED 1519616/2089240 (132.0s)
CRC VERIFIED 1523712/2089240 (132.0s)
CRC VERIFIED 1527808/2089240 (132.0s)
CRC VERIFIED 1531904/2089240 (132.0s)
CRC VERIFIED 1536000/2089240 (132.0s)
CRC VERIFIED 1540096/2089240 (132.0s)
CRC VERIFIED 1544192/2089240 (132.0s)
CRC VERIFIED 1548288/2089240 (132.1s)
CRC VERIFIED 1552384/2089240 (132.1s)
CRC VERIFIED 1556480/2089240 (132.1s)
CRC VERIFIED 1560576/2089240 (132.1s)
CRC VERIFIED 1564672/2089240 (132.1s)
CRC VERIFIED 1568768/2089240 (132.1s)
CRC VERIFIED 1572864/2089240 (132.2s)
CRC VERIFIED 1576960/2089240 (132.2s)
CRC VERIFIED 1581056/2089240 (132.2s)
CRC VERIFIED 1585152/2089240 (132.2s)
CRC VERIFIED 1589248/2089240 (132.2s)
CRC VERIFIED 1593344/2089240 (132.2s)
CRC VERIFIED 1597440/2089240 (132.2s)
CRC VERIFIED 1601536/2089240 (132.3s)
CRC VERIFIED 1605632/2089240 (132.3s)
CRC VERIFIED 1609728/2089240 (132.3s)
CRC VERIFIED 1613824/2089240 (132.3s)
CRC VERIFIED 1617920/2089240 (132.3s)
CRC VERIFIED 1622016/2089240 (132.3s)
CRC VERIFIED 1626112/2089240 (132.4s)
CRC VERIFIED 1630208/2089240 (132.4s)
CRC VERIFIED 1634304/2089240 (132.4s)
CRC VERIFIED 1638400/2089240 (132.4s)
CRC VERIFIED 1642496/2089240 (132.4s)
CRC VERIFIED 1646592/2089240 (132.4s)
CRC VERIFIED 1650688/2089240 (132.5s)
CRC VERIFIED 1654784/2089240 (132.5s)
CRC VERIFIED 1658880/2089240 (132.5s)
CRC VERIFIED 1662976/2089240 (132.5s)
CRC VERIFIED 1667072/2089240 (132.5s)
CRC VERIFIED 1671168/2089240 (132.5s)
CRC VERIFIED 1675264/2089240 (132.5s)
CRC VERIFIED 1679360/2089240 (132.6s)
CRC VERIFIED 1683456/2089240 (132.6s)
CRC VERIFIED 1687552/2089240 (132.6s)
CRC VERIFIED 1691648/2089240 (132.6s)
CRC VERIFIED 1695744/2089240 (132.6s)
CRC VERIFIED 1699840/2089240 (132.6s)
CRC VERIFIED 1703936/2089240 (132.7s)
CRC VERIFIED 1708032/2089240 (132.7s)
CRC VERIFIED 1712128/2089240 (132.7s)
CRC VERIFIED 1716224/2089240 (132.7s)
CRC VERIFIED 1720320/2089240 (132.7s)
CRC VERIFIED 1724416/2089240 (132.7s)
CRC VERIFIED 1728512/2089240 (132.8s)
CRC VERIFIED 1732608/2089240 (132.8s)
CRC VERIFIED 1736704/2089240 (132.8s)
CRC VERIFIED 1740800/2089240 (132.8s)
CRC VERIFIED 1744896/2089240 (132.8s)
CRC VERIFIED 1748992/2089240 (132.8s)
CRC VERIFIED 1753088/2089240 (132.8s)
CRC VERIFIED 1757184/2089240 (132.9s)
CRC VERIFIED 1761280/2089240 (132.9s)
CRC VERIFIED 1765376/2089240 (132.9s)
CRC VERIFIED 1769472/2089240 (132.9s)
CRC VERIFIED 1773568/2089240 (132.9s)
CRC VERIFIED 1777664/2089240 (132.9s)
CRC VERIFIED 1781760/2089240 (133.0s)
CRC VERIFIED 1785856/2089240 (133.0s)
CRC VERIFIED 1789952/2089240 (133.0s)
CRC VERIFIED 1794048/2089240 (133.0s)
CRC VERIFIED 1798144/2089240 (133.0s)
CRC VERIFIED 1802240/2089240 (133.0s)
CRC VERIFIED 1806336/2089240 (133.1s)
CRC VERIFIED 1810432/2089240 (133.1s)
CRC VERIFIED 1814528/2089240 (133.1s)
CRC VERIFIED 1818624/2089240 (133.1s)
CRC VERIFIED 1822720/2089240 (133.1s)
CRC VERIFIED 1826816/2089240 (133.1s)
CRC VERIFIED 1830912/2089240 (133.2s)
CRC VERIFIED 1835008/2089240 (133.2s)
CRC VERIFIED 1839104/2089240 (133.2s)
CRC VERIFIED 1843200/2089240 (133.2s)
CRC VERIFIED 1847296/2089240 (133.2s)
CRC VERIFIED 1851392/2089240 (133.2s)
CRC VERIFIED 1855488/2089240 (133.2s)
CRC VERIFIED 1859584/2089240 (133.3s)
CRC VERIFIED 1863680/2089240 (133.3s)
CRC VERIFIED 1867776/2089240 (133.3s)
CRC VERIFIED 1871872/2089240 (133.3s)
CRC VERIFIED 1875968/2089240 (133.3s)
CRC VERIFIED 1880064/2089240 (133.3s)
CRC VERIFIED 1884160/2089240 (133.4s)
CRC VERIFIED 1888256/2089240 (133.4s)
CRC VERIFIED 1892352/2089240 (133.4s)
CRC VERIFIED 1896448/2089240 (133.4s)
CRC VERIFIED 1900544/2089240 (133.4s)
CRC VERIFIED 1904640/2089240 (133.4s)
CRC VERIFIED 1908736/2089240 (133.5s)
CRC VERIFIED 1912832/2089240 (133.5s)
CRC VERIFIED 1916928/2089240 (133.5s)
CRC VERIFIED 1921024/2089240 (133.5s)
CRC VERIFIED 1925120/2089240 (133.5s)
CRC VERIFIED 1929216/2089240 (133.5s)
CRC VERIFIED 1933312/2089240 (133.5s)
CRC VERIFIED 1937408/2089240 (133.6s)
CRC VERIFIED 1941504/2089240 (133.6s)
CRC VERIFIED 1945600/2089240 (133.6s)
CRC VERIFIED 1949696/2089240 (133.6s)
CRC VERIFIED 1953792/2089240 (133.6s)
CRC VERIFIED 1957888/2089240 (133.6s)
CRC VERIFIED 1961984/2089240 (133.7s)
CRC VERIFIED 1966080/2089240 (133.7s)
CRC VERIFIED 1970176/2089240 (133.7s)
CRC VERIFIED 1974272/2089240 (133.7s)
CRC VERIFIED 1978368/2089240 (133.7s)
CRC VERIFIED 1982464/2089240 (133.7s)
CRC VERIFIED 1986560/2089240 (133.8s)
CRC VERIFIED 1990656/2089240 (133.8s)
CRC VERIFIED 1994752/2089240 (133.8s)
CRC VERIFIED 1998848/2089240 (133.8s)
CRC VERIFIED 2002944/2089240 (133.8s)
CRC VERIFIED 2007040/2089240 (133.8s)
CRC VERIFIED 2011136/2089240 (133.8s)
CRC VERIFIED 2015232/2089240 (133.9s)
CRC VERIFIED 2019328/2089240 (133.9s)
CRC VERIFIED 2023424/2089240 (133.9s)
CRC VERIFIED 2027520/2089240 (133.9s)
CRC VERIFIED 2031616/2089240 (133.9s)
CRC VERIFIED 2035712/2089240 (133.9s)
CRC VERIFIED 2039808/2089240 (134.0s)
CRC VERIFIED 2043904/2089240 (134.0s)
CRC VERIFIED 2048000/2089240 (134.0s)
CRC VERIFIED 2052096/2089240 (134.0s)
CRC VERIFIED 2056192/2089240 (134.0s)
CRC VERIFIED 2060288/2089240 (134.0s)
CRC VERIFIED 2064384/2089240 (134.0s)
CRC VERIFIED 2068480/2089240 (134.1s)
CRC VERIFIED 2072576/2089240 (134.1s)
CRC VERIFIED 2076672/2089240 (134.1s)
CRC VERIFIED 2080768/2089240 (134.1s)
CRC VERIFIED 2084864/2089240 (134.6s)
CRC VERIFIED 2088960/2089240 (134.8s)
CRC VERIFIED 2089240/2089240 (134.9s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (135.0s)
CRC VERIFIED 8192/193224 (135.0s)
CRC VERIFIED 12288/193224 (135.0s)
CRC VERIFIED 16384/193224 (135.0s)
CRC VERIFIED 20480/193224 (135.0s)
CRC VERIFIED 24576/193224 (135.0s)
CRC VERIFIED 28672/193224 (135.1s)
CRC VERIFIED 32768/193224 (135.1s)
CRC VERIFIED 36864/193224 (135.1s)
CRC VERIFIED 40960/193224 (135.1s)
CRC VERIFIED 45056/193224 (135.1s)
CRC VERIFIED 49152/193224 (135.1s)
CRC VERIFIED 53248/193224 (135.2s)
CRC VERIFIED 57344/193224 (135.2s)
CRC VERIFIED 61440/193224 (135.2s)
CRC VERIFIED 65536/193224 (135.2s)
CRC VERIFIED 69632/193224 (135.2s)
CRC VERIFIED 73728/193224 (135.2s)
CRC VERIFIED 77824/193224 (135.2s)
CRC VERIFIED 81920/193224 (135.3s)
CRC VERIFIED 86016/193224 (135.3s)
CRC VERIFIED 90112/193224 (135.3s)
CRC VERIFIED 94208/193224 (135.3s)
CRC VERIFIED 98304/193224 (135.3s)
CRC VERIFIED 102400/193224 (135.3s)
CRC VERIFIED 106496/193224 (135.4s)
CRC VERIFIED 110592/193224 (135.4s)
CRC VERIFIED 114688/193224 (135.4s)
CRC VERIFIED 118784/193224 (135.4s)
CRC VERIFIED 122880/193224 (135.4s)
CRC VERIFIED 126976/193224 (135.4s)
CRC VERIFIED 131072/193224 (135.5s)
CRC VERIFIED 135168/193224 (135.5s)
CRC VERIFIED 139264/193224 (135.5s)
CRC VERIFIED 143360/193224 (135.5s)
CRC VERIFIED 147456/193224 (135.5s)
CRC VERIFIED 151552/193224 (135.5s)
CRC VERIFIED 155648/193224 (135.5s)
CRC VERIFIED 159744/193224 (135.6s)
CRC VERIFIED 163840/193224 (135.6s)
CRC VERIFIED 167936/193224 (135.6s)
CRC VERIFIED 172032/193224 (135.6s)
CRC VERIFIED 176128/193224 (135.6s)
CRC VERIFIED 180224/193224 (135.6s)
CRC VERIFIED 184320/193224 (135.7s)
CRC VERIFIED 188416/193224 (135.7s)
CRC VERIFIED 192512/193224 (135.7s)
CRC VERIFIED 193224/193224 (135.7s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (135.7s)
CRC VERIFIED 8192/356616 (135.8s)
CRC VERIFIED 12288/356616 (135.8s)
CRC VERIFIED 16384/356616 (135.8s)
CRC VERIFIED 20480/356616 (135.8s)
CRC VERIFIED 24576/356616 (135.8s)
CRC VERIFIED 28672/356616 (135.8s)
