IMAGE 2208512 369a710d03ce2407a0cffe56f3042cd3884e195c11bf0cd33075ad84ec03c7d2
CRC VERIFIED 675840/2208512 (194.9s)
CRC VERIFIED 679936/2208512 (196.1s)
CRC VERIFIED 684032/2208512 (197.3s)
CRC VERIFIED 688128/2208512 (198.5s)
RAM REUSE VERIFIED 688128
RAM REUSE VERIFIED 692224
RAM REUSE VERIFIED 696320
RAM REUSE VERIFIED 700416
RAM REUSE VERIFIED 704512
RAM REUSE VERIFIED 708608
RAM REUSE VERIFIED 712704
RAM REUSE VERIFIED 716800
RAM REUSE VERIFIED 720896
CRC VERIFIED 729088/2208512 (200.2s)
CRC VERIFIED 733184/2208512 (201.4s)
CRC VERIFIED 737280/2208512 (202.6s)
RAM REUSE VERIFIED 737280
CRC VERIFIED 745472/2208512 (203.9s)
CRC VERIFIED 749568/2208512 (205.1s)
CRC VERIFIED 753664/2208512 (206.3s)
CRC VERIFIED 757760/2208512 (207.5s)
CRC VERIFIED 761856/2208512 (208.7s)
RAM REUSE VERIFIED 761856
RAM REUSE VERIFIED 765952
RAM REUSE VERIFIED 770048
CRC VERIFIED 778240/2208512 (210.1s)
CRC VERIFIED 782336/2208512 (211.3s)
CRC VERIFIED 786432/2208512 (212.5s)
CRC VERIFIED 790528/2208512 (213.7s)
CRC VERIFIED 794624/2208512 (214.8s)
CRC VERIFIED 798720/2208512 (216.0s)
CRC VERIFIED 802816/2208512 (217.2s)
CRC VERIFIED 806912/2208512 (218.5s)
CRC VERIFIED 811008/2208512 (219.7s)
CRC VERIFIED 815104/2208512 (220.9s)
CRC VERIFIED 819200/2208512 (222.0s)
CRC VERIFIED 823296/2208512 (223.2s)
CRC VERIFIED 827392/2208512 (224.5s)
CRC VERIFIED 831488/2208512 (225.6s)
CRC VERIFIED 835584/2208512 (226.8s)
CRC VERIFIED 839680/2208512 (228.0s)
CRC VERIFIED 843776/2208512 (229.2s)
CRC VERIFIED 847872/2208512 (230.4s)
CRC VERIFIED 851968/2208512 (231.6s)
CRC VERIFIED 856064/2208512 (232.8s)
CRC VERIFIED 860160/2208512 (234.0s)
CRC VERIFIED 864256/2208512 (235.2s)
CRC VERIFIED 868352/2208512 (236.4s)
CRC VERIFIED 872448/2208512 (237.6s)
CRC VERIFIED 876544/2208512 (238.8s)
CRC VERIFIED 880640/2208512 (240.0s)
CRC VERIFIED 884736/2208512 (241.2s)
CRC VERIFIED 888832/2208512 (242.4s)
CRC VERIFIED 892928/2208512 (243.6s)
CRC VERIFIED 897024/2208512 (244.7s)
CRC VERIFIED 901120/2208512 (244.8s)
CRC VERIFIED 905216/2208512 (245.4s)
CRC VERIFIED 909312/2208512 (246.6s)
CRC VERIFIED 913408/2208512 (247.8s)
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
CRC VERIFIED 946176/2208512 (249.5s)
CRC VERIFIED 950272/2208512 (250.6s)
CRC VERIFIED 954368/2208512 (251.8s)
RAM REUSE VERIFIED 954368
CRC VERIFIED 962560/2208512 (253.1s)
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
CRC VERIFIED 987136/2208512 (254.6s)
CRC VERIFIED 991232/2208512 (255.8s)
CRC VERIFIED 995328/2208512 (257.0s)
CRC VERIFIED 999424/2208512 (257.9s)
CRC VERIFIED 1003520/2208512 (258.7s)
CRC VERIFIED 1007616/2208512 (259.6s)
CRC VERIFIED 1011712/2208512 (260.8s)
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
RAM REUSE VERIFIED 2043904
RAM REUSE VERIFIED 2048000
RAM REUSE VERIFIED 2052096
RAM REUSE VERIFIED 2056192
RAM REUSE VERIFIED 2060288
RAM REUSE VERIFIED 2064384
RAM REUSE VERIFIED 2068480
RAM REUSE VERIFIED 2072576
RAM REUSE VERIFIED 2076672
RAM REUSE VERIFIED 2080768
RAM REUSE VERIFIED 2084864
RAM REUSE VERIFIED 2088960
RAM REUSE VERIFIED 2093056
RAM REUSE VERIFIED 2097152
RAM REUSE VERIFIED 2101248
RAM REUSE VERIFIED 2105344
RAM REUSE VERIFIED 2109440
RAM REUSE VERIFIED 2113536
RAM REUSE VERIFIED 2117632
RAM REUSE VERIFIED 2121728
RAM REUSE VERIFIED 2125824
RAM REUSE VERIFIED 2129920
RAM REUSE VERIFIED 2134016
RAM REUSE VERIFIED 2138112
RAM REUSE VERIFIED 2142208
RAM REUSE VERIFIED 2146304
RAM REUSE VERIFIED 2150400
RAM REUSE VERIFIED 2154496
CRC VERIFIED 2162688/2208512 (279.5s)
RAM REUSE VERIFIED 2162688
RAM REUSE VERIFIED 2166784
CRC VERIFIED 2174976/2208512 (280.6s)
CRC VERIFIED 2179072/2208512 (281.7s)
CRC VERIFIED 2183168/2208512 (282.7s)
CRC VERIFIED 2187264/2208512 (283.6s)
CRC VERIFIED 2191360/2208512 (284.8s)
CRC VERIFIED 2195456/2208512 (285.9s)
CRC VERIFIED 2199552/2208512 (286.6s)
CRC VERIFIED 2203648/2208512 (287.1s)
CRC VERIFIED 2207744/2208512 (287.4s)
CRC VERIFIED 2208512/2208512 (287.5s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (287.5s)
CRC VERIFIED 8192/193224 (287.5s)
CRC VERIFIED 12288/193224 (287.5s)
CRC VERIFIED 16384/193224 (287.6s)
CRC VERIFIED 20480/193224 (287.6s)
CRC VERIFIED 24576/193224 (287.6s)
CRC VERIFIED 28672/193224 (287.6s)
CRC VERIFIED 32768/193224 (287.6s)
CRC VERIFIED 36864/193224 (287.6s)
CRC VERIFIED 40960/193224 (287.7s)
CRC VERIFIED 45056/193224 (287.7s)
CRC VERIFIED 49152/193224 (287.7s)
CRC VERIFIED 53248/193224 (287.7s)
CRC VERIFIED 57344/193224 (287.7s)
CRC VERIFIED 61440/193224 (287.7s)
CRC VERIFIED 65536/193224 (287.8s)
CRC VERIFIED 69632/193224 (287.8s)
CRC VERIFIED 73728/193224 (287.8s)
CRC VERIFIED 77824/193224 (287.8s)
CRC VERIFIED 81920/193224 (287.8s)
CRC VERIFIED 86016/193224 (287.8s)
CRC VERIFIED 90112/193224 (287.8s)
CRC VERIFIED 94208/193224 (287.9s)
CRC VERIFIED 98304/193224 (287.9s)
CRC VERIFIED 102400/193224 (287.9s)
CRC VERIFIED 106496/193224 (287.9s)
CRC VERIFIED 110592/193224 (287.9s)
CRC VERIFIED 114688/193224 (287.9s)
CRC VERIFIED 118784/193224 (288.0s)
CRC VERIFIED 122880/193224 (288.0s)
CRC VERIFIED 126976/193224 (288.0s)
CRC VERIFIED 131072/193224 (288.0s)
CRC VERIFIED 135168/193224 (288.0s)
CRC VERIFIED 139264/193224 (288.0s)
CRC VERIFIED 143360/193224 (288.1s)
CRC VERIFIED 147456/193224 (288.1s)
CRC VERIFIED 151552/193224 (288.1s)
CRC VERIFIED 155648/193224 (288.1s)
CRC VERIFIED 159744/193224 (288.1s)
CRC VERIFIED 163840/193224 (288.1s)
CRC VERIFIED 167936/193224 (288.1s)
CRC VERIFIED 172032/193224 (288.2s)
CRC VERIFIED 176128/193224 (288.2s)
CRC VERIFIED 180224/193224 (288.2s)
CRC VERIFIED 184320/193224 (288.2s)
CRC VERIFIED 188416/193224 (288.2s)
CRC VERIFIED 192512/193224 (288.2s)
CRC VERIFIED 193224/193224 (288.3s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (288.3s)
CRC VERIFIED 8192/356616 (288.3s)
CRC VERIFIED 12288/356616 (288.3s)
CRC VERIFIED 16384/356616 (288.3s)
CRC VERIFIED 20480/356616 (288.4s)
CRC VERIFIED 24576/356616 (288.4s)
CRC VERIFIED 28672/356616 (288.4s)
CRC VERIFIED 32768/356616 (288.4s)
CRC VERIFIED 36864/356616 (288.4s)
CRC VERIFIED 40960/356616 (288.4s)
CRC VERIFIED 45056/356616 (288.5s)
CRC VERIFIED 49152/356616 (288.5s)
CRC VERIFIED 53248/356616 (288.5s)
CRC VERIFIED 57344/356616 (288.5s)
CRC VERIFIED 61440/356616 (288.5s)
CRC VERIFIED 65536/356616 (288.5s)
CRC VERIFIED 69632/356616 (288.5s)
CRC VERIFIED 73728/356616 (288.6s)
CRC VERIFIED 77824/356616 (288.6s)
CRC VERIFIED 81920/356616 (288.6s)
CRC VERIFIED 86016/356616 (288.6s)
CRC VERIFIED 90112/356616 (288.6s)
CRC VERIFIED 94208/356616 (288.6s)
CRC VERIFIED 98304/356616 (288.7s)
CRC VERIFIED 102400/356616 (288.7s)
CRC VERIFIED 106496/356616 (288.7s)
CRC VERIFIED 110592/356616 (288.7s)
CRC VERIFIED 114688/356616 (288.7s)
CRC VERIFIED 118784/356616 (288.7s)
CRC VERIFIED 122880/356616 (288.8s)
CRC VERIFIED 126976/356616 (288.8s)
CRC VERIFIED 131072/356616 (288.8s)
CRC VERIFIED 135168/356616 (288.8s)
CRC VERIFIED 139264/356616 (288.8s)
CRC VERIFIED 143360/356616 (288.8s)
CRC VERIFIED 147456/356616 (288.8s)
CRC VERIFIED 151552/356616 (288.9s)
CRC VERIFIED 155648/356616 (288.9s)
CRC VERIFIED 159744/356616 (288.9s)
CRC VERIFIED 163840/356616 (288.9s)
CRC VERIFIED 167936/356616 (288.9s)
CRC VERIFIED 172032/356616 (288.9s)
CRC VERIFIED 176128/356616 (289.0s)
CRC VERIFIED 180224/356616 (289.0s)
CRC VERIFIED 184320/356616 (289.0s)
CRC VERIFIED 188416/356616 (289.0s)
CRC VERIFIED 192512/356616 (289.0s)
CRC VERIFIED 196608/356616 (289.0s)
CRC VERIFIED 200704/356616 (289.0s)
CRC VERIFIED 204800/356616 (289.1s)
CRC VERIFIED 208896/356616 (289.1s)
CRC VERIFIED 212992/356616 (289.1s)
CRC VERIFIED 217088/356616 (289.1s)
CRC VERIFIED 221184/356616 (289.1s)
CRC VERIFIED 225280/356616 (289.1s)
CRC VERIFIED 229376/356616 (289.1s)
CRC VERIFIED 233472/356616 (289.2s)
CRC VERIFIED 237568/356616 (289.2s)
CRC VERIFIED 241664/356616 (289.2s)
CRC VERIFIED 245760/356616 (289.2s)
CRC VERIFIED 249856/356616 (289.2s)
CRC VERIFIED 253952/356616 (289.2s)
CRC VERIFIED 258048/356616 (289.3s)
CRC VERIFIED 262144/356616 (289.3s)
CRC VERIFIED 266240/356616 (289.3s)
CRC VERIFIED 270336/356616 (289.3s)
CRC VERIFIED 274432/356616 (289.3s)
CRC VERIFIED 278528/356616 (289.3s)
CRC VERIFIED 282624/356616 (289.4s)
CRC VERIFIED 286720/356616 (289.4s)
