IMAGE 10514736 967bea4cef6b9bf220d019ed8c06bb424eb33c40ff3e0f13af8eb15de539cb4f
CRC VERIFIED 344064/10514736 (101.9s)
CRC VERIFIED 348160/10514736 (103.1s)
CRC VERIFIED 352256/10514736 (104.3s)
CRC VERIFIED 356352/10514736 (105.5s)
CRC VERIFIED 360448/10514736 (106.7s)
CRC VERIFIED 364544/10514736 (107.9s)
CRC VERIFIED 368640/10514736 (109.1s)
CRC VERIFIED 372736/10514736 (110.3s)
CRC VERIFIED 376832/10514736 (111.6s)
CRC VERIFIED 380928/10514736 (112.8s)
CRC VERIFIED 385024/10514736 (114.0s)
CRC VERIFIED 389120/10514736 (115.2s)
CRC VERIFIED 393216/10514736 (116.4s)
CRC VERIFIED 397312/10514736 (117.6s)
CRC VERIFIED 401408/10514736 (118.9s)
CRC VERIFIED 405504/10514736 (120.1s)
CRC VERIFIED 409600/10514736 (121.3s)
CRC VERIFIED 413696/10514736 (122.5s)
CRC VERIFIED 417792/10514736 (123.7s)
CRC VERIFIED 421888/10514736 (124.9s)
CRC VERIFIED 425984/10514736 (126.1s)
CRC VERIFIED 430080/10514736 (127.4s)
CRC VERIFIED 434176/10514736 (128.6s)
CRC VERIFIED 438272/10514736 (128.7s)
CRC VERIFIED 442368/10514736 (128.8s)
CRC VERIFIED 446464/10514736 (128.9s)
CRC VERIFIED 450560/10514736 (129.0s)
CRC VERIFIED 454656/10514736 (129.0s)
CRC VERIFIED 458752/10514736 (129.0s)
CRC VERIFIED 462848/10514736 (129.0s)
CRC VERIFIED 466944/10514736 (129.1s)
CRC VERIFIED 471040/10514736 (129.2s)
CRC VERIFIED 475136/10514736 (129.2s)
CRC VERIFIED 479232/10514736 (129.3s)
CRC VERIFIED 483328/10514736 (129.3s)
CRC VERIFIED 487424/10514736 (129.4s)
CRC VERIFIED 491520/10514736 (129.5s)
CRC VERIFIED 495616/10514736 (129.6s)
CRC VERIFIED 499712/10514736 (129.7s)
CRC VERIFIED 503808/10514736 (129.8s)
CRC VERIFIED 507904/10514736 (129.8s)
CRC VERIFIED 512000/10514736 (129.8s)
CRC VERIFIED 516096/10514736 (129.8s)
CRC VERIFIED 520192/10514736 (129.9s)
CRC VERIFIED 524288/10514736 (130.0s)
CRC VERIFIED 528384/10514736 (130.0s)
CRC VERIFIED 532480/10514736 (130.1s)
CRC VERIFIED 536576/10514736 (130.2s)
CRC VERIFIED 540672/10514736 (130.3s)
CRC VERIFIED 544768/10514736 (130.4s)
CRC VERIFIED 548864/10514736 (130.5s)
CRC VERIFIED 552960/10514736 (130.6s)
CRC VERIFIED 557056/10514736 (130.7s)
CRC VERIFIED 561152/10514736 (130.8s)
CRC VERIFIED 565248/10514736 (131.0s)
CRC VERIFIED 569344/10514736 (131.0s)
CRC VERIFIED 573440/10514736 (131.1s)
CRC VERIFIED 577536/10514736 (131.2s)
CRC VERIFIED 581632/10514736 (131.3s)
CRC VERIFIED 585728/10514736 (131.4s)
CRC VERIFIED 589824/10514736 (131.5s)
CRC VERIFIED 593920/10514736 (131.6s)
CRC VERIFIED 598016/10514736 (131.7s)
CRC VERIFIED 602112/10514736 (131.7s)
CRC VERIFIED 606208/10514736 (131.8s)
CRC VERIFIED 610304/10514736 (131.9s)
CRC VERIFIED 614400/10514736 (132.0s)
CRC VERIFIED 618496/10514736 (132.1s)
CRC VERIFIED 622592/10514736 (132.2s)
CRC VERIFIED 626688/10514736 (132.3s)
CRC VERIFIED 630784/10514736 (132.4s)
CRC VERIFIED 634880/10514736 (132.5s)
CRC VERIFIED 638976/10514736 (132.6s)
CRC VERIFIED 643072/10514736 (132.7s)
CRC VERIFIED 647168/10514736 (132.9s)
CRC VERIFIED 651264/10514736 (133.0s)
CRC VERIFIED 655360/10514736 (133.1s)
CRC VERIFIED 659456/10514736 (133.2s)
CRC VERIFIED 663552/10514736 (133.3s)
CRC VERIFIED 667648/10514736 (133.5s)
CRC VERIFIED 671744/10514736 (133.6s)
CRC VERIFIED 675840/10514736 (133.7s)
CRC VERIFIED 679936/10514736 (133.8s)
CRC VERIFIED 684032/10514736 (133.9s)
CRC VERIFIED 688128/10514736 (134.0s)
CRC VERIFIED 692224/10514736 (134.1s)
CRC VERIFIED 696320/10514736 (134.1s)
CRC VERIFIED 700416/10514736 (134.2s)
CRC VERIFIED 704512/10514736 (134.2s)
CRC VERIFIED 708608/10514736 (134.3s)
CRC VERIFIED 712704/10514736 (134.4s)
CRC VERIFIED 716800/10514736 (134.5s)
CRC VERIFIED 720896/10514736 (134.6s)
CRC VERIFIED 724992/10514736 (134.6s)
CRC VERIFIED 729088/10514736 (134.7s)
CRC VERIFIED 733184/10514736 (134.8s)
CRC VERIFIED 737280/10514736 (134.9s)
CRC VERIFIED 741376/10514736 (135.0s)
CRC VERIFIED 745472/10514736 (135.1s)
CRC VERIFIED 749568/10514736 (135.2s)
CRC VERIFIED 753664/10514736 (135.2s)
CRC VERIFIED 757760/10514736 (135.3s)
CRC VERIFIED 761856/10514736 (135.4s)
CRC VERIFIED 765952/10514736 (135.4s)
CRC VERIFIED 770048/10514736 (135.5s)
CRC VERIFIED 774144/10514736 (135.5s)
CRC VERIFIED 778240/10514736 (135.6s)
CRC VERIFIED 782336/10514736 (135.6s)
CRC VERIFIED 786432/10514736 (135.7s)
CRC VERIFIED 790528/10514736 (135.8s)
CRC VERIFIED 794624/10514736 (135.8s)
CRC VERIFIED 798720/10514736 (135.9s)
CRC VERIFIED 802816/10514736 (136.0s)
CRC VERIFIED 806912/10514736 (136.1s)
CRC VERIFIED 811008/10514736 (136.2s)
CRC VERIFIED 815104/10514736 (136.3s)
CRC VERIFIED 819200/10514736 (136.4s)
CRC VERIFIED 823296/10514736 (136.4s)
CRC VERIFIED 827392/10514736 (136.5s)
CRC VERIFIED 831488/10514736 (136.6s)
CRC VERIFIED 835584/10514736 (136.7s)
CRC VERIFIED 839680/10514736 (136.7s)
CRC VERIFIED 843776/10514736 (136.7s)
CRC VERIFIED 847872/10514736 (136.7s)
CRC VERIFIED 851968/10514736 (136.8s)
CRC VERIFIED 856064/10514736 (136.8s)
CRC VERIFIED 860160/10514736 (136.8s)
CRC VERIFIED 864256/10514736 (136.8s)
CRC VERIFIED 868352/10514736 (137.4s)
CRC VERIFIED 872448/10514736 (138.7s)
CRC VERIFIED 876544/10514736 (139.9s)
CRC VERIFIED 880640/10514736 (141.1s)
CRC VERIFIED 884736/10514736 (142.3s)
CRC VERIFIED 888832/10514736 (143.5s)
CRC VERIFIED 892928/10514736 (144.8s)
CRC VERIFIED 897024/10514736 (146.0s)
CRC VERIFIED 901120/10514736 (147.2s)
CRC VERIFIED 905216/10514736 (148.4s)
CRC VERIFIED 909312/10514736 (149.6s)
CRC VERIFIED 913408/10514736 (150.9s)
CRC VERIFIED 917504/10514736 (152.1s)
CRC VERIFIED 921600/10514736 (153.3s)
CRC VERIFIED 925696/10514736 (154.5s)
CRC VERIFIED 929792/10514736 (155.8s)
CRC VERIFIED 933888/10514736 (157.0s)
CRC VERIFIED 937984/10514736 (158.2s)
CRC VERIFIED 942080/10514736 (159.5s)
CRC VERIFIED 946176/10514736 (160.7s)
CRC VERIFIED 950272/10514736 (161.9s)
CRC VERIFIED 954368/10514736 (163.1s)
CRC VERIFIED 958464/10514736 (164.3s)
CRC VERIFIED 962560/10514736 (165.5s)
CRC VERIFIED 966656/10514736 (166.8s)
CRC VERIFIED 970752/10514736 (168.0s)
CRC VERIFIED 974848/10514736 (169.2s)
CRC VERIFIED 978944/10514736 (170.4s)
CRC VERIFIED 983040/10514736 (171.7s)
CRC VERIFIED 987136/10514736 (172.9s)
CRC VERIFIED 991232/10514736 (174.1s)
CRC VERIFIED 995328/10514736 (175.3s)
CRC VERIFIED 999424/10514736 (176.5s)
CRC VERIFIED 1003520/10514736 (177.7s)
CRC VERIFIED 1007616/10514736 (178.9s)
CRC VERIFIED 1011712/10514736 (180.1s)
CRC VERIFIED 1015808/10514736 (181.3s)
CRC VERIFIED 1019904/10514736 (182.6s)
CRC VERIFIED 1024000/10514736 (183.8s)
CRC VERIFIED 1028096/10514736 (185.0s)
CRC VERIFIED 1032192/10514736 (186.2s)
CRC VERIFIED 1036288/10514736 (187.4s)
CRC VERIFIED 1040384/10514736 (188.7s)
CRC VERIFIED 1044480/10514736 (189.9s)
CRC VERIFIED 1048576/10514736 (191.1s)
CRC VERIFIED 1052672/10514736 (192.3s)
CRC VERIFIED 1056768/10514736 (193.5s)
CRC VERIFIED 1060864/10514736 (194.8s)
CRC VERIFIED 1064960/10514736 (196.0s)
CRC VERIFIED 1069056/10514736 (197.1s)
CRC VERIFIED 1073152/10514736 (198.3s)
CRC VERIFIED 1077248/10514736 (199.5s)
CRC VERIFIED 1081344/10514736 (200.7s)
CRC VERIFIED 1085440/10514736 (202.0s)
CRC VERIFIED 1089536/10514736 (203.2s)
CRC VERIFIED 1093632/10514736 (204.4s)
CRC VERIFIED 1097728/10514736 (205.6s)
CRC VERIFIED 1101824/10514736 (206.8s)
CRC VERIFIED 1105920/10514736 (208.1s)
CRC VERIFIED 1110016/10514736 (209.3s)
CRC VERIFIED 1114112/10514736 (210.5s)
CRC VERIFIED 1118208/10514736 (211.7s)
CRC VERIFIED 1122304/10514736 (212.9s)
CRC VERIFIED 1126400/10514736 (214.1s)
CRC VERIFIED 1130496/10514736 (215.3s)
CRC VERIFIED 1134592/10514736 (216.5s)
CRC VERIFIED 1138688/10514736 (217.7s)
CRC VERIFIED 1142784/10514736 (218.9s)
CRC VERIFIED 1146880/10514736 (220.2s)
CRC VERIFIED 1150976/10514736 (221.4s)
CRC VERIFIED 1155072/10514736 (222.6s)
CRC VERIFIED 1159168/10514736 (223.8s)
CRC VERIFIED 1163264/10514736 (225.0s)
CRC VERIFIED 1167360/10514736 (226.2s)
CRC VERIFIED 1171456/10514736 (227.4s)
CRC VERIFIED 1175552/10514736 (228.7s)
CRC VERIFIED 1179648/10514736 (229.9s)
CRC VERIFIED 1183744/10514736 (231.1s)
CRC VERIFIED 1187840/10514736 (232.3s)
CRC VERIFIED 1191936/10514736 (233.5s)
CRC VERIFIED 1196032/10514736 (234.8s)
CRC VERIFIED 1200128/10514736 (236.0s)
CRC VERIFIED 1204224/10514736 (237.2s)
CRC VERIFIED 1208320/10514736 (238.4s)
CRC VERIFIED 1212416/10514736 (239.6s)
CRC VERIFIED 1216512/10514736 (240.8s)
CRC VERIFIED 1220608/10514736 (242.0s)
CRC VERIFIED 1224704/10514736 (243.2s)
CRC VERIFIED 1228800/10514736 (244.5s)
CRC VERIFIED 1232896/10514736 (245.7s)
CRC VERIFIED 1236992/10514736 (246.9s)
CRC VERIFIED 1241088/10514736 (248.1s)
CRC VERIFIED 1245184/10514736 (249.3s)
CRC VERIFIED 1249280/10514736 (250.5s)
CRC VERIFIED 1253376/10514736 (251.7s)
CRC VERIFIED 1257472/10514736 (253.0s)
CRC VERIFIED 1261568/10514736 (254.2s)
CRC VERIFIED 1265664/10514736 (255.4s)
CRC VERIFIED 1269760/10514736 (256.6s)
CRC VERIFIED 1273856/10514736 (257.8s)
CRC VERIFIED 1277952/10514736 (259.0s)
CRC VERIFIED 1282048/10514736 (260.2s)
CRC VERIFIED 1286144/10514736 (261.5s)
CRC VERIFIED 1290240/10514736 (262.7s)
CRC VERIFIED 1294336/10514736 (263.9s)
CRC VERIFIED 1298432/10514736 (265.1s)
CRC VERIFIED 1302528/10514736 (266.3s)
CRC VERIFIED 1306624/10514736 (267.5s)
CRC VERIFIED 1310720/10514736 (268.8s)
CRC VERIFIED 1314816/10514736 (269.9s)
CRC VERIFIED 1318912/10514736 (271.1s)
CRC VERIFIED 1323008/10514736 (272.4s)
CRC VERIFIED 1327104/10514736 (273.6s)
CRC VERIFIED 1331200/10514736 (274.8s)
CRC VERIFIED 1335296/10514736 (276.0s)
CRC VERIFIED 1339392/10514736 (277.2s)
CRC VERIFIED 1343488/10514736 (278.4s)
CRC VERIFIED 1347584/10514736 (279.7s)
CRC VERIFIED 1351680/10514736 (280.9s)
CRC VERIFIED 1355776/10514736 (282.1s)
CRC VERIFIED 1359872/10514736 (283.3s)
CRC VERIFIED 1363968/10514736 (284.5s)
CRC VERIFIED 1368064/10514736 (285.8s)
CRC VERIFIED 1372160/10514736 (287.0s)
CRC VERIFIED 1376256/10514736 (288.2s)
CRC VERIFIED 1380352/10514736 (289.4s)
CRC VERIFIED 1384448/10514736 (290.6s)
CRC VERIFIED 1388544/10514736 (291.8s)
CRC VERIFIED 1392640/10514736 (293.0s)
CRC VERIFIED 1396736/10514736 (294.2s)
CRC VERIFIED 1400832/10514736 (295.5s)
CRC VERIFIED 1404928/10514736 (296.7s)
CRC VERIFIED 1409024/10514736 (297.9s)
CRC VERIFIED 1413120/10514736 (299.1s)
CRC VERIFIED 1417216/10514736 (300.3s)
CRC VERIFIED 1421312/10514736 (301.5s)
CRC VERIFIED 1425408/10514736 (302.7s)
CRC VERIFIED 1429504/10514736 (303.9s)
CRC VERIFIED 1433600/10514736 (305.2s)
CRC VERIFIED 1437696/10514736 (306.4s)
CRC VERIFIED 1441792/10514736 (307.6s)
CRC VERIFIED 1445888/10514736 (308.8s)
CRC VERIFIED 1449984/10514736 (310.0s)
CRC VERIFIED 1454080/10514736 (311.2s)
CRC VERIFIED 1458176/10514736 (312.4s)
CRC VERIFIED 1462272/10514736 (313.6s)
CRC VERIFIED 1466368/10514736 (314.8s)
CRC VERIFIED 1470464/10514736 (316.0s)
CRC VERIFIED 1474560/10514736 (317.2s)
CRC VERIFIED 1478656/10514736 (318.4s)
CRC VERIFIED 1482752/10514736 (319.7s)
CRC VERIFIED 1486848/10514736 (320.9s)
CRC VERIFIED 1490944/10514736 (322.1s)
CRC VERIFIED 1495040/10514736 (323.3s)
CRC VERIFIED 1499136/10514736 (324.6s)
CRC VERIFIED 1503232/10514736 (325.8s)
CRC VERIFIED 1507328/10514736 (327.0s)
CRC VERIFIED 1511424/10514736 (328.2s)
CRC VERIFIED 1515520/10514736 (329.4s)
CRC VERIFIED 1519616/10514736 (330.6s)
CRC VERIFIED 1523712/10514736 (331.8s)
CRC VERIFIED 1527808/10514736 (333.1s)
CRC VERIFIED 1531904/10514736 (334.3s)
CRC VERIFIED 1536000/10514736 (335.5s)
CRC VERIFIED 1540096/10514736 (336.7s)
CRC VERIFIED 1544192/10514736 (337.9s)
CRC VERIFIED 1548288/10514736 (339.2s)
CRC VERIFIED 1552384/10514736 (340.4s)
CRC VERIFIED 1556480/10514736 (341.6s)
CRC VERIFIED 1560576/10514736 (342.8s)
CRC VERIFIED 1564672/10514736 (344.0s)
CRC VERIFIED 1568768/10514736 (345.2s)
CRC VERIFIED 1572864/10514736 (346.5s)
CRC VERIFIED 1576960/10514736 (347.7s)
CRC VERIFIED 1581056/10514736 (348.9s)
CRC VERIFIED 1585152/10514736 (350.1s)
CRC VERIFIED 1589248/10514736 (351.3s)
CRC VERIFIED 1593344/10514736 (352.5s)
CRC VERIFIED 1597440/10514736 (353.7s)
CRC VERIFIED 1601536/10514736 (355.0s)
CRC VERIFIED 1605632/10514736 (356.2s)
CRC VERIFIED 1609728/10514736 (357.4s)
CRC VERIFIED 1613824/10514736 (358.6s)
CRC VERIFIED 1617920/10514736 (359.8s)
CRC VERIFIED 1622016/10514736 (361.0s)
CRC VERIFIED 1626112/10514736 (362.2s)
CRC VERIFIED 1630208/10514736 (363.5s)
CRC VERIFIED 1634304/10514736 (364.7s)
CRC VERIFIED 1638400/10514736 (365.9s)
CRC VERIFIED 1642496/10514736 (367.1s)
CRC VERIFIED 1646592/10514736 (368.3s)
CRC VERIFIED 1650688/10514736 (369.5s)
CRC VERIFIED 1654784/10514736 (370.7s)
CRC VERIFIED 1658880/10514736 (371.9s)
CRC VERIFIED 1662976/10514736 (373.1s)
CRC VERIFIED 1667072/10514736 (374.3s)
CRC VERIFIED 1671168/10514736 (375.5s)
CRC VERIFIED 1675264/10514736 (376.7s)
CRC VERIFIED 1679360/10514736 (377.9s)
CRC VERIFIED 1683456/10514736 (379.1s)
CRC VERIFIED 1687552/10514736 (380.3s)
CRC VERIFIED 1691648/10514736 (381.5s)
CRC VERIFIED 1695744/10514736 (382.8s)
CRC VERIFIED 1699840/10514736 (384.0s)
CRC VERIFIED 1703936/10514736 (385.2s)
CRC VERIFIED 1708032/10514736 (386.4s)
CRC VERIFIED 1712128/10514736 (387.6s)
CRC VERIFIED 1716224/10514736 (388.8s)
CRC VERIFIED 1720320/10514736 (390.0s)
CRC VERIFIED 1724416/10514736 (391.3s)
CRC VERIFIED 1728512/10514736 (392.5s)
CRC VERIFIED 1732608/10514736 (393.7s)
CRC VERIFIED 1736704/10514736 (394.9s)
CRC VERIFIED 1740800/10514736 (396.1s)
CRC VERIFIED 1744896/10514736 (397.4s)
CRC VERIFIED 1748992/10514736 (398.6s)
CRC VERIFIED 1753088/10514736 (399.8s)
CRC VERIFIED 1757184/10514736 (401.0s)
CRC VERIFIED 1761280/10514736 (402.2s)
CRC VERIFIED 1765376/10514736 (403.4s)
CRC VERIFIED 1769472/10514736 (404.6s)
CRC VERIFIED 1773568/10514736 (405.9s)
CRC VERIFIED 1777664/10514736 (407.1s)
CRC VERIFIED 1781760/10514736 (408.3s)
CRC VERIFIED 1785856/10514736 (409.5s)
CRC VERIFIED 1789952/10514736 (410.7s)
CRC VERIFIED 1794048/10514736 (411.9s)
CRC VERIFIED 1798144/10514736 (413.2s)
CRC VERIFIED 1802240/10514736 (414.4s)
CRC VERIFIED 1806336/10514736 (415.6s)
CRC VERIFIED 1810432/10514736 (416.8s)
CRC VERIFIED 1814528/10514736 (418.0s)
CRC VERIFIED 1818624/10514736 (419.2s)
CRC VERIFIED 1822720/10514736 (420.5s)
CRC VERIFIED 1826816/10514736 (421.7s)
CRC VERIFIED 1830912/10514736 (422.9s)
CRC VERIFIED 1835008/10514736 (424.1s)
CRC VERIFIED 1839104/10514736 (425.3s)
CRC VERIFIED 1843200/10514736 (426.5s)
CRC VERIFIED 1847296/10514736 (427.7s)
CRC VERIFIED 1851392/10514736 (428.9s)
CRC VERIFIED 1855488/10514736 (430.1s)
CRC VERIFIED 1859584/10514736 (431.3s)
CRC VERIFIED 1863680/10514736 (432.5s)
CRC VERIFIED 1867776/10514736 (433.7s)
CRC VERIFIED 1871872/10514736 (434.9s)
CRC VERIFIED 1875968/10514736 (436.1s)
CRC VERIFIED 1880064/10514736 (437.4s)
CRC VERIFIED 1884160/10514736 (438.6s)
CRC VERIFIED 1888256/10514736 (439.8s)
CRC VERIFIED 1892352/10514736 (441.0s)
CRC VERIFIED 1896448/10514736 (442.2s)
CRC VERIFIED 1900544/10514736 (443.4s)
CRC VERIFIED 1904640/10514736 (444.6s)
CRC VERIFIED 1908736/10514736 (445.8s)
CRC VERIFIED 1912832/10514736 (447.0s)
CRC VERIFIED 1916928/10514736 (448.3s)
CRC VERIFIED 1921024/10514736 (449.5s)
CRC VERIFIED 1925120/10514736 (450.7s)
CRC VERIFIED 1929216/10514736 (451.9s)
CRC VERIFIED 1933312/10514736 (453.1s)
CRC VERIFIED 1937408/10514736 (454.4s)
CRC VERIFIED 1941504/10514736 (455.6s)
CRC VERIFIED 1945600/10514736 (456.8s)
CRC VERIFIED 1949696/10514736 (458.0s)
CRC VERIFIED 1953792/10514736 (459.2s)
CRC VERIFIED 1957888/10514736 (460.4s)
CRC VERIFIED 1961984/10514736 (461.7s)
CRC VERIFIED 1966080/10514736 (462.9s)
CRC VERIFIED 1970176/10514736 (464.1s)
CRC VERIFIED 1974272/10514736 (465.3s)
CRC VERIFIED 1978368/10514736 (466.5s)
CRC VERIFIED 1982464/10514736 (467.8s)
CRC VERIFIED 1986560/10514736 (469.0s)
CRC VERIFIED 1990656/10514736 (470.2s)
CRC VERIFIED 1994752/10514736 (471.4s)
CRC VERIFIED 1998848/10514736 (472.6s)
CRC VERIFIED 2002944/10514736 (473.8s)
CRC VERIFIED 2007040/10514736 (475.1s)
CRC VERIFIED 2011136/10514736 (476.3s)
CRC VERIFIED 2015232/10514736 (477.5s)
CRC VERIFIED 2019328/10514736 (478.7s)
CRC VERIFIED 2023424/10514736 (479.9s)
CRC VERIFIED 2027520/10514736 (481.2s)
CRC VERIFIED 2031616/10514736 (482.4s)
CRC VERIFIED 2035712/10514736 (483.7s)
CRC VERIFIED 2039808/10514736 (484.9s)
CRC VERIFIED 2043904/10514736 (486.1s)
CRC VERIFIED 2048000/10514736 (487.3s)
CRC VERIFIED 2052096/10514736 (488.5s)
CRC VERIFIED 2056192/10514736 (489.7s)
CRC VERIFIED 2060288/10514736 (490.9s)
CRC VERIFIED 2064384/10514736 (492.1s)
CRC VERIFIED 2068480/10514736 (493.4s)
CRC VERIFIED 2072576/10514736 (494.6s)
CRC VERIFIED 2076672/10514736 (495.8s)
CRC VERIFIED 2080768/10514736 (497.0s)
CRC VERIFIED 2084864/10514736 (498.2s)
CRC VERIFIED 2088960/10514736 (499.4s)
CRC VERIFIED 2093056/10514736 (500.6s)
CRC VERIFIED 2097152/10514736 (501.9s)
CRC VERIFIED 2101248/10514736 (503.1s)
CRC VERIFIED 2105344/10514736 (504.3s)
CRC VERIFIED 2109440/10514736 (505.5s)
CRC VERIFIED 2113536/10514736 (506.7s)
CRC VERIFIED 2117632/10514736 (507.9s)
CRC VERIFIED 2121728/10514736 (509.1s)
CRC VERIFIED 2125824/10514736 (510.3s)
CRC VERIFIED 2129920/10514736 (511.5s)
CRC VERIFIED 2134016/10514736 (512.7s)
CRC VERIFIED 2138112/10514736 (514.0s)
CRC VERIFIED 2142208/10514736 (515.2s)
CRC VERIFIED 2146304/10514736 (516.4s)
CRC VERIFIED 2150400/10514736 (517.6s)
CRC VERIFIED 2154496/10514736 (518.8s)
CRC VERIFIED 2158592/10514736 (520.0s)
CRC VERIFIED 2162688/10514736 (521.2s)
CRC VERIFIED 2166784/10514736 (522.5s)
CRC VERIFIED 2170880/10514736 (523.7s)
CRC VERIFIED 2174976/10514736 (524.9s)
CRC VERIFIED 2179072/10514736 (526.1s)
CRC VERIFIED 2183168/10514736 (527.3s)
CRC VERIFIED 2187264/10514736 (528.5s)
CRC VERIFIED 2191360/10514736 (529.8s)
CRC VERIFIED 2195456/10514736 (531.0s)
CRC VERIFIED 2199552/10514736 (532.2s)
CRC VERIFIED 2203648/10514736 (533.4s)
CRC VERIFIED 2207744/10514736 (534.6s)
CRC VERIFIED 2211840/10514736 (535.8s)
CRC VERIFIED 2215936/10514736 (537.0s)
CRC VERIFIED 2220032/10514736 (538.2s)
CRC VERIFIED 2224128/10514736 (539.4s)
CRC VERIFIED 2228224/10514736 (540.6s)
CRC VERIFIED 2232320/10514736 (541.8s)
CRC VERIFIED 2236416/10514736 (543.0s)
CRC VERIFIED 2240512/10514736 (544.2s)
CRC VERIFIED 2244608/10514736 (545.5s)
CRC VERIFIED 2248704/10514736 (546.7s)
CRC VERIFIED 2252800/10514736 (547.9s)
CRC VERIFIED 2256896/10514736 (549.1s)
CRC VERIFIED 2260992/10514736 (550.3s)
CRC VERIFIED 2265088/10514736 (551.5s)
CRC VERIFIED 2269184/10514736 (552.8s)
CRC VERIFIED 2273280/10514736 (554.0s)
CRC VERIFIED 2277376/10514736 (555.2s)
CRC VERIFIED 2281472/10514736 (556.4s)
CRC VERIFIED 2285568/10514736 (557.6s)
CRC VERIFIED 2289664/10514736 (558.8s)
CRC VERIFIED 2293760/10514736 (560.0s)
CRC VERIFIED 2297856/10514736 (561.3s)
CRC VERIFIED 2301952/10514736 (562.5s)
CRC VERIFIED 2306048/10514736 (563.7s)
CRC VERIFIED 2310144/10514736 (565.0s)
