IMAGE 2068528 9dc19c97c2d2aa5f49bc3bca36d04f026c25c096ec3894605ba7ac4d7dc4ce5d
CRC VERIFIED 548864/2068528 (166.3s)
CRC VERIFIED 552960/2068528 (167.5s)
CRC VERIFIED 557056/2068528 (168.7s)
CRC VERIFIED 561152/2068528 (169.9s)
CRC VERIFIED 565248/2068528 (171.2s)
CRC VERIFIED 569344/2068528 (172.4s)
CRC VERIFIED 573440/2068528 (173.6s)
CRC VERIFIED 577536/2068528 (174.8s)
CRC VERIFIED 581632/2068528 (176.0s)
CRC VERIFIED 585728/2068528 (177.2s)
CRC VERIFIED 589824/2068528 (178.4s)
CRC VERIFIED 593920/2068528 (179.6s)
CRC VERIFIED 598016/2068528 (180.8s)
CRC VERIFIED 602112/2068528 (182.0s)
CRC VERIFIED 606208/2068528 (183.3s)
CRC VERIFIED 610304/2068528 (184.5s)
CRC VERIFIED 614400/2068528 (185.8s)
CRC VERIFIED 618496/2068528 (187.1s)
CRC VERIFIED 622592/2068528 (188.4s)
CRC VERIFIED 626688/2068528 (189.6s)
CRC VERIFIED 630784/2068528 (190.8s)
CRC VERIFIED 634880/2068528 (192.0s)
CRC VERIFIED 638976/2068528 (193.2s)
CRC VERIFIED 643072/2068528 (194.4s)
CRC VERIFIED 647168/2068528 (195.7s)
CRC VERIFIED 651264/2068528 (196.9s)
CRC VERIFIED 655360/2068528 (198.2s)
CRC VERIFIED 659456/2068528 (199.5s)
CRC VERIFIED 663552/2068528 (200.7s)
CRC VERIFIED 667648/2068528 (201.9s)
CRC VERIFIED 671744/2068528 (203.2s)
CRC VERIFIED 675840/2068528 (204.4s)
CRC VERIFIED 679936/2068528 (205.6s)
CRC VERIFIED 684032/2068528 (206.8s)
CRC VERIFIED 688128/2068528 (208.0s)
CRC VERIFIED 692224/2068528 (209.2s)
CRC VERIFIED 696320/2068528 (210.4s)
CRC VERIFIED 700416/2068528 (211.6s)
CRC VERIFIED 704512/2068528 (212.8s)
CRC VERIFIED 708608/2068528 (214.0s)
CRC VERIFIED 712704/2068528 (215.2s)
CRC VERIFIED 716800/2068528 (216.5s)
CRC VERIFIED 720896/2068528 (217.7s)
CRC VERIFIED 724992/2068528 (218.9s)
CRC VERIFIED 729088/2068528 (220.1s)
CRC VERIFIED 733184/2068528 (221.3s)
CRC VERIFIED 737280/2068528 (222.5s)
CRC VERIFIED 741376/2068528 (223.7s)
CRC VERIFIED 745472/2068528 (224.9s)
CRC VERIFIED 749568/2068528 (226.1s)
CRC VERIFIED 753664/2068528 (227.3s)
CRC VERIFIED 757760/2068528 (228.5s)
CRC VERIFIED 761856/2068528 (229.7s)
CRC VERIFIED 765952/2068528 (230.9s)
CRC VERIFIED 770048/2068528 (232.1s)
CRC VERIFIED 774144/2068528 (233.3s)
CRC VERIFIED 778240/2068528 (234.5s)
CRC VERIFIED 782336/2068528 (235.0s)
CRC VERIFIED 786432/2068528 (235.6s)
CRC VERIFIED 790528/2068528 (236.8s)
CRC VERIFIED 794624/2068528 (238.0s)
CRC VERIFIED 798720/2068528 (239.3s)
CRC VERIFIED 802816/2068528 (240.5s)
CRC VERIFIED 806912/2068528 (241.7s)
CRC VERIFIED 811008/2068528 (242.9s)
CRC VERIFIED 815104/2068528 (244.1s)
CRC VERIFIED 819200/2068528 (245.3s)
CRC VERIFIED 823296/2068528 (246.5s)
CRC VERIFIED 827392/2068528 (247.8s)
CRC VERIFIED 831488/2068528 (249.0s)
CRC VERIFIED 835584/2068528 (250.2s)
CRC VERIFIED 839680/2068528 (251.5s)
CRC VERIFIED 843776/2068528 (252.7s)
CRC VERIFIED 847872/2068528 (253.9s)
CRC VERIFIED 851968/2068528 (255.1s)
CRC VERIFIED 856064/2068528 (256.3s)
CRC VERIFIED 860160/2068528 (257.5s)
CRC VERIFIED 864256/2068528 (258.8s)
CRC VERIFIED 868352/2068528 (260.0s)
CRC VERIFIED 872448/2068528 (261.0s)
CRC VERIFIED 876544/2068528 (262.0s)
CRC VERIFIED 880640/2068528 (262.9s)
CRC VERIFIED 884736/2068528 (263.9s)
CRC VERIFIED 888832/2068528 (265.1s)
CRC VERIFIED 892928/2068528 (266.3s)
CRC VERIFIED 897024/2068528 (267.5s)
CRC VERIFIED 901120/2068528 (268.7s)
CRC VERIFIED 905216/2068528 (269.9s)
CRC VERIFIED 909312/2068528 (271.2s)
CRC VERIFIED 913408/2068528 (272.4s)
CRC VERIFIED 917504/2068528 (273.6s)
CRC VERIFIED 921600/2068528 (274.9s)
CRC VERIFIED 925696/2068528 (276.1s)
CRC VERIFIED 929792/2068528 (277.3s)
CRC VERIFIED 933888/2068528 (278.5s)
CRC VERIFIED 937984/2068528 (279.7s)
CRC VERIFIED 942080/2068528 (280.9s)
CRC VERIFIED 946176/2068528 (282.2s)
CRC VERIFIED 950272/2068528 (283.4s)
CRC VERIFIED 954368/2068528 (284.6s)
CRC VERIFIED 958464/2068528 (285.8s)
CRC VERIFIED 962560/2068528 (287.0s)
CRC VERIFIED 966656/2068528 (288.2s)
CRC VERIFIED 970752/2068528 (289.4s)
CRC VERIFIED 974848/2068528 (290.6s)
CRC VERIFIED 978944/2068528 (291.8s)
CRC VERIFIED 983040/2068528 (293.1s)
CRC VERIFIED 987136/2068528 (294.3s)
CRC VERIFIED 991232/2068528 (295.5s)
CRC VERIFIED 995328/2068528 (296.7s)
CRC VERIFIED 999424/2068528 (297.9s)
CRC VERIFIED 1003520/2068528 (299.1s)
CRC VERIFIED 1007616/2068528 (300.3s)
CRC VERIFIED 1011712/2068528 (301.5s)
CRC VERIFIED 1015808/2068528 (302.7s)
CRC VERIFIED 1019904/2068528 (304.0s)
CRC VERIFIED 1024000/2068528 (305.2s)
CRC VERIFIED 1028096/2068528 (306.4s)
CRC VERIFIED 1032192/2068528 (307.6s)
CRC VERIFIED 1036288/2068528 (308.9s)
CRC VERIFIED 1040384/2068528 (310.1s)
CRC VERIFIED 1044480/2068528 (311.3s)
CRC VERIFIED 1048576/2068528 (312.5s)
CRC VERIFIED 1052672/2068528 (313.7s)
CRC VERIFIED 1056768/2068528 (314.9s)
CRC VERIFIED 1060864/2068528 (316.1s)
CRC VERIFIED 1064960/2068528 (317.3s)
CRC VERIFIED 1069056/2068528 (318.6s)
CRC VERIFIED 1073152/2068528 (319.8s)
CRC VERIFIED 1077248/2068528 (321.0s)
CRC VERIFIED 1081344/2068528 (322.2s)
CRC VERIFIED 1085440/2068528 (323.5s)
CRC VERIFIED 1089536/2068528 (324.7s)
CRC VERIFIED 1093632/2068528 (325.9s)
CRC VERIFIED 1097728/2068528 (327.0s)
CRC VERIFIED 1101824/2068528 (328.2s)
CRC VERIFIED 1105920/2068528 (329.4s)
CRC VERIFIED 1110016/2068528 (330.7s)
CRC VERIFIED 1114112/2068528 (331.9s)
CRC VERIFIED 1118208/2068528 (333.1s)
CRC VERIFIED 1122304/2068528 (334.3s)
CRC VERIFIED 1126400/2068528 (335.5s)
CRC VERIFIED 1130496/2068528 (336.8s)
CRC VERIFIED 1134592/2068528 (338.0s)
CRC VERIFIED 1138688/2068528 (339.3s)
CRC VERIFIED 1142784/2068528 (340.5s)
CRC VERIFIED 1146880/2068528 (341.8s)
CRC VERIFIED 1150976/2068528 (343.0s)
CRC VERIFIED 1155072/2068528 (344.2s)
CRC VERIFIED 1159168/2068528 (345.4s)
CRC VERIFIED 1163264/2068528 (346.6s)
CRC VERIFIED 1167360/2068528 (347.8s)
CRC VERIFIED 1171456/2068528 (349.0s)
CRC VERIFIED 1175552/2068528 (350.3s)
CRC VERIFIED 1179648/2068528 (351.5s)
CRC VERIFIED 1183744/2068528 (352.8s)
CRC VERIFIED 1187840/2068528 (354.0s)
CRC VERIFIED 1191936/2068528 (355.2s)
CRC VERIFIED 1196032/2068528 (356.4s)
CRC VERIFIED 1200128/2068528 (357.6s)
CRC VERIFIED 1204224/2068528 (358.9s)
CRC VERIFIED 1208320/2068528 (360.1s)
CRC VERIFIED 1212416/2068528 (361.3s)
CRC VERIFIED 1216512/2068528 (362.5s)
CRC VERIFIED 1220608/2068528 (363.7s)
CRC VERIFIED 1224704/2068528 (364.9s)
CRC VERIFIED 1228800/2068528 (366.1s)
CRC VERIFIED 1232896/2068528 (367.3s)
CRC VERIFIED 1236992/2068528 (368.5s)
CRC VERIFIED 1241088/2068528 (369.7s)
CRC VERIFIED 1245184/2068528 (370.9s)
CRC VERIFIED 1249280/2068528 (372.2s)
CRC VERIFIED 1253376/2068528 (373.4s)
CRC VERIFIED 1257472/2068528 (374.6s)
CRC VERIFIED 1261568/2068528 (375.9s)
CRC VERIFIED 1265664/2068528 (377.1s)
CRC VERIFIED 1269760/2068528 (378.3s)
CRC VERIFIED 1273856/2068528 (379.5s)
CRC VERIFIED 1277952/2068528 (380.8s)
CRC VERIFIED 1282048/2068528 (382.0s)
CRC VERIFIED 1286144/2068528 (383.2s)
CRC VERIFIED 1290240/2068528 (384.4s)
CRC VERIFIED 1294336/2068528 (385.6s)
CRC VERIFIED 1298432/2068528 (386.9s)
CRC VERIFIED 1302528/2068528 (388.1s)
CRC VERIFIED 1306624/2068528 (389.3s)
CRC VERIFIED 1310720/2068528 (390.5s)
CRC VERIFIED 1314816/2068528 (391.8s)
CRC VERIFIED 1318912/2068528 (393.0s)
CRC VERIFIED 1323008/2068528 (394.2s)
CRC VERIFIED 1327104/2068528 (395.4s)
CRC VERIFIED 1331200/2068528 (396.6s)
CRC VERIFIED 1335296/2068528 (397.9s)
CRC VERIFIED 1339392/2068528 (399.1s)
CRC VERIFIED 1343488/2068528 (400.3s)
CRC VERIFIED 1347584/2068528 (401.5s)
CRC VERIFIED 1351680/2068528 (402.8s)
CRC VERIFIED 1355776/2068528 (404.0s)
CRC VERIFIED 1359872/2068528 (405.2s)
CRC VERIFIED 1363968/2068528 (406.5s)
CRC VERIFIED 1368064/2068528 (407.7s)
CRC VERIFIED 1372160/2068528 (408.9s)
CRC VERIFIED 1376256/2068528 (410.1s)
CRC VERIFIED 1380352/2068528 (411.3s)
CRC VERIFIED 1384448/2068528 (412.5s)
CRC VERIFIED 1388544/2068528 (413.8s)
CRC VERIFIED 1392640/2068528 (415.0s)
CRC VERIFIED 1396736/2068528 (416.2s)
CRC VERIFIED 1400832/2068528 (417.4s)
CRC VERIFIED 1404928/2068528 (418.6s)
CRC VERIFIED 1409024/2068528 (419.8s)
CRC VERIFIED 1413120/2068528 (421.1s)
CRC VERIFIED 1417216/2068528 (422.3s)
CRC VERIFIED 1421312/2068528 (423.5s)
CRC VERIFIED 1425408/2068528 (424.7s)
CRC VERIFIED 1429504/2068528 (425.9s)
CRC VERIFIED 1433600/2068528 (427.2s)
CRC VERIFIED 1437696/2068528 (428.4s)
CRC VERIFIED 1441792/2068528 (429.6s)
CRC VERIFIED 1445888/2068528 (430.8s)
CRC VERIFIED 1449984/2068528 (432.0s)
CRC VERIFIED 1454080/2068528 (433.2s)
CRC VERIFIED 1458176/2068528 (434.5s)
CRC VERIFIED 1462272/2068528 (435.7s)
CRC VERIFIED 1466368/2068528 (436.9s)
CRC VERIFIED 1470464/2068528 (438.1s)
CRC VERIFIED 1474560/2068528 (439.4s)
CRC VERIFIED 1478656/2068528 (440.6s)
CRC VERIFIED 1482752/2068528 (441.8s)
CRC VERIFIED 1486848/2068528 (443.0s)
CRC VERIFIED 1490944/2068528 (444.2s)
CRC VERIFIED 1495040/2068528 (445.4s)
CRC VERIFIED 1499136/2068528 (446.7s)
CRC VERIFIED 1503232/2068528 (447.9s)
CRC VERIFIED 1507328/2068528 (449.1s)
CRC VERIFIED 1511424/2068528 (450.3s)
CRC VERIFIED 1515520/2068528 (451.6s)
CRC VERIFIED 1519616/2068528 (452.8s)
CRC VERIFIED 1523712/2068528 (454.0s)
CRC VERIFIED 1527808/2068528 (455.2s)
CRC VERIFIED 1531904/2068528 (456.4s)
CRC VERIFIED 1536000/2068528 (457.7s)
CRC VERIFIED 1540096/2068528 (458.9s)
CRC VERIFIED 1544192/2068528 (460.1s)
CRC VERIFIED 1548288/2068528 (461.3s)
CRC VERIFIED 1552384/2068528 (462.5s)
CRC VERIFIED 1556480/2068528 (463.7s)
CRC VERIFIED 1560576/2068528 (465.0s)
CRC VERIFIED 1564672/2068528 (466.2s)
CRC VERIFIED 1568768/2068528 (467.4s)
CRC VERIFIED 1572864/2068528 (468.7s)
CRC VERIFIED 1576960/2068528 (469.9s)
CRC VERIFIED 1581056/2068528 (471.1s)
CRC VERIFIED 1585152/2068528 (472.3s)
CRC VERIFIED 1589248/2068528 (473.6s)
CRC VERIFIED 1593344/2068528 (474.8s)
CRC VERIFIED 1597440/2068528 (476.0s)
CRC VERIFIED 1601536/2068528 (477.2s)
CRC VERIFIED 1605632/2068528 (478.5s)
CRC VERIFIED 1609728/2068528 (479.7s)
CRC VERIFIED 1613824/2068528 (480.9s)
CRC VERIFIED 1617920/2068528 (482.1s)
CRC VERIFIED 1622016/2068528 (483.3s)
CRC VERIFIED 1626112/2068528 (484.5s)
CRC VERIFIED 1630208/2068528 (485.8s)
CRC VERIFIED 1634304/2068528 (487.0s)
CRC VERIFIED 1638400/2068528 (488.2s)
CRC VERIFIED 1642496/2068528 (489.4s)
CRC VERIFIED 1646592/2068528 (490.6s)
CRC VERIFIED 1650688/2068528 (491.9s)
CRC VERIFIED 1654784/2068528 (493.1s)
CRC VERIFIED 1658880/2068528 (494.3s)
CRC VERIFIED 1662976/2068528 (495.5s)
CRC VERIFIED 1667072/2068528 (496.7s)
CRC VERIFIED 1671168/2068528 (497.9s)
CRC VERIFIED 1675264/2068528 (499.1s)
CRC VERIFIED 1679360/2068528 (500.4s)
CRC VERIFIED 1683456/2068528 (501.6s)
CRC VERIFIED 1687552/2068528 (502.8s)
CRC VERIFIED 1691648/2068528 (504.0s)
CRC VERIFIED 1695744/2068528 (505.2s)
CRC VERIFIED 1699840/2068528 (506.5s)
CRC VERIFIED 1703936/2068528 (507.7s)
CRC VERIFIED 1708032/2068528 (508.9s)
CRC VERIFIED 1712128/2068528 (510.1s)
CRC VERIFIED 1716224/2068528 (511.3s)
CRC VERIFIED 1720320/2068528 (512.5s)
CRC VERIFIED 1724416/2068528 (513.8s)
CRC VERIFIED 1728512/2068528 (515.0s)
CRC VERIFIED 1732608/2068528 (516.2s)
CRC VERIFIED 1736704/2068528 (517.4s)
CRC VERIFIED 1740800/2068528 (518.6s)
CRC VERIFIED 1744896/2068528 (519.8s)
CRC VERIFIED 1748992/2068528 (521.1s)
CRC VERIFIED 1753088/2068528 (522.3s)
CRC VERIFIED 1757184/2068528 (523.5s)
CRC VERIFIED 1761280/2068528 (524.7s)
CRC VERIFIED 1765376/2068528 (525.9s)
CRC VERIFIED 1769472/2068528 (527.1s)
CRC VERIFIED 1773568/2068528 (528.4s)
CRC VERIFIED 1777664/2068528 (529.6s)
CRC VERIFIED 1781760/2068528 (530.8s)
CRC VERIFIED 1785856/2068528 (532.0s)
CRC VERIFIED 1789952/2068528 (533.2s)
CRC VERIFIED 1794048/2068528 (534.4s)
CRC VERIFIED 1798144/2068528 (535.7s)
CRC VERIFIED 1802240/2068528 (536.9s)
CRC VERIFIED 1806336/2068528 (538.1s)
CRC VERIFIED 1810432/2068528 (539.3s)
CRC VERIFIED 1814528/2068528 (540.5s)
CRC VERIFIED 1818624/2068528 (541.7s)
CRC VERIFIED 1822720/2068528 (543.0s)
CRC VERIFIED 1826816/2068528 (544.2s)
CRC VERIFIED 1830912/2068528 (545.4s)
CRC VERIFIED 1835008/2068528 (546.6s)
CRC VERIFIED 1839104/2068528 (547.8s)
CRC VERIFIED 1843200/2068528 (549.1s)
CRC VERIFIED 1847296/2068528 (550.3s)
CRC VERIFIED 1851392/2068528 (551.5s)
CRC VERIFIED 1855488/2068528 (552.7s)
CRC VERIFIED 1859584/2068528 (553.9s)
CRC VERIFIED 1863680/2068528 (555.1s)
CRC VERIFIED 1867776/2068528 (556.3s)
CRC VERIFIED 1871872/2068528 (557.6s)
CRC VERIFIED 1875968/2068528 (558.8s)
CRC VERIFIED 1880064/2068528 (560.0s)
CRC VERIFIED 1884160/2068528 (561.2s)
CRC VERIFIED 1888256/2068528 (562.4s)
CRC VERIFIED 1892352/2068528 (563.6s)
CRC VERIFIED 1896448/2068528 (564.9s)
CRC VERIFIED 1900544/2068528 (566.1s)
CRC VERIFIED 1904640/2068528 (567.3s)
CRC VERIFIED 1908736/2068528 (568.5s)
CRC VERIFIED 1912832/2068528 (569.7s)
CRC VERIFIED 1916928/2068528 (571.0s)
CRC VERIFIED 1921024/2068528 (572.2s)
CRC VERIFIED 1925120/2068528 (573.4s)
CRC VERIFIED 1929216/2068528 (574.6s)
CRC VERIFIED 1933312/2068528 (575.8s)
CRC VERIFIED 1937408/2068528 (577.0s)
CRC VERIFIED 1941504/2068528 (578.2s)
CRC VERIFIED 1945600/2068528 (579.5s)
CRC VERIFIED 1949696/2068528 (580.7s)
CRC VERIFIED 1953792/2068528 (581.9s)
CRC VERIFIED 1957888/2068528 (583.1s)
CRC VERIFIED 1961984/2068528 (584.3s)
CRC VERIFIED 1966080/2068528 (585.5s)
CRC VERIFIED 1970176/2068528 (586.8s)
CRC VERIFIED 1974272/2068528 (588.0s)
CRC VERIFIED 1978368/2068528 (589.2s)
CRC VERIFIED 1982464/2068528 (590.4s)
CRC VERIFIED 1986560/2068528 (591.7s)
CRC VERIFIED 1990656/2068528 (592.9s)
CRC VERIFIED 1994752/2068528 (594.1s)
CRC VERIFIED 1998848/2068528 (595.3s)
CRC VERIFIED 2002944/2068528 (596.5s)
CRC VERIFIED 2007040/2068528 (597.8s)
CRC VERIFIED 2011136/2068528 (599.0s)
CRC VERIFIED 2015232/2068528 (600.2s)
CRC VERIFIED 2019328/2068528 (601.5s)
CRC VERIFIED 2023424/2068528 (602.7s)
CRC VERIFIED 2027520/2068528 (603.9s)
CRC VERIFIED 2031616/2068528 (605.2s)
CRC VERIFIED 2035712/2068528 (606.4s)
CRC VERIFIED 2039808/2068528 (607.5s)
CRC VERIFIED 2043904/2068528 (608.7s)
CRC VERIFIED 2048000/2068528 (609.9s)
CRC VERIFIED 2052096/2068528 (611.0s)
CRC VERIFIED 2056192/2068528 (611.9s)
CRC VERIFIED 2060288/2068528 (612.8s)
CRC VERIFIED 2064384/2068528 (613.3s)
CRC VERIFIED 2068480/2068528 (613.6s)
CRC VERIFIED 2068528/2068528 (613.6s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (613.7s)
CRC VERIFIED 8192/193224 (613.8s)
CRC VERIFIED 12288/193224 (614.3s)
CRC VERIFIED 16384/193224 (615.5s)
CRC VERIFIED 20480/193224 (615.9s)
CRC VERIFIED 24576/193224 (615.9s)
CRC VERIFIED 28672/193224 (616.0s)
CRC VERIFIED 32768/193224 (616.0s)
CRC VERIFIED 36864/193224 (616.0s)
CRC VERIFIED 40960/193224 (616.1s)
CRC VERIFIED 45056/193224 (616.1s)
CRC VERIFIED 49152/193224 (617.2s)
CRC VERIFIED 53248/193224 (618.0s)
CRC VERIFIED 57344/193224 (618.1s)
CRC VERIFIED 61440/193224 (618.1s)
CRC VERIFIED 65536/193224 (618.2s)
CRC VERIFIED 69632/193224 (619.4s)
CRC VERIFIED 73728/193224 (620.6s)
CRC VERIFIED 77824/193224 (621.8s)
CRC VERIFIED 81920/193224 (623.0s)
CRC VERIFIED 86016/193224 (624.2s)
CRC VERIFIED 90112/193224 (624.9s)
CRC VERIFIED 94208/193224 (625.3s)
CRC VERIFIED 98304/193224 (626.0s)
CRC VERIFIED 102400/193224 (626.2s)
CRC VERIFIED 106496/193224 (626.2s)
CRC VERIFIED 110592/193224 (626.3s)
CRC VERIFIED 114688/193224 (626.3s)
CRC VERIFIED 118784/193224 (626.4s)
CRC VERIFIED 122880/193224 (626.5s)
CRC VERIFIED 126976/193224 (626.5s)
CRC VERIFIED 131072/193224 (626.5s)
CRC VERIFIED 135168/193224 (626.6s)
CRC VERIFIED 139264/193224 (626.6s)
CRC VERIFIED 143360/193224 (626.7s)
CRC VERIFIED 147456/193224 (627.0s)
CRC VERIFIED 151552/193224 (628.1s)
CRC VERIFIED 155648/193224 (629.3s)
CRC VERIFIED 159744/193224 (630.5s)
CRC VERIFIED 163840/193224 (630.7s)
CRC VERIFIED 167936/193224 (631.9s)
CRC VERIFIED 172032/193224 (633.2s)
CRC VERIFIED 176128/193224 (634.4s)
CRC VERIFIED 180224/193224 (635.6s)
CRC VERIFIED 184320/193224 (636.8s)
CRC VERIFIED 188416/193224 (638.1s)
CRC VERIFIED 192512/193224 (639.3s)
CRC VERIFIED 193224/193224 (639.6s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (640.8s)
CRC VERIFIED 8192/356616 (642.0s)
CRC VERIFIED 12288/356616 (643.2s)
CRC VERIFIED 16384/356616 (644.3s)
CRC VERIFIED 20480/356616 (645.4s)
CRC VERIFIED 24576/356616 (645.6s)
CRC VERIFIED 28672/356616 (645.6s)
CRC VERIFIED 32768/356616 (645.7s)
CRC VERIFIED 36864/356616 (645.7s)
CRC VERIFIED 40960/356616 (646.6s)
CRC VERIFIED 45056/356616 (647.8s)
CRC VERIFIED 49152/356616 (649.0s)
