IMAGE 2085120 c06c79e13187f8e88244c8d8db151135f1bbcdf6d11faecbeeae3e8f6e7bffda
CRC VERIFIED 176128/2085120 (51.5s)
CRC VERIFIED 180224/2085120 (52.8s)
CRC VERIFIED 184320/2085120 (54.0s)
CRC VERIFIED 188416/2085120 (55.1s)
CRC VERIFIED 192512/2085120 (56.3s)
CRC VERIFIED 196608/2085120 (57.5s)
CRC VERIFIED 200704/2085120 (58.7s)
CRC VERIFIED 204800/2085120 (59.9s)
CRC VERIFIED 208896/2085120 (61.1s)
CRC VERIFIED 212992/2085120 (62.3s)
CRC VERIFIED 217088/2085120 (63.5s)
CRC VERIFIED 221184/2085120 (64.7s)
CRC VERIFIED 225280/2085120 (65.9s)
CRC VERIFIED 229376/2085120 (67.2s)
CRC VERIFIED 233472/2085120 (68.3s)
CRC VERIFIED 237568/2085120 (69.6s)
CRC VERIFIED 241664/2085120 (70.8s)
CRC VERIFIED 245760/2085120 (72.0s)
CRC VERIFIED 249856/2085120 (73.2s)
CRC VERIFIED 253952/2085120 (74.4s)
CRC VERIFIED 258048/2085120 (75.6s)
CRC VERIFIED 262144/2085120 (76.8s)
CRC VERIFIED 266240/2085120 (76.8s)
CRC VERIFIED 270336/2085120 (78.0s)
CRC VERIFIED 274432/2085120 (78.0s)
CRC VERIFIED 278528/2085120 (79.2s)
CRC VERIFIED 282624/2085120 (80.5s)
CRC VERIFIED 286720/2085120 (81.7s)
CRC VERIFIED 290816/2085120 (82.9s)
CRC VERIFIED 294912/2085120 (84.1s)
CRC VERIFIED 299008/2085120 (85.3s)
CRC VERIFIED 303104/2085120 (86.5s)
CRC VERIFIED 307200/2085120 (87.7s)
CRC VERIFIED 311296/2085120 (88.9s)
CRC VERIFIED 315392/2085120 (90.1s)
CRC VERIFIED 319488/2085120 (91.3s)
RAM REUSE VERIFIED 319488
CRC VERIFIED 327680/2085120 (92.5s)
CRC VERIFIED 331776/2085120 (93.8s)
CRC VERIFIED 335872/2085120 (95.0s)
CRC VERIFIED 339968/2085120 (96.2s)
CRC VERIFIED 344064/2085120 (97.4s)
CRC VERIFIED 348160/2085120 (98.6s)
CRC VERIFIED 352256/2085120 (99.8s)
RAM REUSE VERIFIED 352256
CRC VERIFIED 360448/2085120 (101.0s)
CRC VERIFIED 364544/2085120 (102.2s)
CRC VERIFIED 368640/2085120 (103.4s)
CRC VERIFIED 372736/2085120 (104.6s)
CRC VERIFIED 376832/2085120 (105.8s)
CRC VERIFIED 380928/2085120 (107.0s)
CRC VERIFIED 385024/2085120 (108.2s)
CRC VERIFIED 389120/2085120 (109.4s)
CRC VERIFIED 393216/2085120 (110.7s)
CRC VERIFIED 397312/2085120 (111.9s)
CRC VERIFIED 401408/2085120 (113.1s)
CRC VERIFIED 405504/2085120 (114.3s)
CRC VERIFIED 409600/2085120 (115.5s)
CRC VERIFIED 413696/2085120 (116.7s)
CRC VERIFIED 417792/2085120 (117.8s)
CRC VERIFIED 421888/2085120 (119.0s)
CRC VERIFIED 425984/2085120 (120.2s)
CRC VERIFIED 430080/2085120 (121.4s)
CRC VERIFIED 434176/2085120 (122.6s)
CRC VERIFIED 438272/2085120 (123.8s)
CRC VERIFIED 442368/2085120 (125.0s)
CRC VERIFIED 446464/2085120 (126.2s)
CRC VERIFIED 450560/2085120 (127.4s)
CRC VERIFIED 454656/2085120 (128.6s)
CRC VERIFIED 458752/2085120 (129.8s)
CRC VERIFIED 462848/2085120 (131.0s)
CRC VERIFIED 466944/2085120 (132.2s)
CRC VERIFIED 471040/2085120 (133.4s)
CRC VERIFIED 475136/2085120 (134.6s)
CRC VERIFIED 479232/2085120 (135.8s)
CRC VERIFIED 483328/2085120 (137.0s)
CRC VERIFIED 487424/2085120 (138.2s)
CRC VERIFIED 491520/2085120 (139.5s)
CRC VERIFIED 495616/2085120 (140.7s)
CRC VERIFIED 499712/2085120 (141.8s)
CRC VERIFIED 503808/2085120 (143.0s)
CRC VERIFIED 507904/2085120 (144.2s)
CRC VERIFIED 512000/2085120 (145.4s)
CRC VERIFIED 516096/2085120 (146.6s)
CRC VERIFIED 520192/2085120 (147.8s)
CRC VERIFIED 524288/2085120 (149.0s)
CRC VERIFIED 528384/2085120 (150.2s)
CRC VERIFIED 532480/2085120 (151.4s)
CRC VERIFIED 536576/2085120 (152.6s)
CRC VERIFIED 540672/2085120 (153.8s)
CRC VERIFIED 544768/2085120 (155.0s)
CRC VERIFIED 548864/2085120 (156.2s)
CRC VERIFIED 552960/2085120 (157.4s)
CRC VERIFIED 557056/2085120 (158.6s)
CRC VERIFIED 561152/2085120 (159.8s)
CRC VERIFIED 565248/2085120 (161.1s)
CRC VERIFIED 569344/2085120 (162.3s)
CRC VERIFIED 573440/2085120 (163.5s)
CRC VERIFIED 577536/2085120 (164.7s)
CRC VERIFIED 581632/2085120 (165.9s)
CRC VERIFIED 585728/2085120 (167.1s)
CRC VERIFIED 589824/2085120 (168.3s)
CRC VERIFIED 593920/2085120 (169.5s)
CRC VERIFIED 598016/2085120 (170.7s)
CRC VERIFIED 602112/2085120 (171.9s)
CRC VERIFIED 606208/2085120 (173.1s)
CRC VERIFIED 610304/2085120 (174.3s)
CRC VERIFIED 614400/2085120 (175.5s)
CRC VERIFIED 618496/2085120 (176.7s)
RAM REUSE VERIFIED 618496
RAM REUSE VERIFIED 622592
RAM REUSE VERIFIED 626688
RAM REUSE VERIFIED 630784
RAM REUSE VERIFIED 634880
RAM REUSE VERIFIED 638976
RAM REUSE VERIFIED 643072
RAM REUSE VERIFIED 647168
RAM REUSE VERIFIED 651264
RAM REUSE VERIFIED 655360
CRC VERIFIED 663552/2085120 (178.5s)
CRC VERIFIED 667648/2085120 (179.7s)
CRC VERIFIED 671744/2085120 (181.0s)
CRC VERIFIED 675840/2085120 (182.2s)
CRC VERIFIED 679936/2085120 (183.4s)
CRC VERIFIED 684032/2085120 (184.6s)
CRC VERIFIED 688128/2085120 (185.8s)
CRC VERIFIED 692224/2085120 (187.0s)
CRC VERIFIED 696320/2085120 (188.2s)
RAM REUSE VERIFIED 696320
RAM REUSE VERIFIED 700416
RAM REUSE VERIFIED 704512
CRC VERIFIED 712704/2085120 (189.5s)
CRC VERIFIED 716800/2085120 (190.7s)
CRC VERIFIED 720896/2085120 (191.9s)
CRC VERIFIED 724992/2085120 (193.1s)
CRC VERIFIED 729088/2085120 (194.3s)
CRC VERIFIED 733184/2085120 (195.5s)
CRC VERIFIED 737280/2085120 (196.7s)
CRC VERIFIED 741376/2085120 (197.9s)
CRC VERIFIED 745472/2085120 (199.1s)
CRC VERIFIED 749568/2085120 (200.3s)
CRC VERIFIED 753664/2085120 (201.5s)
CRC VERIFIED 757760/2085120 (202.7s)
CRC VERIFIED 761856/2085120 (203.9s)
CRC VERIFIED 765952/2085120 (205.1s)
CRC VERIFIED 770048/2085120 (206.3s)
CRC VERIFIED 774144/2085120 (207.5s)
CRC VERIFIED 778240/2085120 (208.7s)
CRC VERIFIED 782336/2085120 (209.9s)
CRC VERIFIED 786432/2085120 (211.1s)
CRC VERIFIED 790528/2085120 (212.3s)
CRC VERIFIED 794624/2085120 (212.4s)
CRC VERIFIED 798720/2085120 (213.0s)
CRC VERIFIED 802816/2085120 (214.2s)
RAM REUSE VERIFIED 802816
RAM REUSE VERIFIED 806912
RAM REUSE VERIFIED 811008
RAM REUSE VERIFIED 815104
RAM REUSE VERIFIED 819200
RAM REUSE VERIFIED 823296
RAM REUSE VERIFIED 827392
RAM REUSE VERIFIED 831488
CRC VERIFIED 839680/2085120 (216.0s)
RAM REUSE VERIFIED 839680
RAM REUSE VERIFIED 843776
CRC VERIFIED 851968/2085120 (217.3s)
RAM REUSE VERIFIED 851968
RAM REUSE VERIFIED 856064
RAM REUSE VERIFIED 860160
RAM REUSE VERIFIED 864256
RAM REUSE VERIFIED 868352
RAM REUSE VERIFIED 872448
RAM REUSE VERIFIED 876544
CRC VERIFIED 884736/2085120 (218.9s)
CRC VERIFIED 888832/2085120 (219.8s)
CRC VERIFIED 892928/2085120 (220.6s)
CRC VERIFIED 897024/2085120 (221.5s)
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
RAM REUSE VERIFIED 942080
RAM REUSE VERIFIED 946176
RAM REUSE VERIFIED 950272
RAM REUSE VERIFIED 954368
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
RAM REUSE VERIFIED 999424
RAM REUSE VERIFIED 1003520
RAM REUSE VERIFIED 1007616
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
RAM REUSE VERIFIED 2043904
CRC VERIFIED 2052096/2085120 (240.3s)
RAM REUSE VERIFIED 2052096
RAM REUSE VERIFIED 2056192
CRC VERIFIED 2064384/2085120 (241.5s)
CRC VERIFIED 2068480/2085120 (242.5s)
CRC VERIFIED 2072576/2085120 (243.5s)
CRC VERIFIED 2076672/2085120 (243.8s)
CRC VERIFIED 2080768/2085120 (244.2s)
CRC VERIFIED 2084864/2085120 (244.5s)
CRC VERIFIED 2085120/2085120 (244.6s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (244.6s)
CRC VERIFIED 8192/193224 (244.7s)
CRC VERIFIED 12288/193224 (244.7s)
CRC VERIFIED 16384/193224 (244.7s)
CRC VERIFIED 20480/193224 (244.7s)
CRC VERIFIED 24576/193224 (244.7s)
CRC VERIFIED 28672/193224 (244.7s)
CRC VERIFIED 32768/193224 (244.8s)
CRC VERIFIED 36864/193224 (244.8s)
CRC VERIFIED 40960/193224 (244.8s)
CRC VERIFIED 45056/193224 (244.8s)
CRC VERIFIED 49152/193224 (244.8s)
CRC VERIFIED 53248/193224 (244.8s)
CRC VERIFIED 57344/193224 (244.8s)
CRC VERIFIED 61440/193224 (244.9s)
CRC VERIFIED 65536/193224 (244.9s)
CRC VERIFIED 69632/193224 (244.9s)
CRC VERIFIED 73728/193224 (244.9s)
CRC VERIFIED 77824/193224 (244.9s)
CRC VERIFIED 81920/193224 (244.9s)
CRC VERIFIED 86016/193224 (245.0s)
CRC VERIFIED 90112/193224 (245.0s)
CRC VERIFIED 94208/193224 (245.0s)
CRC VERIFIED 98304/193224 (245.0s)
CRC VERIFIED 102400/193224 (245.0s)
CRC VERIFIED 106496/193224 (245.0s)
CRC VERIFIED 110592/193224 (245.0s)
CRC VERIFIED 114688/193224 (245.1s)
CRC VERIFIED 118784/193224 (245.1s)
CRC VERIFIED 122880/193224 (245.1s)
CRC VERIFIED 126976/193224 (245.1s)
CRC VERIFIED 131072/193224 (245.1s)
CRC VERIFIED 135168/193224 (245.1s)
CRC VERIFIED 139264/193224 (245.2s)
CRC VERIFIED 143360/193224 (245.2s)
CRC VERIFIED 147456/193224 (245.2s)
CRC VERIFIED 151552/193224 (245.2s)
CRC VERIFIED 155648/193224 (245.2s)
CRC VERIFIED 159744/193224 (245.2s)
CRC VERIFIED 163840/193224 (245.2s)
CRC VERIFIED 167936/193224 (245.3s)
CRC VERIFIED 172032/193224 (245.3s)
CRC VERIFIED 176128/193224 (245.3s)
CRC VERIFIED 180224/193224 (245.3s)
CRC VERIFIED 184320/193224 (245.3s)
CRC VERIFIED 188416/193224 (245.3s)
CRC VERIFIED 192512/193224 (245.4s)
CRC VERIFIED 193224/193224 (245.4s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (245.4s)
CRC VERIFIED 8192/356616 (245.4s)
CRC VERIFIED 12288/356616 (245.4s)
CRC VERIFIED 16384/356616 (245.5s)
CRC VERIFIED 20480/356616 (245.5s)
CRC VERIFIED 24576/356616 (245.5s)
CRC VERIFIED 28672/356616 (245.5s)
CRC VERIFIED 32768/356616 (245.5s)
CRC VERIFIED 36864/356616 (245.5s)
CRC VERIFIED 40960/356616 (245.5s)
CRC VERIFIED 45056/356616 (245.6s)
CRC VERIFIED 49152/356616 (245.6s)
CRC VERIFIED 53248/356616 (245.6s)
CRC VERIFIED 57344/356616 (245.6s)
CRC VERIFIED 61440/356616 (245.6s)
CRC VERIFIED 65536/356616 (245.6s)
CRC VERIFIED 69632/356616 (245.7s)
CRC VERIFIED 73728/356616 (245.7s)
CRC VERIFIED 77824/356616 (245.7s)
CRC VERIFIED 81920/356616 (245.7s)
CRC VERIFIED 86016/356616 (245.7s)
CRC VERIFIED 90112/356616 (245.7s)
CRC VERIFIED 94208/356616 (245.8s)
CRC VERIFIED 98304/356616 (245.8s)
CRC VERIFIED 102400/356616 (245.8s)
CRC VERIFIED 106496/356616 (245.8s)
CRC VERIFIED 110592/356616 (245.8s)
CRC VERIFIED 114688/356616 (245.8s)
CRC VERIFIED 118784/356616 (245.8s)
CRC VERIFIED 122880/356616 (245.8s)
CRC VERIFIED 126976/356616 (245.9s)
CRC VERIFIED 131072/356616 (245.9s)
CRC VERIFIED 135168/356616 (245.9s)
CRC VERIFIED 139264/356616 (245.9s)
CRC VERIFIED 143360/356616 (245.9s)
CRC VERIFIED 147456/356616 (246.0s)
CRC VERIFIED 151552/356616 (246.0s)
CRC VERIFIED 155648/356616 (246.0s)
CRC VERIFIED 159744/356616 (246.0s)
CRC VERIFIED 163840/356616 (246.0s)
CRC VERIFIED 167936/356616 (246.0s)
CRC VERIFIED 172032/356616 (246.0s)
CRC VERIFIED 176128/356616 (246.1s)
CRC VERIFIED 180224/356616 (246.1s)
CRC VERIFIED 184320/356616 (246.1s)
CRC VERIFIED 188416/356616 (246.1s)
CRC VERIFIED 192512/356616 (246.1s)
CRC VERIFIED 196608/356616 (246.1s)
CRC VERIFIED 200704/356616 (246.2s)
CRC VERIFIED 204800/356616 (246.2s)
CRC VERIFIED 208896/356616 (246.2s)
CRC VERIFIED 212992/356616 (246.2s)
CRC VERIFIED 217088/356616 (246.2s)
CRC VERIFIED 221184/356616 (246.2s)
CRC VERIFIED 225280/356616 (246.2s)
CRC VERIFIED 229376/356616 (246.3s)
CRC VERIFIED 233472/356616 (246.3s)
CRC VERIFIED 237568/356616 (246.3s)
CRC VERIFIED 241664/356616 (246.3s)
CRC VERIFIED 245760/356616 (246.3s)
CRC VERIFIED 249856/356616 (246.3s)
CRC VERIFIED 253952/356616 (246.4s)
CRC VERIFIED 258048/356616 (246.4s)
CRC VERIFIED 262144/356616 (246.4s)
CRC VERIFIED 266240/356616 (246.4s)
CRC VERIFIED 270336/356616 (246.4s)
CRC VERIFIED 274432/356616 (246.4s)
CRC VERIFIED 278528/356616 (246.5s)
CRC VERIFIED 282624/356616 (246.5s)
CRC VERIFIED 286720/356616 (246.5s)
CRC VERIFIED 290816/356616 (246.5s)
CRC VERIFIED 294912/356616 (246.5s)
CRC VERIFIED 299008/356616 (246.5s)
CRC VERIFIED 303104/356616 (246.5s)
CRC VERIFIED 307200/356616 (246.6s)
CRC VERIFIED 311296/356616 (246.6s)
CRC VERIFIED 315392/356616 (246.6s)
CRC VERIFIED 319488/356616 (246.6s)
CRC VERIFIED 323584/356616 (246.6s)
CRC VERIFIED 327680/356616 (246.6s)
CRC VERIFIED 331776/356616 (246.7s)
CRC VERIFIED 335872/356616 (246.7s)
CRC VERIFIED 339968/356616 (246.7s)
CRC VERIFIED 344064/356616 (246.7s)
CRC VERIFIED 348160/356616 (246.7s)
CRC VERIFIED 352256/356616 (246.7s)
CRC VERIFIED 356352/356616 (246.8s)
CRC VERIFIED 356616/356616 (246.8s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (246.8s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (246.8s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000

Fdt Ramdisk skip relocation

## Flattened Device Tree blob at 0x48300000

   Booting using the fdt blob at 0x48300000

   Using Device Tree in place at 0000000048300000, end 0000000048326532

No resource file: logo_kernel.bmp

VP0 fail to load kernel logo

## reserved-memory:

  ramoops@40110000: addr=40110000 size=e0000

Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)

Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)

