IMAGE 2212608 7fa95ddfeeee2de9d832cbf7cf10a440c5fef158b0a11811deeee6b885cc2b75
CRC VERIFIED 405504/2212608 (115.7s)
CRC VERIFIED 409600/2212608 (116.9s)
CRC VERIFIED 413696/2212608 (118.1s)
RAM REUSE VERIFIED 413696
CRC VERIFIED 421888/2212608 (119.3s)
CRC VERIFIED 425984/2212608 (120.5s)
CRC VERIFIED 430080/2212608 (121.7s)
CRC VERIFIED 434176/2212608 (122.9s)
CRC VERIFIED 438272/2212608 (124.1s)
CRC VERIFIED 442368/2212608 (125.3s)
CRC VERIFIED 446464/2212608 (126.5s)
CRC VERIFIED 450560/2212608 (127.7s)
CRC VERIFIED 454656/2212608 (128.9s)
CRC VERIFIED 458752/2212608 (130.1s)
CRC VERIFIED 462848/2212608 (131.3s)
CRC VERIFIED 466944/2212608 (132.5s)
CRC VERIFIED 471040/2212608 (133.7s)
CRC VERIFIED 475136/2212608 (134.8s)
CRC VERIFIED 479232/2212608 (136.0s)
CRC VERIFIED 483328/2212608 (137.2s)
CRC VERIFIED 487424/2212608 (138.5s)
CRC VERIFIED 491520/2212608 (139.7s)
CRC VERIFIED 495616/2212608 (140.9s)
CRC VERIFIED 499712/2212608 (142.0s)
CRC VERIFIED 503808/2212608 (143.2s)
CRC VERIFIED 507904/2212608 (144.4s)
CRC VERIFIED 512000/2212608 (145.6s)
CRC VERIFIED 516096/2212608 (146.8s)
CRC VERIFIED 520192/2212608 (148.0s)
CRC VERIFIED 524288/2212608 (149.2s)
CRC VERIFIED 528384/2212608 (150.4s)
CRC VERIFIED 532480/2212608 (151.6s)
CRC VERIFIED 536576/2212608 (152.8s)
CRC VERIFIED 540672/2212608 (154.0s)
CRC VERIFIED 544768/2212608 (155.1s)
CRC VERIFIED 548864/2212608 (156.3s)
CRC VERIFIED 552960/2212608 (157.5s)
CRC VERIFIED 557056/2212608 (158.7s)
CRC VERIFIED 561152/2212608 (159.9s)
CRC VERIFIED 565248/2212608 (161.1s)
CRC VERIFIED 569344/2212608 (162.3s)
CRC VERIFIED 573440/2212608 (163.5s)
CRC VERIFIED 577536/2212608 (164.7s)
CRC VERIFIED 581632/2212608 (165.8s)
CRC VERIFIED 585728/2212608 (167.0s)
CRC VERIFIED 589824/2212608 (168.2s)
CRC VERIFIED 593920/2212608 (169.4s)
CRC VERIFIED 598016/2212608 (170.6s)
CRC VERIFIED 602112/2212608 (171.8s)
CRC VERIFIED 606208/2212608 (173.0s)
CRC VERIFIED 610304/2212608 (174.2s)
CRC VERIFIED 614400/2212608 (175.4s)
CRC VERIFIED 618496/2212608 (176.6s)
CRC VERIFIED 622592/2212608 (177.8s)
CRC VERIFIED 626688/2212608 (179.0s)
CRC VERIFIED 630784/2212608 (180.2s)
CRC VERIFIED 634880/2212608 (181.4s)
CRC VERIFIED 638976/2212608 (182.5s)
CRC VERIFIED 643072/2212608 (183.8s)
CRC VERIFIED 647168/2212608 (184.9s)
CRC VERIFIED 651264/2212608 (186.1s)
CRC VERIFIED 655360/2212608 (187.3s)
CRC VERIFIED 659456/2212608 (188.5s)
CRC VERIFIED 663552/2212608 (189.7s)
CRC VERIFIED 667648/2212608 (190.9s)
CRC VERIFIED 671744/2212608 (192.1s)
CRC VERIFIED 675840/2212608 (193.3s)
CRC VERIFIED 679936/2212608 (194.5s)
CRC VERIFIED 684032/2212608 (195.7s)
CRC VERIFIED 688128/2212608 (196.8s)
RAM REUSE VERIFIED 688128
RAM REUSE VERIFIED 692224
RAM REUSE VERIFIED 696320
RAM REUSE VERIFIED 700416
RAM REUSE VERIFIED 704512
RAM REUSE VERIFIED 708608
RAM REUSE VERIFIED 712704
RAM REUSE VERIFIED 716800
RAM REUSE VERIFIED 720896
RAM REUSE VERIFIED 724992
CRC VERIFIED 733184/2212608 (198.6s)
CRC VERIFIED 737280/2212608 (199.8s)
CRC VERIFIED 741376/2212608 (201.1s)
CRC VERIFIED 745472/2212608 (202.2s)
CRC VERIFIED 749568/2212608 (203.4s)
CRC VERIFIED 753664/2212608 (204.6s)
CRC VERIFIED 757760/2212608 (205.8s)
CRC VERIFIED 761856/2212608 (207.0s)
RAM REUSE VERIFIED 761856
RAM REUSE VERIFIED 765952
RAM REUSE VERIFIED 770048
CRC VERIFIED 778240/2212608 (208.4s)
CRC VERIFIED 782336/2212608 (209.6s)
CRC VERIFIED 786432/2212608 (210.8s)
CRC VERIFIED 790528/2212608 (212.0s)
CRC VERIFIED 794624/2212608 (213.2s)
CRC VERIFIED 798720/2212608 (214.3s)
CRC VERIFIED 802816/2212608 (215.5s)
CRC VERIFIED 806912/2212608 (216.7s)
CRC VERIFIED 811008/2212608 (217.9s)
CRC VERIFIED 815104/2212608 (219.1s)
CRC VERIFIED 819200/2212608 (220.4s)
CRC VERIFIED 823296/2212608 (221.5s)
CRC VERIFIED 827392/2212608 (222.7s)
CRC VERIFIED 831488/2212608 (223.9s)
CRC VERIFIED 835584/2212608 (225.1s)
CRC VERIFIED 839680/2212608 (226.3s)
CRC VERIFIED 843776/2212608 (227.5s)
CRC VERIFIED 847872/2212608 (228.7s)
CRC VERIFIED 851968/2212608 (229.9s)
CRC VERIFIED 856064/2212608 (231.1s)
CRC VERIFIED 860160/2212608 (232.3s)
CRC VERIFIED 864256/2212608 (233.5s)
CRC VERIFIED 868352/2212608 (234.7s)
CRC VERIFIED 872448/2212608 (235.8s)
CRC VERIFIED 876544/2212608 (237.0s)
CRC VERIFIED 880640/2212608 (238.2s)
CRC VERIFIED 884736/2212608 (239.4s)
CRC VERIFIED 888832/2212608 (240.6s)
CRC VERIFIED 892928/2212608 (241.8s)
CRC VERIFIED 897024/2212608 (242.9s)
CRC VERIFIED 901120/2212608 (243.4s)
CRC VERIFIED 905216/2212608 (243.4s)
CRC VERIFIED 909312/2212608 (244.0s)
CRC VERIFIED 913408/2212608 (245.3s)
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
CRC VERIFIED 946176/2212608 (246.9s)
CRC VERIFIED 950272/2212608 (248.1s)
RAM REUSE VERIFIED 950272
CRC VERIFIED 958464/2212608 (249.3s)
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
CRC VERIFIED 970752/2212608 (250.7s)
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
CRC VERIFIED 1003520/2212608 (252.0s)
CRC VERIFIED 1007616/2212608 (252.9s)
CRC VERIFIED 1011712/2212608 (253.8s)
CRC VERIFIED 1015808/2212608 (254.9s)
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
Traceback (most recent call last):
  File "E:\openvela\VelaVision\tools\uart_load_neon_file64.py", line 107, in <module>
    if source_offset >= 0 and crc_ok(snapshot_base + source_offset, chunk):
                              ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\openvela\VelaVision\tools\uart_load_neon_file64.py", line 89, in crc_ok
    out = command(f'crc32 {address:x} {len(data):x}')
          ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
  File "E:\openvela\VelaVision\tools\uart_load_neon_file64.py", line 73, in command
    s.write(raw[pos:pos+32])
  File "E:\openvela\无线适配_2026-09-08\tools\pydeps\serial\serialwin32.py", line 325, in write
    raise SerialTimeoutException('Write timeout')
serial.serialutil.SerialTimeoutException: Write timeout
