IMAGE 10514736 522047a5f8d6197ea0285227e581f3bce06e04ed23fb101af3dadc61b4f6fdd2
CRC VERIFIED 344064/10514736 (100.7s)
CRC VERIFIED 348160/10514736 (101.9s)
CRC VERIFIED 352256/10514736 (103.1s)
CRC VERIFIED 356352/10514736 (104.3s)
CRC VERIFIED 360448/10514736 (105.5s)
CRC VERIFIED 364544/10514736 (106.7s)
CRC VERIFIED 368640/10514736 (107.9s)
CRC VERIFIED 372736/10514736 (109.1s)
CRC VERIFIED 376832/10514736 (110.3s)
CRC VERIFIED 380928/10514736 (111.5s)
CRC VERIFIED 385024/10514736 (112.7s)
CRC VERIFIED 389120/10514736 (113.9s)
CRC VERIFIED 393216/10514736 (115.1s)
CRC VERIFIED 397312/10514736 (116.3s)
CRC VERIFIED 401408/10514736 (117.5s)
CRC VERIFIED 405504/10514736 (118.7s)
CRC VERIFIED 409600/10514736 (119.9s)
CRC VERIFIED 413696/10514736 (121.1s)
CRC VERIFIED 417792/10514736 (122.3s)
CRC VERIFIED 421888/10514736 (123.5s)
CRC VERIFIED 425984/10514736 (124.8s)
CRC VERIFIED 430080/10514736 (125.9s)
CRC VERIFIED 434176/10514736 (127.1s)
CRC VERIFIED 438272/10514736 (128.3s)
CRC VERIFIED 442368/10514736 (129.5s)
CRC VERIFIED 446464/10514736 (130.7s)
CRC VERIFIED 450560/10514736 (131.9s)
CRC VERIFIED 454656/10514736 (133.1s)
CRC VERIFIED 458752/10514736 (134.4s)
CRC VERIFIED 462848/10514736 (135.5s)
CRC VERIFIED 466944/10514736 (136.8s)
CRC VERIFIED 471040/10514736 (138.0s)
CRC VERIFIED 475136/10514736 (139.1s)
CRC VERIFIED 479232/10514736 (140.3s)
CRC VERIFIED 483328/10514736 (141.5s)
CRC VERIFIED 487424/10514736 (142.7s)
CRC VERIFIED 491520/10514736 (143.9s)
CRC VERIFIED 495616/10514736 (145.1s)
CRC VERIFIED 499712/10514736 (146.3s)
CRC VERIFIED 503808/10514736 (147.5s)
CRC VERIFIED 507904/10514736 (148.7s)
CRC VERIFIED 512000/10514736 (149.9s)
CRC VERIFIED 516096/10514736 (151.1s)
CRC VERIFIED 520192/10514736 (152.3s)
CRC VERIFIED 524288/10514736 (153.5s)
CRC VERIFIED 528384/10514736 (154.7s)
CRC VERIFIED 532480/10514736 (155.9s)
CRC VERIFIED 536576/10514736 (157.1s)
CRC VERIFIED 540672/10514736 (158.3s)
CRC VERIFIED 544768/10514736 (159.5s)
CRC VERIFIED 548864/10514736 (160.7s)
CRC VERIFIED 552960/10514736 (161.9s)
CRC VERIFIED 557056/10514736 (163.1s)
CRC VERIFIED 561152/10514736 (164.3s)
CRC VERIFIED 565248/10514736 (165.5s)
CRC VERIFIED 569344/10514736 (166.7s)
CRC VERIFIED 573440/10514736 (167.9s)
CRC VERIFIED 577536/10514736 (169.1s)
CRC VERIFIED 581632/10514736 (170.3s)
CRC VERIFIED 585728/10514736 (171.5s)
CRC VERIFIED 589824/10514736 (172.7s)
CRC VERIFIED 593920/10514736 (173.9s)
CRC VERIFIED 598016/10514736 (175.1s)
CRC VERIFIED 602112/10514736 (176.3s)
CRC VERIFIED 606208/10514736 (177.5s)
CRC VERIFIED 610304/10514736 (178.7s)
CRC VERIFIED 614400/10514736 (179.9s)
CRC VERIFIED 618496/10514736 (181.0s)
CRC VERIFIED 622592/10514736 (182.2s)
CRC VERIFIED 626688/10514736 (183.4s)
CRC VERIFIED 630784/10514736 (184.7s)
CRC VERIFIED 634880/10514736 (185.8s)
CRC VERIFIED 638976/10514736 (187.1s)
CRC VERIFIED 643072/10514736 (188.3s)
CRC VERIFIED 647168/10514736 (189.5s)
CRC VERIFIED 651264/10514736 (190.7s)
CRC VERIFIED 655360/10514736 (191.9s)
CRC VERIFIED 659456/10514736 (193.1s)
CRC VERIFIED 663552/10514736 (194.3s)
CRC VERIFIED 667648/10514736 (195.5s)
CRC VERIFIED 671744/10514736 (196.7s)
CRC VERIFIED 675840/10514736 (197.8s)
CRC VERIFIED 679936/10514736 (199.0s)
CRC VERIFIED 684032/10514736 (200.2s)
CRC VERIFIED 688128/10514736 (201.4s)
CRC VERIFIED 692224/10514736 (202.7s)
CRC VERIFIED 696320/10514736 (203.9s)
CRC VERIFIED 700416/10514736 (205.1s)
CRC VERIFIED 704512/10514736 (206.3s)
CRC VERIFIED 708608/10514736 (207.5s)
CRC VERIFIED 712704/10514736 (208.7s)
CRC VERIFIED 716800/10514736 (209.9s)
CRC VERIFIED 720896/10514736 (211.1s)
CRC VERIFIED 724992/10514736 (212.3s)
CRC VERIFIED 729088/10514736 (213.5s)
CRC VERIFIED 733184/10514736 (214.7s)
CRC VERIFIED 737280/10514736 (215.9s)
CRC VERIFIED 741376/10514736 (217.1s)
CRC VERIFIED 745472/10514736 (218.3s)
CRC VERIFIED 749568/10514736 (219.5s)
CRC VERIFIED 753664/10514736 (220.7s)
CRC VERIFIED 757760/10514736 (221.9s)
CRC VERIFIED 761856/10514736 (223.1s)
CRC VERIFIED 765952/10514736 (224.3s)
CRC VERIFIED 770048/10514736 (225.5s)
CRC VERIFIED 774144/10514736 (226.7s)
CRC VERIFIED 778240/10514736 (227.9s)
CRC VERIFIED 782336/10514736 (229.1s)
CRC VERIFIED 786432/10514736 (230.3s)
CRC VERIFIED 790528/10514736 (231.5s)
CRC VERIFIED 794624/10514736 (232.7s)
CRC VERIFIED 798720/10514736 (233.9s)
CRC VERIFIED 802816/10514736 (235.2s)
CRC VERIFIED 806912/10514736 (236.4s)
CRC VERIFIED 811008/10514736 (237.6s)
CRC VERIFIED 815104/10514736 (238.8s)
CRC VERIFIED 819200/10514736 (240.0s)
CRC VERIFIED 823296/10514736 (241.2s)
CRC VERIFIED 827392/10514736 (242.4s)
CRC VERIFIED 831488/10514736 (243.6s)
CRC VERIFIED 835584/10514736 (244.8s)
CRC VERIFIED 839680/10514736 (246.0s)
CRC VERIFIED 843776/10514736 (247.2s)
CRC VERIFIED 847872/10514736 (248.4s)
CRC VERIFIED 851968/10514736 (249.6s)
CRC VERIFIED 856064/10514736 (250.8s)
CRC VERIFIED 860160/10514736 (252.0s)
CRC VERIFIED 864256/10514736 (253.2s)
CRC VERIFIED 868352/10514736 (254.4s)
CRC VERIFIED 872448/10514736 (255.6s)
CRC VERIFIED 876544/10514736 (256.8s)
CRC VERIFIED 880640/10514736 (258.0s)
CRC VERIFIED 884736/10514736 (259.2s)
CRC VERIFIED 888832/10514736 (260.4s)
CRC VERIFIED 892928/10514736 (261.6s)
CRC VERIFIED 897024/10514736 (262.8s)
CRC VERIFIED 901120/10514736 (264.0s)
CRC VERIFIED 905216/10514736 (265.2s)
CRC VERIFIED 909312/10514736 (266.4s)
CRC VERIFIED 913408/10514736 (267.6s)
CRC VERIFIED 917504/10514736 (268.8s)
CRC VERIFIED 921600/10514736 (270.0s)
CRC VERIFIED 925696/10514736 (271.1s)
CRC VERIFIED 929792/10514736 (272.3s)
CRC VERIFIED 933888/10514736 (273.5s)
CRC VERIFIED 937984/10514736 (274.8s)
CRC VERIFIED 942080/10514736 (275.9s)
CRC VERIFIED 946176/10514736 (277.1s)
CRC VERIFIED 950272/10514736 (278.4s)
CRC VERIFIED 954368/10514736 (279.6s)
CRC VERIFIED 958464/10514736 (280.8s)
CRC VERIFIED 962560/10514736 (281.9s)
CRC VERIFIED 966656/10514736 (283.1s)
CRC VERIFIED 970752/10514736 (284.3s)
CRC VERIFIED 974848/10514736 (285.5s)
CRC VERIFIED 978944/10514736 (286.7s)
CRC VERIFIED 983040/10514736 (287.9s)
CRC VERIFIED 987136/10514736 (289.0s)
CRC VERIFIED 991232/10514736 (290.2s)
CRC VERIFIED 995328/10514736 (291.4s)
CRC VERIFIED 999424/10514736 (292.6s)
CRC VERIFIED 1003520/10514736 (293.8s)
CRC VERIFIED 1007616/10514736 (295.0s)
CRC VERIFIED 1011712/10514736 (296.2s)
CRC VERIFIED 1015808/10514736 (297.4s)
CRC VERIFIED 1019904/10514736 (298.7s)
CRC VERIFIED 1024000/10514736 (299.9s)
CRC VERIFIED 1028096/10514736 (301.0s)
CRC VERIFIED 1032192/10514736 (302.2s)
CRC VERIFIED 1036288/10514736 (303.4s)
CRC VERIFIED 1040384/10514736 (304.6s)
CRC VERIFIED 1044480/10514736 (305.8s)
CRC VERIFIED 1048576/10514736 (307.0s)
CRC VERIFIED 1052672/10514736 (308.2s)
CRC VERIFIED 1056768/10514736 (309.3s)
CRC VERIFIED 1060864/10514736 (310.5s)
CRC VERIFIED 1064960/10514736 (311.7s)
CRC VERIFIED 1069056/10514736 (312.9s)
CRC VERIFIED 1073152/10514736 (314.1s)
CRC VERIFIED 1077248/10514736 (315.3s)
CRC VERIFIED 1081344/10514736 (316.5s)
CRC VERIFIED 1085440/10514736 (317.6s)
CRC VERIFIED 1089536/10514736 (318.8s)
CRC VERIFIED 1093632/10514736 (320.0s)
CRC VERIFIED 1097728/10514736 (321.2s)
CRC VERIFIED 1101824/10514736 (322.4s)
CRC VERIFIED 1105920/10514736 (323.6s)
CRC VERIFIED 1110016/10514736 (324.8s)
CRC VERIFIED 1114112/10514736 (326.0s)
CRC VERIFIED 1118208/10514736 (327.2s)
CRC VERIFIED 1122304/10514736 (328.4s)
CRC VERIFIED 1126400/10514736 (329.6s)
CRC VERIFIED 1130496/10514736 (330.8s)
CRC VERIFIED 1134592/10514736 (332.0s)
CRC VERIFIED 1138688/10514736 (333.1s)
CRC VERIFIED 1142784/10514736 (334.3s)
CRC VERIFIED 1146880/10514736 (335.5s)
CRC VERIFIED 1150976/10514736 (336.7s)
CRC VERIFIED 1155072/10514736 (337.9s)
CRC VERIFIED 1159168/10514736 (339.1s)
CRC VERIFIED 1163264/10514736 (340.3s)
CRC VERIFIED 1167360/10514736 (341.5s)
CRC VERIFIED 1171456/10514736 (342.7s)
CRC VERIFIED 1175552/10514736 (343.9s)
CRC VERIFIED 1179648/10514736 (345.1s)
CRC VERIFIED 1183744/10514736 (346.2s)
CRC VERIFIED 1187840/10514736 (347.5s)
CRC VERIFIED 1191936/10514736 (348.6s)
CRC VERIFIED 1196032/10514736 (349.8s)
CRC VERIFIED 1200128/10514736 (351.0s)
CRC VERIFIED 1204224/10514736 (352.2s)
CRC VERIFIED 1208320/10514736 (353.4s)
CRC VERIFIED 1212416/10514736 (354.6s)
CRC VERIFIED 1216512/10514736 (355.8s)
CRC VERIFIED 1220608/10514736 (357.0s)
CRC VERIFIED 1224704/10514736 (358.2s)
CRC VERIFIED 1228800/10514736 (359.4s)
CRC VERIFIED 1232896/10514736 (360.6s)
CRC VERIFIED 1236992/10514736 (361.8s)
CRC VERIFIED 1241088/10514736 (363.0s)
CRC VERIFIED 1245184/10514736 (364.2s)
CRC VERIFIED 1249280/10514736 (365.4s)
CRC VERIFIED 1253376/10514736 (366.6s)
CRC VERIFIED 1257472/10514736 (367.8s)
CRC VERIFIED 1261568/10514736 (369.0s)
CRC VERIFIED 1265664/10514736 (370.2s)
CRC VERIFIED 1269760/10514736 (371.4s)
CRC VERIFIED 1273856/10514736 (372.6s)
CRC VERIFIED 1277952/10514736 (373.8s)
CRC VERIFIED 1282048/10514736 (375.0s)
CRC VERIFIED 1286144/10514736 (376.2s)
CRC VERIFIED 1290240/10514736 (377.4s)
CRC VERIFIED 1294336/10514736 (378.6s)
CRC VERIFIED 1298432/10514736 (379.8s)
CRC VERIFIED 1302528/10514736 (381.0s)
CRC VERIFIED 1306624/10514736 (382.1s)
CRC VERIFIED 1310720/10514736 (383.3s)
CRC VERIFIED 1314816/10514736 (384.5s)
CRC VERIFIED 1318912/10514736 (385.7s)
CRC VERIFIED 1323008/10514736 (386.9s)
CRC VERIFIED 1327104/10514736 (388.1s)
CRC VERIFIED 1331200/10514736 (389.3s)
CRC VERIFIED 1335296/10514736 (390.5s)
CRC VERIFIED 1339392/10514736 (391.7s)
CRC VERIFIED 1343488/10514736 (392.9s)
CRC VERIFIED 1347584/10514736 (394.1s)
CRC VERIFIED 1351680/10514736 (395.3s)
CRC VERIFIED 1355776/10514736 (396.5s)
CRC VERIFIED 1359872/10514736 (397.7s)
CRC VERIFIED 1363968/10514736 (398.9s)
CRC VERIFIED 1368064/10514736 (400.1s)
CRC VERIFIED 1372160/10514736 (401.3s)
CRC VERIFIED 1376256/10514736 (402.5s)
CRC VERIFIED 1380352/10514736 (403.7s)
CRC VERIFIED 1384448/10514736 (404.9s)
CRC VERIFIED 1388544/10514736 (406.1s)
CRC VERIFIED 1392640/10514736 (407.3s)
CRC VERIFIED 1396736/10514736 (408.5s)
CRC VERIFIED 1400832/10514736 (409.7s)
CRC VERIFIED 1404928/10514736 (410.9s)
CRC VERIFIED 1409024/10514736 (412.1s)
CRC VERIFIED 1413120/10514736 (413.2s)
CRC VERIFIED 1417216/10514736 (414.5s)
CRC VERIFIED 1421312/10514736 (415.7s)
CRC VERIFIED 1425408/10514736 (416.9s)
CRC VERIFIED 1429504/10514736 (418.0s)
CRC VERIFIED 1433600/10514736 (419.2s)
CRC VERIFIED 1437696/10514736 (420.5s)
CRC VERIFIED 1441792/10514736 (421.6s)
CRC VERIFIED 1445888/10514736 (422.8s)
CRC VERIFIED 1449984/10514736 (424.1s)
CRC VERIFIED 1454080/10514736 (425.2s)
CRC VERIFIED 1458176/10514736 (426.5s)
CRC VERIFIED 1462272/10514736 (427.7s)
CRC VERIFIED 1466368/10514736 (428.9s)
CRC VERIFIED 1470464/10514736 (430.1s)
CRC VERIFIED 1474560/10514736 (431.3s)
CRC VERIFIED 1478656/10514736 (432.5s)
CRC VERIFIED 1482752/10514736 (433.7s)
CRC VERIFIED 1486848/10514736 (434.9s)
CRC VERIFIED 1490944/10514736 (436.0s)
CRC VERIFIED 1495040/10514736 (437.3s)
CRC VERIFIED 1499136/10514736 (438.5s)
CRC VERIFIED 1503232/10514736 (439.7s)
CRC VERIFIED 1507328/10514736 (440.9s)
CRC VERIFIED 1511424/10514736 (442.1s)
CRC VERIFIED 1515520/10514736 (443.3s)
CRC VERIFIED 1519616/10514736 (444.5s)
CRC VERIFIED 1523712/10514736 (445.7s)
CRC VERIFIED 1527808/10514736 (446.9s)
CRC VERIFIED 1531904/10514736 (448.0s)
CRC VERIFIED 1536000/10514736 (449.2s)
CRC VERIFIED 1540096/10514736 (450.4s)
CRC VERIFIED 1544192/10514736 (451.6s)
CRC VERIFIED 1548288/10514736 (452.8s)
CRC VERIFIED 1552384/10514736 (454.0s)
CRC VERIFIED 1556480/10514736 (455.2s)
CRC VERIFIED 1560576/10514736 (456.4s)
CRC VERIFIED 1564672/10514736 (457.6s)
CRC VERIFIED 1568768/10514736 (458.8s)
CRC VERIFIED 1572864/10514736 (460.0s)
CRC VERIFIED 1576960/10514736 (461.2s)
CRC VERIFIED 1581056/10514736 (462.4s)
CRC VERIFIED 1585152/10514736 (463.6s)
CRC VERIFIED 1589248/10514736 (464.8s)
CRC VERIFIED 1593344/10514736 (466.0s)
CRC VERIFIED 1597440/10514736 (467.2s)
CRC VERIFIED 1601536/10514736 (468.4s)
CRC VERIFIED 1605632/10514736 (469.6s)
CRC VERIFIED 1609728/10514736 (470.8s)
CRC VERIFIED 1613824/10514736 (472.0s)
CRC VERIFIED 1617920/10514736 (473.2s)
CRC VERIFIED 1622016/10514736 (474.4s)
CRC VERIFIED 1626112/10514736 (475.6s)
CRC VERIFIED 1630208/10514736 (476.8s)
CRC VERIFIED 1634304/10514736 (477.9s)
CRC VERIFIED 1638400/10514736 (479.1s)
CRC VERIFIED 1642496/10514736 (480.3s)
CRC VERIFIED 1646592/10514736 (481.5s)
CRC VERIFIED 1650688/10514736 (482.7s)
CRC VERIFIED 1654784/10514736 (483.9s)
CRC VERIFIED 1658880/10514736 (485.1s)
CRC VERIFIED 1662976/10514736 (486.3s)
CRC VERIFIED 1667072/10514736 (487.5s)
CRC VERIFIED 1671168/10514736 (488.7s)
CRC VERIFIED 1675264/10514736 (489.9s)
CRC VERIFIED 1679360/10514736 (491.0s)
CRC VERIFIED 1683456/10514736 (492.2s)
CRC VERIFIED 1687552/10514736 (493.4s)
CRC VERIFIED 1691648/10514736 (494.6s)
CRC VERIFIED 1695744/10514736 (495.8s)
CRC VERIFIED 1699840/10514736 (497.0s)
CRC VERIFIED 1703936/10514736 (498.2s)
CRC VERIFIED 1708032/10514736 (499.4s)
CRC VERIFIED 1712128/10514736 (500.6s)
CRC VERIFIED 1716224/10514736 (501.8s)
CRC VERIFIED 1720320/10514736 (503.0s)
CRC VERIFIED 1724416/10514736 (504.2s)
CRC VERIFIED 1728512/10514736 (505.4s)
CRC VERIFIED 1732608/10514736 (506.5s)
CRC VERIFIED 1736704/10514736 (507.8s)
CRC VERIFIED 1740800/10514736 (508.9s)
CRC VERIFIED 1744896/10514736 (510.1s)
CRC VERIFIED 1748992/10514736 (511.3s)
CRC VERIFIED 1753088/10514736 (512.5s)
CRC VERIFIED 1757184/10514736 (513.7s)
CRC VERIFIED 1761280/10514736 (514.9s)
CRC VERIFIED 1765376/10514736 (516.1s)
CRC VERIFIED 1769472/10514736 (517.3s)
CRC VERIFIED 1773568/10514736 (518.5s)
CRC VERIFIED 1777664/10514736 (519.7s)
CRC VERIFIED 1781760/10514736 (520.9s)
CRC VERIFIED 1785856/10514736 (522.1s)
CRC VERIFIED 1789952/10514736 (523.3s)
CRC VERIFIED 1794048/10514736 (524.5s)
CRC VERIFIED 1798144/10514736 (525.7s)
CRC VERIFIED 1802240/10514736 (526.9s)
CRC VERIFIED 1806336/10514736 (528.1s)
CRC VERIFIED 1810432/10514736 (529.3s)
CRC VERIFIED 1814528/10514736 (530.5s)
CRC VERIFIED 1818624/10514736 (531.7s)
CRC VERIFIED 1822720/10514736 (532.9s)
CRC VERIFIED 1826816/10514736 (534.1s)
CRC VERIFIED 1830912/10514736 (535.3s)
CRC VERIFIED 1835008/10514736 (536.5s)
CRC VERIFIED 1839104/10514736 (537.7s)
CRC VERIFIED 1843200/10514736 (538.9s)
CRC VERIFIED 1847296/10514736 (540.1s)
CRC VERIFIED 1851392/10514736 (541.2s)
CRC VERIFIED 1855488/10514736 (542.5s)
CRC VERIFIED 1859584/10514736 (543.7s)
CRC VERIFIED 1863680/10514736 (544.9s)
CRC VERIFIED 1867776/10514736 (546.1s)
CRC VERIFIED 1871872/10514736 (547.3s)
CRC VERIFIED 1875968/10514736 (548.5s)
CRC VERIFIED 1880064/10514736 (549.7s)
CRC VERIFIED 1884160/10514736 (550.9s)
CRC VERIFIED 1888256/10514736 (552.1s)
CRC VERIFIED 1892352/10514736 (553.3s)
CRC VERIFIED 1896448/10514736 (554.5s)
CRC VERIFIED 1900544/10514736 (555.7s)
CRC VERIFIED 1904640/10514736 (556.9s)
CRC VERIFIED 1908736/10514736 (558.0s)
CRC VERIFIED 1912832/10514736 (559.2s)
CRC VERIFIED 1916928/10514736 (560.4s)
CRC VERIFIED 1921024/10514736 (561.6s)
CRC VERIFIED 1925120/10514736 (562.8s)
CRC VERIFIED 1929216/10514736 (564.0s)
CRC VERIFIED 1933312/10514736 (565.2s)
CRC VERIFIED 1937408/10514736 (566.4s)
CRC VERIFIED 1941504/10514736 (567.6s)
CRC VERIFIED 1945600/10514736 (568.8s)
CRC VERIFIED 1949696/10514736 (570.0s)
CRC VERIFIED 1953792/10514736 (571.2s)
CRC VERIFIED 1957888/10514736 (572.4s)
CRC VERIFIED 1961984/10514736 (573.6s)
CRC VERIFIED 1966080/10514736 (574.8s)
CRC VERIFIED 1970176/10514736 (576.0s)
CRC VERIFIED 1974272/10514736 (577.2s)
CRC VERIFIED 1978368/10514736 (578.4s)
CRC VERIFIED 1982464/10514736 (579.6s)
CRC VERIFIED 1986560/10514736 (580.8s)
CRC VERIFIED 1990656/10514736 (582.0s)
CRC VERIFIED 1994752/10514736 (583.2s)
CRC VERIFIED 1998848/10514736 (584.4s)
CRC VERIFIED 2002944/10514736 (585.6s)
CRC VERIFIED 2007040/10514736 (586.8s)
CRC VERIFIED 2011136/10514736 (588.0s)
CRC VERIFIED 2015232/10514736 (589.2s)
CRC VERIFIED 2019328/10514736 (590.4s)
CRC VERIFIED 2023424/10514736 (591.6s)
CRC VERIFIED 2027520/10514736 (592.8s)
CRC VERIFIED 2031616/10514736 (594.0s)
CRC VERIFIED 2035712/10514736 (595.2s)
CRC VERIFIED 2039808/10514736 (596.4s)
CRC VERIFIED 2043904/10514736 (597.6s)
CRC VERIFIED 2048000/10514736 (598.8s)
CRC VERIFIED 2052096/10514736 (600.0s)
CRC VERIFIED 2056192/10514736 (601.2s)
CRC VERIFIED 2060288/10514736 (602.3s)
CRC VERIFIED 2064384/10514736 (603.6s)
CRC VERIFIED 2068480/10514736 (604.8s)
CRC VERIFIED 2072576/10514736 (606.0s)
CRC VERIFIED 2076672/10514736 (607.1s)
CRC VERIFIED 2080768/10514736 (608.3s)
CRC VERIFIED 2084864/10514736 (609.5s)
CRC VERIFIED 2088960/10514736 (610.7s)
CRC VERIFIED 2093056/10514736 (611.9s)
CRC VERIFIED 2097152/10514736 (613.1s)
CRC VERIFIED 2101248/10514736 (614.3s)
CRC VERIFIED 2105344/10514736 (615.5s)
CRC VERIFIED 2109440/10514736 (616.7s)
CRC VERIFIED 2113536/10514736 (617.9s)
CRC VERIFIED 2117632/10514736 (619.1s)
CRC VERIFIED 2121728/10514736 (620.3s)
CRC VERIFIED 2125824/10514736 (621.5s)
CRC VERIFIED 2129920/10514736 (622.7s)
CRC VERIFIED 2134016/10514736 (623.9s)
CRC VERIFIED 2138112/10514736 (625.0s)
CRC VERIFIED 2142208/10514736 (626.3s)
CRC VERIFIED 2146304/10514736 (627.5s)
CRC VERIFIED 2150400/10514736 (628.7s)
CRC VERIFIED 2154496/10514736 (629.9s)
CRC VERIFIED 2158592/10514736 (631.1s)
CRC VERIFIED 2162688/10514736 (632.3s)
CRC VERIFIED 2166784/10514736 (633.5s)
CRC VERIFIED 2170880/10514736 (634.7s)
CRC VERIFIED 2174976/10514736 (635.9s)
CRC VERIFIED 2179072/10514736 (637.1s)
CRC VERIFIED 2183168/10514736 (638.3s)
CRC VERIFIED 2187264/10514736 (639.5s)
CRC VERIFIED 2191360/10514736 (640.7s)
CRC VERIFIED 2195456/10514736 (641.9s)
CRC VERIFIED 2199552/10514736 (643.1s)
CRC VERIFIED 2203648/10514736 (644.3s)
CRC VERIFIED 2207744/10514736 (645.5s)
CRC VERIFIED 2211840/10514736 (646.7s)
CRC VERIFIED 2215936/10514736 (647.9s)
CRC VERIFIED 2220032/10514736 (649.1s)
CRC VERIFIED 2224128/10514736 (650.3s)
CRC VERIFIED 2228224/10514736 (651.5s)
CRC VERIFIED 2232320/10514736 (652.7s)
CRC VERIFIED 2236416/10514736 (653.9s)
CRC VERIFIED 2240512/10514736 (655.1s)
CRC VERIFIED 2244608/10514736 (656.2s)
CRC VERIFIED 2248704/10514736 (657.4s)
CRC VERIFIED 2252800/10514736 (658.6s)
CRC VERIFIED 2256896/10514736 (659.8s)
CRC VERIFIED 2260992/10514736 (661.0s)
CRC VERIFIED 2265088/10514736 (662.2s)
CRC VERIFIED 2269184/10514736 (663.4s)
CRC VERIFIED 2273280/10514736 (664.6s)
CRC VERIFIED 2277376/10514736 (665.8s)
CRC VERIFIED 2281472/10514736 (667.0s)
CRC VERIFIED 2285568/10514736 (668.2s)
CRC VERIFIED 2289664/10514736 (669.5s)
CRC VERIFIED 2293760/10514736 (670.7s)
CRC VERIFIED 2297856/10514736 (671.9s)
CRC VERIFIED 2301952/10514736 (673.1s)
CRC VERIFIED 2306048/10514736 (674.3s)
CRC VERIFIED 2310144/10514736 (675.5s)
