IMAGE 2068528 1ed2ebc7516acf0c1a81bfaa409a537fa97380154066d305dbc9585f7802c28d
CRC VERIFIED 278528/2068528 (79.2s)
CRC VERIFIED 282624/2068528 (80.4s)
CRC VERIFIED 286720/2068528 (81.6s)
CRC VERIFIED 290816/2068528 (82.8s)
CRC VERIFIED 294912/2068528 (84.0s)
CRC VERIFIED 299008/2068528 (85.2s)
CRC VERIFIED 303104/2068528 (86.4s)
CRC VERIFIED 307200/2068528 (87.6s)
CRC VERIFIED 311296/2068528 (88.8s)
CRC VERIFIED 315392/2068528 (90.0s)
CRC VERIFIED 319488/2068528 (91.2s)
CRC VERIFIED 323584/2068528 (92.4s)
CRC VERIFIED 327680/2068528 (93.6s)
CRC VERIFIED 331776/2068528 (94.8s)
CRC VERIFIED 335872/2068528 (96.0s)
CRC VERIFIED 339968/2068528 (97.2s)
CRC VERIFIED 344064/2068528 (98.4s)
CRC VERIFIED 348160/2068528 (98.4s)
CRC VERIFIED 352256/2068528 (99.6s)
CRC VERIFIED 356352/2068528 (100.8s)
CRC VERIFIED 360448/2068528 (102.0s)
CRC VERIFIED 364544/2068528 (103.2s)
CRC VERIFIED 368640/2068528 (104.4s)
CRC VERIFIED 372736/2068528 (105.6s)
CRC VERIFIED 376832/2068528 (106.8s)
CRC VERIFIED 380928/2068528 (108.0s)
CRC VERIFIED 385024/2068528 (109.2s)
CRC VERIFIED 389120/2068528 (110.4s)
CRC VERIFIED 393216/2068528 (111.6s)
CRC VERIFIED 397312/2068528 (112.8s)
CRC VERIFIED 401408/2068528 (114.0s)
CRC VERIFIED 405504/2068528 (115.2s)
CRC VERIFIED 409600/2068528 (116.4s)
CRC VERIFIED 413696/2068528 (117.6s)
CRC VERIFIED 417792/2068528 (118.8s)
CRC VERIFIED 421888/2068528 (120.0s)
CRC VERIFIED 425984/2068528 (121.2s)
CRC VERIFIED 430080/2068528 (122.4s)
CRC VERIFIED 434176/2068528 (123.6s)
CRC VERIFIED 438272/2068528 (124.8s)
CRC VERIFIED 442368/2068528 (126.0s)
CRC VERIFIED 446464/2068528 (127.2s)
CRC VERIFIED 450560/2068528 (128.4s)
CRC VERIFIED 454656/2068528 (129.6s)
CRC VERIFIED 458752/2068528 (130.8s)
CRC VERIFIED 462848/2068528 (132.0s)
CRC VERIFIED 466944/2068528 (133.2s)
CRC VERIFIED 471040/2068528 (134.4s)
CRC VERIFIED 475136/2068528 (135.6s)
CRC VERIFIED 479232/2068528 (136.8s)
CRC VERIFIED 483328/2068528 (138.0s)
CRC VERIFIED 487424/2068528 (139.2s)
CRC VERIFIED 491520/2068528 (140.4s)
CRC VERIFIED 495616/2068528 (141.6s)
CRC VERIFIED 499712/2068528 (142.8s)
CRC VERIFIED 503808/2068528 (144.0s)
CRC VERIFIED 507904/2068528 (145.2s)
CRC VERIFIED 512000/2068528 (146.4s)
CRC VERIFIED 516096/2068528 (147.6s)
CRC VERIFIED 520192/2068528 (148.8s)
CRC VERIFIED 524288/2068528 (150.0s)
CRC VERIFIED 528384/2068528 (151.2s)
CRC VERIFIED 532480/2068528 (152.4s)
CRC VERIFIED 536576/2068528 (153.6s)
CRC VERIFIED 540672/2068528 (154.8s)
CRC VERIFIED 544768/2068528 (156.0s)
CRC VERIFIED 548864/2068528 (157.2s)
CRC VERIFIED 552960/2068528 (158.4s)
CRC VERIFIED 557056/2068528 (159.6s)
CRC VERIFIED 561152/2068528 (160.8s)
CRC VERIFIED 565248/2068528 (162.0s)
CRC VERIFIED 569344/2068528 (163.2s)
CRC VERIFIED 573440/2068528 (164.3s)
CRC VERIFIED 577536/2068528 (165.5s)
CRC VERIFIED 581632/2068528 (166.7s)
CRC VERIFIED 585728/2068528 (167.9s)
CRC VERIFIED 589824/2068528 (169.1s)
CRC VERIFIED 593920/2068528 (170.3s)
CRC VERIFIED 598016/2068528 (171.5s)
CRC VERIFIED 602112/2068528 (172.7s)
CRC VERIFIED 606208/2068528 (173.9s)
CRC VERIFIED 610304/2068528 (175.1s)
RAM REUSE VERIFIED 610304
RAM REUSE VERIFIED 614400
RAM REUSE VERIFIED 618496
RAM REUSE VERIFIED 622592
RAM REUSE VERIFIED 626688
RAM REUSE VERIFIED 630784
RAM REUSE VERIFIED 634880
RAM REUSE VERIFIED 638976
RAM REUSE VERIFIED 643072
CRC VERIFIED 651264/2068528 (176.9s)
CRC VERIFIED 655360/2068528 (178.1s)
CRC VERIFIED 659456/2068528 (179.3s)
RAM REUSE VERIFIED 659456
CRC VERIFIED 667648/2068528 (180.5s)
CRC VERIFIED 671744/2068528 (181.7s)
CRC VERIFIED 675840/2068528 (183.0s)
CRC VERIFIED 679936/2068528 (184.2s)
CRC VERIFIED 684032/2068528 (185.3s)
RAM REUSE VERIFIED 684032
RAM REUSE VERIFIED 688128
RAM REUSE VERIFIED 692224
CRC VERIFIED 700416/2068528 (186.7s)
CRC VERIFIED 704512/2068528 (187.9s)
CRC VERIFIED 708608/2068528 (189.1s)
CRC VERIFIED 712704/2068528 (190.3s)
CRC VERIFIED 716800/2068528 (191.5s)
CRC VERIFIED 720896/2068528 (192.7s)
CRC VERIFIED 724992/2068528 (193.9s)
CRC VERIFIED 729088/2068528 (195.1s)
CRC VERIFIED 733184/2068528 (196.3s)
CRC VERIFIED 737280/2068528 (197.5s)
CRC VERIFIED 741376/2068528 (198.8s)
CRC VERIFIED 745472/2068528 (199.9s)
CRC VERIFIED 749568/2068528 (201.1s)
CRC VERIFIED 753664/2068528 (202.3s)
CRC VERIFIED 757760/2068528 (203.5s)
CRC VERIFIED 761856/2068528 (204.7s)
CRC VERIFIED 765952/2068528 (205.9s)
CRC VERIFIED 770048/2068528 (207.1s)
CRC VERIFIED 774144/2068528 (208.3s)
CRC VERIFIED 778240/2068528 (209.5s)
CRC VERIFIED 782336/2068528 (209.8s)
CRC VERIFIED 786432/2068528 (210.4s)
CRC VERIFIED 790528/2068528 (211.6s)
RAM REUSE VERIFIED 790528
RAM REUSE VERIFIED 794624
RAM REUSE VERIFIED 798720
RAM REUSE VERIFIED 802816
RAM REUSE VERIFIED 806912
RAM REUSE VERIFIED 811008
RAM REUSE VERIFIED 815104
RAM REUSE VERIFIED 819200
RAM REUSE VERIFIED 823296
RAM REUSE VERIFIED 827392
RAM REUSE VERIFIED 831488
CRC VERIFIED 839680/2068528 (213.5s)
RAM REUSE VERIFIED 839680
CRC VERIFIED 847872/2068528 (214.8s)
CRC VERIFIED 851968/2068528 (216.0s)
RAM REUSE VERIFIED 851968
RAM REUSE VERIFIED 856064
RAM REUSE VERIFIED 860160
RAM REUSE VERIFIED 864256
CRC VERIFIED 872448/2068528 (217.2s)
CRC VERIFIED 876544/2068528 (218.2s)
CRC VERIFIED 880640/2068528 (219.1s)
CRC VERIFIED 884736/2068528 (220.1s)
RAM REUSE VERIFIED 884736
RAM REUSE VERIFIED 888832
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
RAM REUSE VERIFIED 937984
RAM REUSE VERIFIED 942080
RAM REUSE VERIFIED 946176
RAM REUSE VERIFIED 950272
RAM REUSE VERIFIED 954368
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
RAM REUSE VERIFIED 999424
RAM REUSE VERIFIED 1003520
RAM REUSE VERIFIED 1007616
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
CRC VERIFIED 2039808/2068528 (238.9s)
RAM REUSE VERIFIED 2039808
CRC VERIFIED 2048000/2068528 (240.2s)
CRC VERIFIED 2052096/2068528 (241.2s)
CRC VERIFIED 2056192/2068528 (242.1s)
CRC VERIFIED 2060288/2068528 (243.0s)
CRC VERIFIED 2064384/2068528 (243.4s)
CRC VERIFIED 2068480/2068528 (243.7s)
RAM REUSE VERIFIED 2068480
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (243.8s)
CRC VERIFIED 8192/193224 (243.8s)
CRC VERIFIED 12288/193224 (243.8s)
CRC VERIFIED 16384/193224 (243.8s)
CRC VERIFIED 20480/193224 (243.9s)
CRC VERIFIED 24576/193224 (243.9s)
CRC VERIFIED 28672/193224 (243.9s)
CRC VERIFIED 32768/193224 (243.9s)
CRC VERIFIED 36864/193224 (243.9s)
CRC VERIFIED 40960/193224 (243.9s)
CRC VERIFIED 45056/193224 (244.0s)
CRC VERIFIED 49152/193224 (244.0s)
CRC VERIFIED 53248/193224 (244.0s)
CRC VERIFIED 57344/193224 (244.0s)
CRC VERIFIED 61440/193224 (244.0s)
CRC VERIFIED 65536/193224 (244.0s)
CRC VERIFIED 69632/193224 (244.0s)
CRC VERIFIED 73728/193224 (244.1s)
CRC VERIFIED 77824/193224 (244.1s)
CRC VERIFIED 81920/193224 (244.1s)
CRC VERIFIED 86016/193224 (244.1s)
CRC VERIFIED 90112/193224 (244.1s)
CRC VERIFIED 94208/193224 (244.1s)
CRC VERIFIED 98304/193224 (244.2s)
CRC VERIFIED 102400/193224 (244.2s)
CRC VERIFIED 106496/193224 (244.2s)
CRC VERIFIED 110592/193224 (244.2s)
CRC VERIFIED 114688/193224 (244.2s)
CRC VERIFIED 118784/193224 (244.2s)
CRC VERIFIED 122880/193224 (244.2s)
CRC VERIFIED 126976/193224 (244.3s)
CRC VERIFIED 131072/193224 (244.3s)
CRC VERIFIED 135168/193224 (244.3s)
CRC VERIFIED 139264/193224 (244.3s)
CRC VERIFIED 143360/193224 (244.3s)
CRC VERIFIED 147456/193224 (244.3s)
CRC VERIFIED 151552/193224 (244.4s)
CRC VERIFIED 155648/193224 (244.4s)
CRC VERIFIED 159744/193224 (244.4s)
CRC VERIFIED 163840/193224 (244.4s)
CRC VERIFIED 167936/193224 (244.4s)
CRC VERIFIED 172032/193224 (244.4s)
CRC VERIFIED 176128/193224 (244.5s)
CRC VERIFIED 180224/193224 (244.5s)
CRC VERIFIED 184320/193224 (244.5s)
CRC VERIFIED 188416/193224 (244.5s)
CRC VERIFIED 192512/193224 (244.5s)
CRC VERIFIED 193224/193224 (244.5s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (244.6s)
CRC VERIFIED 8192/356616 (244.6s)
CRC VERIFIED 12288/356616 (244.6s)
CRC VERIFIED 16384/356616 (244.6s)
CRC VERIFIED 20480/356616 (244.6s)
CRC VERIFIED 24576/356616 (244.6s)
CRC VERIFIED 28672/356616 (244.7s)
CRC VERIFIED 32768/356616 (244.7s)
CRC VERIFIED 36864/356616 (244.7s)
CRC VERIFIED 40960/356616 (244.7s)
CRC VERIFIED 45056/356616 (244.7s)
CRC VERIFIED 49152/356616 (244.7s)
CRC VERIFIED 53248/356616 (244.8s)
CRC VERIFIED 57344/356616 (244.8s)
CRC VERIFIED 61440/356616 (244.8s)
CRC VERIFIED 65536/356616 (244.8s)
CRC VERIFIED 69632/356616 (244.8s)
CRC VERIFIED 73728/356616 (244.8s)
CRC VERIFIED 77824/356616 (244.8s)
CRC VERIFIED 81920/356616 (244.9s)
CRC VERIFIED 86016/356616 (244.9s)
CRC VERIFIED 90112/356616 (244.9s)
CRC VERIFIED 94208/356616 (244.9s)
CRC VERIFIED 98304/356616 (244.9s)
CRC VERIFIED 102400/356616 (244.9s)
CRC VERIFIED 106496/356616 (245.0s)
CRC VERIFIED 110592/356616 (245.0s)
CRC VERIFIED 114688/356616 (245.0s)
CRC VERIFIED 118784/356616 (245.0s)
CRC VERIFIED 122880/356616 (245.0s)
CRC VERIFIED 126976/356616 (245.0s)
CRC VERIFIED 131072/356616 (245.0s)
CRC VERIFIED 135168/356616 (245.1s)
CRC VERIFIED 139264/356616 (245.1s)
CRC VERIFIED 143360/356616 (245.1s)
CRC VERIFIED 147456/356616 (245.1s)
CRC VERIFIED 151552/356616 (245.1s)
CRC VERIFIED 155648/356616 (245.1s)
CRC VERIFIED 159744/356616 (245.2s)
CRC VERIFIED 163840/356616 (245.2s)
CRC VERIFIED 167936/356616 (245.2s)
CRC VERIFIED 172032/356616 (245.2s)
CRC VERIFIED 176128/356616 (245.2s)
CRC VERIFIED 180224/356616 (245.2s)
CRC VERIFIED 184320/356616 (245.2s)
CRC VERIFIED 188416/356616 (245.3s)
CRC VERIFIED 192512/356616 (245.3s)
CRC VERIFIED 196608/356616 (245.3s)
CRC VERIFIED 200704/356616 (245.3s)
CRC VERIFIED 204800/356616 (245.3s)
CRC VERIFIED 208896/356616 (245.3s)
CRC VERIFIED 212992/356616 (245.4s)
CRC VERIFIED 217088/356616 (245.4s)
CRC VERIFIED 221184/356616 (245.4s)
CRC VERIFIED 225280/356616 (245.4s)
CRC VERIFIED 229376/356616 (245.4s)
CRC VERIFIED 233472/356616 (245.4s)
CRC VERIFIED 237568/356616 (245.5s)
CRC VERIFIED 241664/356616 (245.5s)
CRC VERIFIED 245760/356616 (245.5s)
CRC VERIFIED 249856/356616 (245.5s)
CRC VERIFIED 253952/356616 (245.5s)
CRC VERIFIED 258048/356616 (245.5s)
CRC VERIFIED 262144/356616 (245.5s)
CRC VERIFIED 266240/356616 (245.6s)
CRC VERIFIED 270336/356616 (245.6s)
CRC VERIFIED 274432/356616 (245.6s)
CRC VERIFIED 278528/356616 (245.6s)
CRC VERIFIED 282624/356616 (245.6s)
CRC VERIFIED 286720/356616 (245.6s)
CRC VERIFIED 290816/356616 (245.7s)
CRC VERIFIED 294912/356616 (245.7s)
CRC VERIFIED 299008/356616 (245.7s)
CRC VERIFIED 303104/356616 (245.7s)
CRC VERIFIED 307200/356616 (245.7s)
CRC VERIFIED 311296/356616 (245.7s)
CRC VERIFIED 315392/356616 (245.8s)
CRC VERIFIED 319488/356616 (245.8s)
CRC VERIFIED 323584/356616 (245.8s)
CRC VERIFIED 327680/356616 (245.8s)
CRC VERIFIED 331776/356616 (245.8s)
CRC VERIFIED 335872/356616 (245.8s)
CRC VERIFIED 339968/356616 (245.8s)
CRC VERIFIED 344064/356616 (245.9s)
CRC VERIFIED 348160/356616 (245.9s)
CRC VERIFIED 352256/356616 (245.9s)
CRC VERIFIED 356352/356616 (245.9s)
CRC VERIFIED 356616/356616 (245.9s)
STAGE Bluetooth NVDS 0x50180000 40
CRC VERIFIED 40/40 (246.0s)
STAGE Wi-Fi calibration 0x50190000 2376
CRC VERIFIED 2376/2376 (246.0s)
PASS: FULL IMAGE, TWO FIRMWARE CRCs AND DTB VERIFIED
booti 40400000 - 48300000
Fdt Ramdisk skip relocation
## Flattened Device Tree blob at 0x48300000
   Booting using the fdt blob at 0x48300000
   Using Device Tree in place at 0000000048300000, end 0000000048326532
No resource file: logo_kernel.bmp
VP0 fail to load kernel logo
## reserved-memory:
  ramoops@40110000: addr=40110000 size=e0000
Adding bank: 0x40200000 - 0x48400000 (size: 0x08200000)
Adding bank: 0x49400000 - 0x100000000 (size: 0xb6c00000)
Adding bank: 0x100000000 - 0x140000000 (size: 0x40000000)
Total: 254582.850/254935.556 ms

Starting kernel ...

- Ready to Boot Primary CPU
RK3576 HCR_EL2=0000000008000032
