IMAGE 2536656 d84275e8e7576941b70fdd2bb9bd427eee8716435565c6acc40ebfd0634acee3
CRC VERIFIED 249856/2536656 (47.0s)
CRC VERIFIED 253952/2536656 (47.0s)
CRC VERIFIED 258048/2536656 (48.2s)
CRC VERIFIED 262144/2536656 (48.2s)
CRC VERIFIED 266240/2536656 (48.3s)
CRC VERIFIED 270336/2536656 (49.5s)
CRC VERIFIED 274432/2536656 (50.7s)
CRC VERIFIED 278528/2536656 (50.7s)
CRC VERIFIED 282624/2536656 (51.9s)
CRC VERIFIED 286720/2536656 (53.1s)
CRC VERIFIED 290816/2536656 (53.1s)
CRC VERIFIED 294912/2536656 (53.1s)
CRC VERIFIED 299008/2536656 (53.2s)
CRC VERIFIED 303104/2536656 (54.4s)
CRC VERIFIED 307200/2536656 (54.4s)
CRC VERIFIED 311296/2536656 (54.4s)
CRC VERIFIED 315392/2536656 (54.4s)
CRC VERIFIED 319488/2536656 (54.4s)
CRC VERIFIED 323584/2536656 (54.4s)
CRC VERIFIED 327680/2536656 (54.5s)
CRC VERIFIED 331776/2536656 (54.5s)
CRC VERIFIED 335872/2536656 (54.5s)
CRC VERIFIED 339968/2536656 (55.7s)
CRC VERIFIED 344064/2536656 (56.9s)
CRC VERIFIED 348160/2536656 (56.9s)
CRC VERIFIED 352256/2536656 (58.1s)
CRC VERIFIED 356352/2536656 (59.3s)
CRC VERIFIED 360448/2536656 (60.5s)
CRC VERIFIED 364544/2536656 (61.7s)
CRC VERIFIED 368640/2536656 (62.9s)
CRC VERIFIED 372736/2536656 (62.9s)
CRC VERIFIED 376832/2536656 (64.1s)
CRC VERIFIED 380928/2536656 (65.2s)
CRC VERIFIED 385024/2536656 (66.4s)
CRC VERIFIED 389120/2536656 (67.6s)
CRC VERIFIED 393216/2536656 (67.6s)
CRC VERIFIED 397312/2536656 (68.8s)
CRC VERIFIED 401408/2536656 (70.0s)
CRC VERIFIED 405504/2536656 (71.2s)
CRC VERIFIED 409600/2536656 (71.2s)
CRC VERIFIED 413696/2536656 (71.2s)
CRC VERIFIED 417792/2536656 (71.2s)
CRC VERIFIED 421888/2536656 (71.3s)
CRC VERIFIED 425984/2536656 (71.3s)
CRC VERIFIED 430080/2536656 (72.5s)
CRC VERIFIED 434176/2536656 (73.7s)
CRC VERIFIED 438272/2536656 (74.9s)
CRC VERIFIED 442368/2536656 (76.1s)
CRC VERIFIED 446464/2536656 (77.3s)
CRC VERIFIED 450560/2536656 (78.5s)
CRC VERIFIED 454656/2536656 (78.5s)
CRC VERIFIED 458752/2536656 (79.7s)
CRC VERIFIED 462848/2536656 (79.7s)
CRC VERIFIED 466944/2536656 (80.9s)
CRC VERIFIED 471040/2536656 (82.1s)
CRC VERIFIED 475136/2536656 (82.1s)
CRC VERIFIED 479232/2536656 (82.2s)
CRC VERIFIED 483328/2536656 (83.4s)
CRC VERIFIED 487424/2536656 (84.6s)
CRC VERIFIED 491520/2536656 (85.8s)
CRC VERIFIED 495616/2536656 (85.8s)
CRC VERIFIED 499712/2536656 (85.8s)
CRC VERIFIED 503808/2536656 (85.8s)
CRC VERIFIED 507904/2536656 (85.8s)
CRC VERIFIED 512000/2536656 (85.9s)
CRC VERIFIED 516096/2536656 (85.9s)
CRC VERIFIED 520192/2536656 (87.1s)
CRC VERIFIED 524288/2536656 (88.3s)
CRC VERIFIED 528384/2536656 (89.5s)
CRC VERIFIED 532480/2536656 (90.7s)
CRC VERIFIED 536576/2536656 (91.9s)
CRC VERIFIED 540672/2536656 (93.1s)
CRC VERIFIED 544768/2536656 (94.3s)
CRC VERIFIED 548864/2536656 (95.5s)
CRC VERIFIED 552960/2536656 (96.7s)
CRC VERIFIED 557056/2536656 (97.9s)
CRC VERIFIED 561152/2536656 (99.1s)
CRC VERIFIED 565248/2536656 (100.3s)
CRC VERIFIED 569344/2536656 (100.3s)
CRC VERIFIED 573440/2536656 (100.3s)
CRC VERIFIED 577536/2536656 (100.3s)
CRC VERIFIED 581632/2536656 (100.3s)
CRC VERIFIED 585728/2536656 (100.3s)
CRC VERIFIED 589824/2536656 (100.4s)
CRC VERIFIED 593920/2536656 (101.5s)
CRC VERIFIED 598016/2536656 (102.8s)
CRC VERIFIED 602112/2536656 (102.8s)
CRC VERIFIED 606208/2536656 (104.0s)
CRC VERIFIED 610304/2536656 (104.0s)
CRC VERIFIED 614400/2536656 (105.2s)
CRC VERIFIED 618496/2536656 (106.4s)
CRC VERIFIED 622592/2536656 (107.6s)
CRC VERIFIED 626688/2536656 (108.8s)
CRC VERIFIED 630784/2536656 (108.8s)
CRC VERIFIED 634880/2536656 (108.8s)
CRC VERIFIED 638976/2536656 (108.8s)
CRC VERIFIED 643072/2536656 (110.0s)
CRC VERIFIED 647168/2536656 (111.2s)
CRC VERIFIED 651264/2536656 (112.4s)
CRC VERIFIED 655360/2536656 (113.6s)
CRC VERIFIED 659456/2536656 (114.8s)
CRC VERIFIED 663552/2536656 (116.0s)
CRC VERIFIED 667648/2536656 (117.2s)
CRC VERIFIED 671744/2536656 (118.4s)
CRC VERIFIED 675840/2536656 (119.6s)
CRC VERIFIED 679936/2536656 (120.8s)
CRC VERIFIED 684032/2536656 (122.0s)
CRC VERIFIED 688128/2536656 (123.2s)
CRC VERIFIED 692224/2536656 (124.3s)
CRC VERIFIED 696320/2536656 (125.5s)
CRC VERIFIED 700416/2536656 (126.7s)
CRC VERIFIED 704512/2536656 (127.9s)
CRC VERIFIED 708608/2536656 (129.1s)
CRC VERIFIED 712704/2536656 (130.4s)
CRC VERIFIED 716800/2536656 (131.6s)
CRC VERIFIED 720896/2536656 (132.8s)
CRC VERIFIED 724992/2536656 (134.0s)
CRC VERIFIED 729088/2536656 (135.2s)
CRC VERIFIED 733184/2536656 (136.4s)
CRC VERIFIED 737280/2536656 (137.5s)
CRC VERIFIED 741376/2536656 (138.8s)
CRC VERIFIED 745472/2536656 (138.8s)
CRC VERIFIED 749568/2536656 (138.8s)
CRC VERIFIED 753664/2536656 (138.8s)
CRC VERIFIED 757760/2536656 (138.8s)
CRC VERIFIED 761856/2536656 (138.9s)
CRC VERIFIED 765952/2536656 (138.9s)
CRC VERIFIED 770048/2536656 (138.9s)
CRC VERIFIED 774144/2536656 (140.1s)
CRC VERIFIED 778240/2536656 (141.3s)
CRC VERIFIED 782336/2536656 (142.5s)
CRC VERIFIED 786432/2536656 (143.7s)
CRC VERIFIED 790528/2536656 (144.9s)
CRC VERIFIED 794624/2536656 (146.1s)
CRC VERIFIED 798720/2536656 (147.3s)
CRC VERIFIED 802816/2536656 (148.5s)
RAM REUSE VERIFIED 802816
CRC VERIFIED 811008/2536656 (149.7s)
CRC VERIFIED 815104/2536656 (150.9s)
CRC VERIFIED 819200/2536656 (152.1s)
CRC VERIFIED 823296/2536656 (153.3s)
CRC VERIFIED 827392/2536656 (154.5s)
CRC VERIFIED 831488/2536656 (155.7s)
CRC VERIFIED 835584/2536656 (156.9s)
CRC VERIFIED 839680/2536656 (158.1s)
CRC VERIFIED 843776/2536656 (159.3s)
CRC VERIFIED 847872/2536656 (160.5s)
CRC VERIFIED 851968/2536656 (161.7s)
RAM REUSE VERIFIED 851968
CRC VERIFIED 860160/2536656 (163.0s)
CRC VERIFIED 864256/2536656 (164.2s)
CRC VERIFIED 868352/2536656 (165.4s)
CRC VERIFIED 872448/2536656 (166.5s)
CRC VERIFIED 876544/2536656 (167.8s)
CRC VERIFIED 880640/2536656 (168.9s)
CRC VERIFIED 884736/2536656 (170.1s)
CRC VERIFIED 888832/2536656 (171.3s)
CRC VERIFIED 892928/2536656 (172.5s)
CRC VERIFIED 897024/2536656 (173.7s)
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
RAM REUSE VERIFIED 913408
RAM REUSE VERIFIED 917504
RAM REUSE VERIFIED 921600
RAM REUSE VERIFIED 925696
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
CRC VERIFIED 942080/2536656 (175.5s)
CRC VERIFIED 946176/2536656 (176.7s)
CRC VERIFIED 950272/2536656 (177.9s)
CRC VERIFIED 954368/2536656 (179.1s)
CRC VERIFIED 958464/2536656 (180.3s)
CRC VERIFIED 962560/2536656 (181.5s)
CRC VERIFIED 966656/2536656 (182.7s)
CRC VERIFIED 970752/2536656 (183.9s)
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
CRC VERIFIED 987136/2536656 (185.3s)
CRC VERIFIED 991232/2536656 (186.5s)
CRC VERIFIED 995328/2536656 (187.7s)
CRC VERIFIED 999424/2536656 (188.9s)
CRC VERIFIED 1003520/2536656 (190.1s)
CRC VERIFIED 1007616/2536656 (191.3s)
CRC VERIFIED 1011712/2536656 (192.5s)
CRC VERIFIED 1015808/2536656 (193.7s)
CRC VERIFIED 1019904/2536656 (194.9s)
CRC VERIFIED 1024000/2536656 (196.1s)
CRC VERIFIED 1028096/2536656 (197.3s)
CRC VERIFIED 1032192/2536656 (198.5s)
CRC VERIFIED 1036288/2536656 (199.7s)
CRC VERIFIED 1040384/2536656 (200.9s)
CRC VERIFIED 1044480/2536656 (202.1s)
CRC VERIFIED 1048576/2536656 (203.2s)
CRC VERIFIED 1052672/2536656 (204.5s)
CRC VERIFIED 1056768/2536656 (205.6s)
CRC VERIFIED 1060864/2536656 (206.8s)
CRC VERIFIED 1064960/2536656 (208.0s)
CRC VERIFIED 1069056/2536656 (209.2s)
CRC VERIFIED 1073152/2536656 (210.4s)
CRC VERIFIED 1077248/2536656 (211.6s)
CRC VERIFIED 1081344/2536656 (212.8s)
CRC VERIFIED 1085440/2536656 (214.0s)
CRC VERIFIED 1089536/2536656 (215.2s)
CRC VERIFIED 1093632/2536656 (216.4s)
CRC VERIFIED 1097728/2536656 (217.6s)
CRC VERIFIED 1101824/2536656 (218.8s)
CRC VERIFIED 1105920/2536656 (220.0s)
CRC VERIFIED 1110016/2536656 (221.2s)
CRC VERIFIED 1114112/2536656 (222.4s)
CRC VERIFIED 1118208/2536656 (223.4s)
CRC VERIFIED 1122304/2536656 (223.4s)
CRC VERIFIED 1126400/2536656 (223.4s)
CRC VERIFIED 1130496/2536656 (224.6s)
CRC VERIFIED 1134592/2536656 (224.7s)
CRC VERIFIED 1138688/2536656 (224.7s)
CRC VERIFIED 1142784/2536656 (224.7s)
CRC VERIFIED 1146880/2536656 (224.7s)
CRC VERIFIED 1150976/2536656 (224.7s)
CRC VERIFIED 1155072/2536656 (224.7s)
CRC VERIFIED 1159168/2536656 (224.8s)
CRC VERIFIED 1163264/2536656 (224.8s)
CRC VERIFIED 1167360/2536656 (224.8s)
CRC VERIFIED 1171456/2536656 (224.8s)
CRC VERIFIED 1175552/2536656 (224.8s)
CRC VERIFIED 1179648/2536656 (224.8s)
CRC VERIFIED 1183744/2536656 (224.8s)
CRC VERIFIED 1187840/2536656 (224.9s)
CRC VERIFIED 1191936/2536656 (224.9s)
CRC VERIFIED 1196032/2536656 (224.9s)
CRC VERIFIED 1200128/2536656 (224.9s)
CRC VERIFIED 1204224/2536656 (224.9s)
CRC VERIFIED 1208320/2536656 (224.9s)
CRC VERIFIED 1212416/2536656 (226.2s)
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
CRC VERIFIED 1236992/2536656 (227.4s)
CRC VERIFIED 1241088/2536656 (228.2s)
CRC VERIFIED 1245184/2536656 (229.1s)
CRC VERIFIED 1249280/2536656 (229.9s)
CRC VERIFIED 1253376/2536656 (230.0s)
CRC VERIFIED 1257472/2536656 (230.0s)
CRC VERIFIED 1261568/2536656 (230.0s)
CRC VERIFIED 1265664/2536656 (230.0s)
CRC VERIFIED 1269760/2536656 (230.0s)
CRC VERIFIED 1273856/2536656 (230.0s)
CRC VERIFIED 1277952/2536656 (230.0s)
CRC VERIFIED 1282048/2536656 (230.1s)
CRC VERIFIED 1286144/2536656 (230.1s)
CRC VERIFIED 1290240/2536656 (230.1s)
CRC VERIFIED 1294336/2536656 (230.1s)
CRC VERIFIED 1298432/2536656 (230.1s)
CRC VERIFIED 1302528/2536656 (230.1s)
CRC VERIFIED 1306624/2536656 (230.2s)
CRC VERIFIED 1310720/2536656 (230.2s)
CRC VERIFIED 1314816/2536656 (230.2s)
CRC VERIFIED 1318912/2536656 (230.2s)
CRC VERIFIED 1323008/2536656 (230.2s)
CRC VERIFIED 1327104/2536656 (230.2s)
CRC VERIFIED 1331200/2536656 (230.2s)
CRC VERIFIED 1335296/2536656 (230.3s)
CRC VERIFIED 1339392/2536656 (230.3s)
CRC VERIFIED 1343488/2536656 (230.3s)
CRC VERIFIED 1347584/2536656 (230.3s)
CRC VERIFIED 1351680/2536656 (230.3s)
CRC VERIFIED 1355776/2536656 (230.3s)
CRC VERIFIED 1359872/2536656 (230.4s)
CRC VERIFIED 1363968/2536656 (230.4s)
CRC VERIFIED 1368064/2536656 (230.4s)
CRC VERIFIED 1372160/2536656 (230.4s)
CRC VERIFIED 1376256/2536656 (230.4s)
CRC VERIFIED 1380352/2536656 (230.4s)
CRC VERIFIED 1384448/2536656 (230.5s)
CRC VERIFIED 1388544/2536656 (230.5s)
CRC VERIFIED 1392640/2536656 (230.5s)
CRC VERIFIED 1396736/2536656 (230.5s)
CRC VERIFIED 1400832/2536656 (230.5s)
CRC VERIFIED 1404928/2536656 (230.5s)
CRC VERIFIED 1409024/2536656 (230.5s)
CRC VERIFIED 1413120/2536656 (230.6s)
CRC VERIFIED 1417216/2536656 (230.6s)
CRC VERIFIED 1421312/2536656 (230.6s)
CRC VERIFIED 1425408/2536656 (230.6s)
CRC VERIFIED 1429504/2536656 (230.6s)
CRC VERIFIED 1433600/2536656 (230.6s)
CRC VERIFIED 1437696/2536656 (230.7s)
CRC VERIFIED 1441792/2536656 (230.7s)
CRC VERIFIED 1445888/2536656 (230.7s)
CRC VERIFIED 1449984/2536656 (230.7s)
CRC VERIFIED 1454080/2536656 (230.7s)
CRC VERIFIED 1458176/2536656 (230.7s)
CRC VERIFIED 1462272/2536656 (230.8s)
CRC VERIFIED 1466368/2536656 (230.8s)
CRC VERIFIED 1470464/2536656 (230.8s)
CRC VERIFIED 1474560/2536656 (230.8s)
CRC VERIFIED 1478656/2536656 (230.8s)
CRC VERIFIED 1482752/2536656 (230.8s)
CRC VERIFIED 1486848/2536656 (230.8s)
CRC VERIFIED 1490944/2536656 (230.9s)
CRC VERIFIED 1495040/2536656 (230.9s)
CRC VERIFIED 1499136/2536656 (230.9s)
CRC VERIFIED 1503232/2536656 (230.9s)
CRC VERIFIED 1507328/2536656 (230.9s)
CRC VERIFIED 1511424/2536656 (230.9s)
CRC VERIFIED 1515520/2536656 (231.0s)
CRC VERIFIED 1519616/2536656 (231.0s)
CRC VERIFIED 1523712/2536656 (231.0s)
CRC VERIFIED 1527808/2536656 (231.0s)
CRC VERIFIED 1531904/2536656 (231.0s)
CRC VERIFIED 1536000/2536656 (231.0s)
CRC VERIFIED 1540096/2536656 (231.0s)
CRC VERIFIED 1544192/2536656 (231.1s)
CRC VERIFIED 1548288/2536656 (231.1s)
CRC VERIFIED 1552384/2536656 (231.1s)
CRC VERIFIED 1556480/2536656 (231.1s)
CRC VERIFIED 1560576/2536656 (231.1s)
CRC VERIFIED 1564672/2536656 (231.2s)
CRC VERIFIED 1568768/2536656 (231.2s)
CRC VERIFIED 1572864/2536656 (231.2s)
CRC VERIFIED 1576960/2536656 (231.2s)
CRC VERIFIED 1581056/2536656 (231.2s)
CRC VERIFIED 1585152/2536656 (231.2s)
CRC VERIFIED 1589248/2536656 (231.2s)
CRC VERIFIED 1593344/2536656 (231.3s)
CRC VERIFIED 1597440/2536656 (231.3s)
CRC VERIFIED 1601536/2536656 (231.3s)
CRC VERIFIED 1605632/2536656 (231.3s)
CRC VERIFIED 1609728/2536656 (231.3s)
CRC VERIFIED 1613824/2536656 (231.3s)
CRC VERIFIED 1617920/2536656 (231.4s)
CRC VERIFIED 1622016/2536656 (231.4s)
CRC VERIFIED 1626112/2536656 (231.4s)
CRC VERIFIED 1630208/2536656 (231.4s)
CRC VERIFIED 1634304/2536656 (231.4s)
CRC VERIFIED 1638400/2536656 (231.4s)
CRC VERIFIED 1642496/2536656 (231.5s)
CRC VERIFIED 1646592/2536656 (231.5s)
CRC VERIFIED 1650688/2536656 (231.5s)
CRC VERIFIED 1654784/2536656 (231.5s)
CRC VERIFIED 1658880/2536656 (231.5s)
CRC VERIFIED 1662976/2536656 (231.5s)
CRC VERIFIED 1667072/2536656 (231.5s)
CRC VERIFIED 1671168/2536656 (231.6s)
CRC VERIFIED 1675264/2536656 (231.6s)
CRC VERIFIED 1679360/2536656 (231.6s)
CRC VERIFIED 1683456/2536656 (231.6s)
CRC VERIFIED 1687552/2536656 (231.6s)
CRC VERIFIED 1691648/2536656 (231.6s)
CRC VERIFIED 1695744/2536656 (231.7s)
CRC VERIFIED 1699840/2536656 (231.7s)
CRC VERIFIED 1703936/2536656 (231.7s)
CRC VERIFIED 1708032/2536656 (231.7s)
CRC VERIFIED 1712128/2536656 (231.7s)
CRC VERIFIED 1716224/2536656 (231.7s)
CRC VERIFIED 1720320/2536656 (231.8s)
CRC VERIFIED 1724416/2536656 (231.8s)
CRC VERIFIED 1728512/2536656 (231.8s)
CRC VERIFIED 1732608/2536656 (231.8s)
CRC VERIFIED 1736704/2536656 (231.8s)
CRC VERIFIED 1740800/2536656 (231.8s)
CRC VERIFIED 1744896/2536656 (231.8s)
CRC VERIFIED 1748992/2536656 (231.9s)
CRC VERIFIED 1753088/2536656 (231.9s)
CRC VERIFIED 1757184/2536656 (231.9s)
CRC VERIFIED 1761280/2536656 (231.9s)
CRC VERIFIED 1765376/2536656 (231.9s)
CRC VERIFIED 1769472/2536656 (231.9s)
CRC VERIFIED 1773568/2536656 (232.0s)
CRC VERIFIED 1777664/2536656 (232.0s)
CRC VERIFIED 1781760/2536656 (232.0s)
CRC VERIFIED 1785856/2536656 (232.0s)
CRC VERIFIED 1789952/2536656 (232.0s)
CRC VERIFIED 1794048/2536656 (232.0s)
CRC VERIFIED 1798144/2536656 (232.0s)
CRC VERIFIED 1802240/2536656 (232.1s)
CRC VERIFIED 1806336/2536656 (232.1s)
CRC VERIFIED 1810432/2536656 (232.1s)
CRC VERIFIED 1814528/2536656 (232.1s)
CRC VERIFIED 1818624/2536656 (232.1s)
CRC VERIFIED 1822720/2536656 (232.1s)
CRC VERIFIED 1826816/2536656 (232.2s)
CRC VERIFIED 1830912/2536656 (232.2s)
CRC VERIFIED 1835008/2536656 (232.2s)
CRC VERIFIED 1839104/2536656 (232.2s)
CRC VERIFIED 1843200/2536656 (232.2s)
CRC VERIFIED 1847296/2536656 (232.2s)
CRC VERIFIED 1851392/2536656 (232.2s)
CRC VERIFIED 1855488/2536656 (232.3s)
CRC VERIFIED 1859584/2536656 (232.3s)
CRC VERIFIED 1863680/2536656 (232.3s)
CRC VERIFIED 1867776/2536656 (232.3s)
CRC VERIFIED 1871872/2536656 (232.3s)
CRC VERIFIED 1875968/2536656 (232.3s)
CRC VERIFIED 1880064/2536656 (232.4s)
CRC VERIFIED 1884160/2536656 (232.4s)
CRC VERIFIED 1888256/2536656 (232.4s)
CRC VERIFIED 1892352/2536656 (232.4s)
CRC VERIFIED 1896448/2536656 (232.4s)
CRC VERIFIED 1900544/2536656 (232.4s)
CRC VERIFIED 1904640/2536656 (232.5s)
CRC VERIFIED 1908736/2536656 (232.5s)
CRC VERIFIED 1912832/2536656 (232.5s)
CRC VERIFIED 1916928/2536656 (232.5s)
CRC VERIFIED 1921024/2536656 (232.5s)
CRC VERIFIED 1925120/2536656 (232.5s)
CRC VERIFIED 1929216/2536656 (232.5s)
CRC VERIFIED 1933312/2536656 (232.6s)
CRC VERIFIED 1937408/2536656 (232.6s)
CRC VERIFIED 1941504/2536656 (232.6s)
CRC VERIFIED 1945600/2536656 (232.6s)
CRC VERIFIED 1949696/2536656 (232.6s)
CRC VERIFIED 1953792/2536656 (232.6s)
CRC VERIFIED 1957888/2536656 (232.7s)
CRC VERIFIED 1961984/2536656 (232.7s)
CRC VERIFIED 1966080/2536656 (232.7s)
CRC VERIFIED 1970176/2536656 (232.7s)
CRC VERIFIED 1974272/2536656 (232.7s)
CRC VERIFIED 1978368/2536656 (232.7s)
CRC VERIFIED 1982464/2536656 (232.8s)
CRC VERIFIED 1986560/2536656 (232.8s)
CRC VERIFIED 1990656/2536656 (232.8s)
CRC VERIFIED 1994752/2536656 (232.8s)
CRC VERIFIED 1998848/2536656 (232.8s)
CRC VERIFIED 2002944/2536656 (232.8s)
CRC VERIFIED 2007040/2536656 (232.8s)
CRC VERIFIED 2011136/2536656 (232.9s)
CRC VERIFIED 2015232/2536656 (232.9s)
CRC VERIFIED 2019328/2536656 (232.9s)
CRC VERIFIED 2023424/2536656 (232.9s)
CRC VERIFIED 2027520/2536656 (232.9s)
CRC VERIFIED 2031616/2536656 (232.9s)
CRC VERIFIED 2035712/2536656 (233.0s)
CRC VERIFIED 2039808/2536656 (233.0s)
CRC VERIFIED 2043904/2536656 (233.0s)
CRC VERIFIED 2048000/2536656 (233.0s)
CRC VERIFIED 2052096/2536656 (233.0s)
CRC VERIFIED 2056192/2536656 (233.0s)
CRC VERIFIED 2060288/2536656 (233.0s)
CRC VERIFIED 2064384/2536656 (233.1s)
CRC VERIFIED 2068480/2536656 (233.1s)
CRC VERIFIED 2072576/2536656 (233.1s)
CRC VERIFIED 2076672/2536656 (233.1s)
CRC VERIFIED 2080768/2536656 (233.1s)
CRC VERIFIED 2084864/2536656 (233.2s)
CRC VERIFIED 2088960/2536656 (233.2s)
CRC VERIFIED 2093056/2536656 (233.2s)
CRC VERIFIED 2097152/2536656 (233.2s)
CRC VERIFIED 2101248/2536656 (233.2s)
CRC VERIFIED 2105344/2536656 (233.2s)
CRC VERIFIED 2109440/2536656 (233.2s)
CRC VERIFIED 2113536/2536656 (233.3s)
CRC VERIFIED 2117632/2536656 (233.3s)
CRC VERIFIED 2121728/2536656 (233.3s)
CRC VERIFIED 2125824/2536656 (233.3s)
CRC VERIFIED 2129920/2536656 (233.3s)
CRC VERIFIED 2134016/2536656 (233.3s)
CRC VERIFIED 2138112/2536656 (233.4s)
CRC VERIFIED 2142208/2536656 (233.4s)
CRC VERIFIED 2146304/2536656 (233.4s)
CRC VERIFIED 2150400/2536656 (233.4s)
CRC VERIFIED 2154496/2536656 (233.4s)
CRC VERIFIED 2158592/2536656 (233.4s)
CRC VERIFIED 2162688/2536656 (233.5s)
CRC VERIFIED 2166784/2536656 (233.5s)
CRC VERIFIED 2170880/2536656 (233.5s)
CRC VERIFIED 2174976/2536656 (233.5s)
CRC VERIFIED 2179072/2536656 (233.5s)
CRC VERIFIED 2183168/2536656 (233.5s)
CRC VERIFIED 2187264/2536656 (233.5s)
CRC VERIFIED 2191360/2536656 (233.6s)
CRC VERIFIED 2195456/2536656 (233.6s)
CRC VERIFIED 2199552/2536656 (233.6s)
CRC VERIFIED 2203648/2536656 (233.6s)
CRC VERIFIED 2207744/2536656 (233.6s)
CRC VERIFIED 2211840/2536656 (233.6s)
CRC VERIFIED 2215936/2536656 (233.7s)
CRC VERIFIED 2220032/2536656 (233.7s)
CRC VERIFIED 2224128/2536656 (233.7s)
CRC VERIFIED 2228224/2536656 (233.7s)
CRC VERIFIED 2232320/2536656 (233.7s)
CRC VERIFIED 2236416/2536656 (233.7s)
CRC VERIFIED 2240512/2536656 (233.8s)
CRC VERIFIED 2244608/2536656 (233.8s)
CRC VERIFIED 2248704/2536656 (233.8s)
CRC VERIFIED 2252800/2536656 (233.8s)
CRC VERIFIED 2256896/2536656 (233.8s)
CRC VERIFIED 2260992/2536656 (233.8s)
CRC VERIFIED 2265088/2536656 (233.8s)
CRC VERIFIED 2269184/2536656 (233.9s)
CRC VERIFIED 2273280/2536656 (233.9s)
CRC VERIFIED 2277376/2536656 (233.9s)
CRC VERIFIED 2281472/2536656 (233.9s)
CRC VERIFIED 2285568/2536656 (233.9s)
CRC VERIFIED 2289664/2536656 (233.9s)
CRC VERIFIED 2293760/2536656 (234.0s)
CRC VERIFIED 2297856/2536656 (234.0s)
CRC VERIFIED 2301952/2536656 (234.0s)
CRC VERIFIED 2306048/2536656 (234.0s)
CRC VERIFIED 2310144/2536656 (234.0s)
CRC VERIFIED 2314240/2536656 (234.0s)
CRC VERIFIED 2318336/2536656 (234.0s)
CRC VERIFIED 2322432/2536656 (234.1s)
CRC VERIFIED 2326528/2536656 (234.1s)
CRC VERIFIED 2330624/2536656 (234.1s)
CRC VERIFIED 2334720/2536656 (234.1s)
