IMAGE 2142576 231a918af35da359305099689ed1a3d2a2ed40ca2b9c8cac1a788d1706c45569
CRC VERIFIED 331776/2142576 (96.4s)
CRC VERIFIED 335872/2142576 (97.6s)
CRC VERIFIED 339968/2142576 (98.8s)
CRC VERIFIED 344064/2142576 (100.0s)
CRC VERIFIED 348160/2142576 (101.2s)
CRC VERIFIED 352256/2142576 (102.4s)
CRC VERIFIED 356352/2142576 (103.6s)
CRC VERIFIED 360448/2142576 (104.8s)
CRC VERIFIED 364544/2142576 (106.0s)
CRC VERIFIED 368640/2142576 (107.2s)
CRC VERIFIED 372736/2142576 (108.4s)
CRC VERIFIED 376832/2142576 (109.6s)
CRC VERIFIED 380928/2142576 (110.8s)
CRC VERIFIED 385024/2142576 (112.0s)
CRC VERIFIED 389120/2142576 (113.2s)
CRC VERIFIED 393216/2142576 (114.5s)
CRC VERIFIED 397312/2142576 (115.6s)
CRC VERIFIED 401408/2142576 (116.8s)
CRC VERIFIED 405504/2142576 (118.1s)
CRC VERIFIED 409600/2142576 (119.3s)
CRC VERIFIED 413696/2142576 (120.5s)
CRC VERIFIED 417792/2142576 (121.7s)
CRC VERIFIED 421888/2142576 (122.9s)
CRC VERIFIED 425984/2142576 (124.1s)
CRC VERIFIED 430080/2142576 (125.3s)
CRC VERIFIED 434176/2142576 (126.5s)
CRC VERIFIED 438272/2142576 (127.7s)
CRC VERIFIED 442368/2142576 (128.9s)
CRC VERIFIED 446464/2142576 (130.1s)
CRC VERIFIED 450560/2142576 (131.3s)
CRC VERIFIED 454656/2142576 (132.5s)
CRC VERIFIED 458752/2142576 (133.7s)
CRC VERIFIED 462848/2142576 (135.0s)
CRC VERIFIED 466944/2142576 (136.2s)
CRC VERIFIED 471040/2142576 (137.4s)
CRC VERIFIED 475136/2142576 (138.6s)
CRC VERIFIED 479232/2142576 (139.8s)
CRC VERIFIED 483328/2142576 (141.0s)
CRC VERIFIED 487424/2142576 (142.2s)
CRC VERIFIED 491520/2142576 (143.4s)
CRC VERIFIED 495616/2142576 (144.6s)
CRC VERIFIED 499712/2142576 (145.8s)
CRC VERIFIED 503808/2142576 (147.1s)
CRC VERIFIED 507904/2142576 (148.3s)
CRC VERIFIED 512000/2142576 (149.5s)
CRC VERIFIED 516096/2142576 (150.7s)
CRC VERIFIED 520192/2142576 (151.9s)
CRC VERIFIED 524288/2142576 (153.1s)
CRC VERIFIED 528384/2142576 (154.3s)
CRC VERIFIED 532480/2142576 (155.5s)
CRC VERIFIED 536576/2142576 (156.7s)
CRC VERIFIED 540672/2142576 (157.9s)
CRC VERIFIED 544768/2142576 (159.1s)
CRC VERIFIED 548864/2142576 (160.3s)
CRC VERIFIED 552960/2142576 (161.6s)
CRC VERIFIED 557056/2142576 (162.8s)
CRC VERIFIED 561152/2142576 (164.0s)
CRC VERIFIED 565248/2142576 (165.2s)
CRC VERIFIED 569344/2142576 (166.5s)
CRC VERIFIED 573440/2142576 (167.7s)
CRC VERIFIED 577536/2142576 (168.9s)
CRC VERIFIED 581632/2142576 (170.1s)
CRC VERIFIED 585728/2142576 (171.3s)
CRC VERIFIED 589824/2142576 (172.5s)
CRC VERIFIED 593920/2142576 (173.7s)
CRC VERIFIED 598016/2142576 (175.0s)
CRC VERIFIED 602112/2142576 (176.2s)
CRC VERIFIED 606208/2142576 (177.4s)
CRC VERIFIED 610304/2142576 (178.6s)
CRC VERIFIED 614400/2142576 (179.8s)
CRC VERIFIED 618496/2142576 (181.0s)
CRC VERIFIED 622592/2142576 (182.2s)
CRC VERIFIED 626688/2142576 (183.4s)
CRC VERIFIED 630784/2142576 (184.6s)
CRC VERIFIED 634880/2142576 (185.8s)
CRC VERIFIED 638976/2142576 (187.0s)
CRC VERIFIED 643072/2142576 (188.2s)
CRC VERIFIED 647168/2142576 (189.4s)
CRC VERIFIED 651264/2142576 (190.7s)
CRC VERIFIED 655360/2142576 (191.8s)
CRC VERIFIED 659456/2142576 (193.0s)
CRC VERIFIED 663552/2142576 (194.2s)
CRC VERIFIED 667648/2142576 (195.4s)
CRC VERIFIED 671744/2142576 (196.7s)
RAM REUSE VERIFIED 671744
RAM REUSE VERIFIED 675840
RAM REUSE VERIFIED 679936
RAM REUSE VERIFIED 684032
RAM REUSE VERIFIED 688128
RAM REUSE VERIFIED 692224
RAM REUSE VERIFIED 696320
RAM REUSE VERIFIED 700416
RAM REUSE VERIFIED 704512
RAM REUSE VERIFIED 708608
CRC VERIFIED 716800/2142576 (198.5s)
CRC VERIFIED 720896/2142576 (199.7s)
CRC VERIFIED 724992/2142576 (200.9s)
CRC VERIFIED 729088/2142576 (202.1s)
CRC VERIFIED 733184/2142576 (203.3s)
CRC VERIFIED 737280/2142576 (204.5s)
CRC VERIFIED 741376/2142576 (205.7s)
CRC VERIFIED 745472/2142576 (207.0s)
CRC VERIFIED 749568/2142576 (208.1s)
RAM REUSE VERIFIED 749568
RAM REUSE VERIFIED 753664
CRC VERIFIED 761856/2142576 (209.5s)
CRC VERIFIED 765952/2142576 (210.7s)
CRC VERIFIED 770048/2142576 (211.9s)
CRC VERIFIED 774144/2142576 (213.1s)
CRC VERIFIED 778240/2142576 (214.3s)
CRC VERIFIED 782336/2142576 (215.6s)
CRC VERIFIED 786432/2142576 (216.8s)
CRC VERIFIED 790528/2142576 (218.0s)
CRC VERIFIED 794624/2142576 (219.2s)
CRC VERIFIED 798720/2142576 (220.4s)
CRC VERIFIED 802816/2142576 (221.6s)
CRC VERIFIED 806912/2142576 (222.9s)
CRC VERIFIED 811008/2142576 (224.0s)
CRC VERIFIED 815104/2142576 (225.2s)
CRC VERIFIED 819200/2142576 (226.5s)
CRC VERIFIED 823296/2142576 (227.7s)
CRC VERIFIED 827392/2142576 (228.9s)
CRC VERIFIED 831488/2142576 (230.1s)
CRC VERIFIED 835584/2142576 (231.3s)
CRC VERIFIED 839680/2142576 (232.6s)
CRC VERIFIED 843776/2142576 (233.8s)
CRC VERIFIED 847872/2142576 (235.0s)
CRC VERIFIED 851968/2142576 (235.7s)
CRC VERIFIED 856064/2142576 (236.4s)
CRC VERIFIED 860160/2142576 (237.6s)
CRC VERIFIED 864256/2142576 (238.8s)
RAM REUSE VERIFIED 864256
RAM REUSE VERIFIED 868352
RAM REUSE VERIFIED 872448
RAM REUSE VERIFIED 876544
CRC VERIFIED 884736/2142576 (240.3s)
CRC VERIFIED 888832/2142576 (241.5s)
CRC VERIFIED 892928/2142576 (242.7s)
CRC VERIFIED 897024/2142576 (243.9s)
CRC VERIFIED 901120/2142576 (245.2s)
CRC VERIFIED 905216/2142576 (246.4s)
RAM REUSE VERIFIED 905216
CRC VERIFIED 913408/2142576 (247.7s)
CRC VERIFIED 917504/2142576 (248.9s)
CRC VERIFIED 921600/2142576 (250.1s)
RAM REUSE VERIFIED 921600
CRC VERIFIED 929792/2142576 (251.3s)
RAM REUSE VERIFIED 929792
RAM REUSE VERIFIED 933888
CRC VERIFIED 942080/2142576 (252.7s)
CRC VERIFIED 946176/2142576 (253.7s)
CRC VERIFIED 950272/2142576 (254.7s)
CRC VERIFIED 954368/2142576 (255.5s)
CRC VERIFIED 958464/2142576 (256.6s)
RAM REUSE VERIFIED 958464
RAM REUSE VERIFIED 962560
RAM REUSE VERIFIED 966656
RAM REUSE VERIFIED 970752
RAM REUSE VERIFIED 974848
RAM REUSE VERIFIED 978944
RAM REUSE VERIFIED 983040
RAM REUSE VERIFIED 987136
RAM REUSE VERIFIED 991232
RAM REUSE VERIFIED 995328
RAM REUSE VERIFIED 999424
RAM REUSE VERIFIED 1003520
RAM REUSE VERIFIED 1007616
RAM REUSE VERIFIED 1011712
RAM REUSE VERIFIED 1015808
RAM REUSE VERIFIED 1019904
RAM REUSE VERIFIED 1024000
RAM REUSE VERIFIED 1028096
RAM REUSE VERIFIED 1032192
RAM REUSE VERIFIED 1036288
RAM REUSE VERIFIED 1040384
RAM REUSE VERIFIED 1044480
RAM REUSE VERIFIED 1048576
RAM REUSE VERIFIED 1052672
RAM REUSE VERIFIED 1056768
RAM REUSE VERIFIED 1060864
RAM REUSE VERIFIED 1064960
RAM REUSE VERIFIED 1069056
RAM REUSE VERIFIED 1073152
RAM REUSE VERIFIED 1077248
RAM REUSE VERIFIED 1081344
RAM REUSE VERIFIED 1085440
RAM REUSE VERIFIED 1089536
RAM REUSE VERIFIED 1093632
RAM REUSE VERIFIED 1097728
RAM REUSE VERIFIED 1101824
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
RAM REUSE VERIFIED 1134592
RAM REUSE VERIFIED 1138688
RAM REUSE VERIFIED 1142784
RAM REUSE VERIFIED 1146880
RAM REUSE VERIFIED 1150976
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
RAM REUSE VERIFIED 1183744
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
RAM REUSE VERIFIED 1204224
RAM REUSE VERIFIED 1208320
RAM REUSE VERIFIED 1212416
RAM REUSE VERIFIED 1216512
RAM REUSE VERIFIED 1220608
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
RAM REUSE VERIFIED 1253376
RAM REUSE VERIFIED 1257472
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
RAM REUSE VERIFIED 2043904
RAM REUSE VERIFIED 2048000
RAM REUSE VERIFIED 2052096
RAM REUSE VERIFIED 2056192
RAM REUSE VERIFIED 2060288
RAM REUSE VERIFIED 2064384
RAM REUSE VERIFIED 2068480
RAM REUSE VERIFIED 2072576
RAM REUSE VERIFIED 2076672
RAM REUSE VERIFIED 2080768
RAM REUSE VERIFIED 2084864
RAM REUSE VERIFIED 2088960
RAM REUSE VERIFIED 2093056
RAM REUSE VERIFIED 2097152
RAM REUSE VERIFIED 2101248
RAM REUSE VERIFIED 2105344
CRC VERIFIED 2113536/2142576 (275.5s)
RAM REUSE VERIFIED 2113536
CRC VERIFIED 2121728/2142576 (276.7s)
CRC VERIFIED 2125824/2142576 (277.8s)
CRC VERIFIED 2129920/2142576 (278.7s)
CRC VERIFIED 2134016/2142576 (279.6s)
CRC VERIFIED 2138112/2142576 (280.0s)
CRC VERIFIED 2142208/2142576 (280.3s)
CRC VERIFIED 2142576/2142576 (280.4s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (280.4s)
CRC VERIFIED 8192/193224 (280.4s)
CRC VERIFIED 12288/193224 (280.5s)
CRC VERIFIED 16384/193224 (280.5s)
CRC VERIFIED 20480/193224 (280.5s)
CRC VERIFIED 24576/193224 (280.5s)
CRC VERIFIED 28672/193224 (280.5s)
CRC VERIFIED 32768/193224 (280.5s)
CRC VERIFIED 36864/193224 (280.5s)
CRC VERIFIED 40960/193224 (280.6s)
CRC VERIFIED 45056/193224 (280.6s)
CRC VERIFIED 49152/193224 (280.6s)
CRC VERIFIED 53248/193224 (280.6s)
CRC VERIFIED 57344/193224 (280.6s)
CRC VERIFIED 61440/193224 (280.6s)
CRC VERIFIED 65536/193224 (280.7s)
CRC VERIFIED 69632/193224 (280.7s)
CRC VERIFIED 73728/193224 (280.7s)
CRC VERIFIED 77824/193224 (280.7s)
CRC VERIFIED 81920/193224 (280.7s)
CRC VERIFIED 86016/193224 (280.7s)
CRC VERIFIED 90112/193224 (280.8s)
CRC VERIFIED 94208/193224 (280.8s)
CRC VERIFIED 98304/193224 (280.8s)
CRC VERIFIED 102400/193224 (280.8s)
CRC VERIFIED 106496/193224 (280.8s)
CRC VERIFIED 110592/193224 (280.8s)
CRC VERIFIED 114688/193224 (280.8s)
CRC VERIFIED 118784/193224 (280.9s)
CRC VERIFIED 122880/193224 (280.9s)
CRC VERIFIED 126976/193224 (280.9s)
CRC VERIFIED 131072/193224 (280.9s)
CRC VERIFIED 135168/193224 (280.9s)
CRC VERIFIED 139264/193224 (280.9s)
CRC VERIFIED 143360/193224 (281.0s)
CRC VERIFIED 147456/193224 (281.0s)
CRC VERIFIED 151552/193224 (281.0s)
CRC VERIFIED 155648/193224 (281.0s)
CRC VERIFIED 159744/193224 (281.0s)
CRC VERIFIED 163840/193224 (281.0s)
CRC VERIFIED 167936/193224 (281.0s)
CRC VERIFIED 172032/193224 (281.1s)
CRC VERIFIED 176128/193224 (281.1s)
CRC VERIFIED 180224/193224 (281.1s)
CRC VERIFIED 184320/193224 (281.1s)
CRC VERIFIED 188416/193224 (281.1s)
CRC VERIFIED 192512/193224 (281.1s)
CRC VERIFIED 193224/193224 (281.2s)
STAGE SWT6621S_IRAM_SDIO.bin 0x50100000 356616
CRC VERIFIED 4096/356616 (281.2s)
CRC VERIFIED 8192/356616 (281.2s)
CRC VERIFIED 12288/356616 (281.2s)
CRC VERIFIED 16384/356616 (281.2s)
CRC VERIFIED 20480/356616 (281.2s)
CRC VERIFIED 24576/356616 (281.3s)
CRC VERIFIED 28672/356616 (281.3s)
CRC VERIFIED 32768/356616 (281.3s)
CRC VERIFIED 36864/356616 (281.3s)
CRC VERIFIED 40960/356616 (281.3s)
CRC VERIFIED 45056/356616 (281.3s)
CRC VERIFIED 49152/356616 (281.4s)
CRC VERIFIED 53248/356616 (281.4s)
CRC VERIFIED 57344/356616 (281.4s)
CRC VERIFIED 61440/356616 (281.4s)
CRC VERIFIED 65536/356616 (281.4s)
CRC VERIFIED 69632/356616 (281.4s)
CRC VERIFIED 73728/356616 (281.5s)
CRC VERIFIED 77824/356616 (281.5s)
CRC VERIFIED 81920/356616 (281.5s)
CRC VERIFIED 86016/356616 (281.5s)
CRC VERIFIED 90112/356616 (281.5s)
CRC VERIFIED 94208/356616 (281.5s)
CRC VERIFIED 98304/356616 (281.5s)
CRC VERIFIED 102400/356616 (281.6s)
CRC VERIFIED 106496/356616 (281.6s)
CRC VERIFIED 110592/356616 (281.6s)
CRC VERIFIED 114688/356616 (281.6s)
CRC VERIFIED 118784/356616 (281.6s)
CRC VERIFIED 122880/356616 (281.6s)
CRC VERIFIED 126976/356616 (281.7s)
CRC VERIFIED 131072/356616 (281.7s)
CRC VERIFIED 135168/356616 (281.7s)
CRC VERIFIED 139264/356616 (281.7s)
CRC VERIFIED 143360/356616 (281.7s)
CRC VERIFIED 147456/356616 (281.8s)
CRC VERIFIED 151552/356616 (281.8s)
CRC VERIFIED 155648/356616 (281.8s)
CRC VERIFIED 159744/356616 (281.8s)
CRC VERIFIED 163840/356616 (281.8s)
CRC VERIFIED 167936/356616 (281.8s)
CRC VERIFIED 172032/356616 (281.8s)
CRC VERIFIED 176128/356616 (281.9s)
CRC VERIFIED 180224/356616 (281.9s)
CRC VERIFIED 184320/356616 (281.9s)
CRC VERIFIED 188416/356616 (281.9s)
CRC VERIFIED 192512/356616 (281.9s)
CRC VERIFIED 196608/356616 (281.9s)
CRC VERIFIED 200704/356616 (282.0s)
CRC VERIFIED 204800/356616 (282.0s)
CRC VERIFIED 208896/356616 (282.0s)
CRC VERIFIED 212992/356616 (282.0s)
CRC VERIFIED 217088/356616 (282.0s)
CRC VERIFIED 221184/356616 (282.0s)
CRC VERIFIED 225280/356616 (282.0s)
CRC VERIFIED 229376/356616 (282.1s)
CRC VERIFIED 233472/356616 (282.1s)
CRC VERIFIED 237568/356616 (282.1s)
CRC VERIFIED 241664/356616 (282.1s)
CRC VERIFIED 245760/356616 (282.1s)
CRC VERIFIED 249856/356616 (282.1s)
CRC VERIFIED 253952/356616 (282.2s)
CRC VERIFIED 258048/356616 (282.2s)
CRC VERIFIED 262144/356616 (282.2s)
CRC VERIFIED 266240/356616 (282.2s)
CRC VERIFIED 270336/356616 (282.2s)
CRC VERIFIED 274432/356616 (282.2s)
CRC VERIFIED 278528/356616 (282.2s)
CRC VERIFIED 282624/356616 (282.3s)
CRC VERIFIED 286720/356616 (282.3s)
CRC VERIFIED 290816/356616 (282.3s)
CRC VERIFIED 294912/356616 (282.3s)
CRC VERIFIED 299008/356616 (282.3s)
CRC VERIFIED 303104/356616 (282.3s)
CRC VERIFIED 307200/356616 (282.4s)
CRC VERIFIED 311296/356616 (282.4s)
CRC VERIFIED 315392/356616 (282.4s)
CRC VERIFIED 319488/356616 (282.4s)
CRC VERIFIED 323584/356616 (282.4s)
CRC VERIFIED 327680/356616 (282.4s)
CRC VERIFIED 331776/356616 (282.5s)
CRC VERIFIED 335872/356616 (282.5s)
CRC VERIFIED 339968/356616 (282.5s)
CRC VERIFIED 344064/356616 (282.5s)
CRC VERIFIED 348160/356616 (282.5s)
