IMAGE 2507936 a40d6068de181146973eda4a4fede21183210e5714339354f58fa3779e583374
CRC VERIFIED 622592/2507936 (178.4s)
CRC VERIFIED 626688/2507936 (179.6s)
CRC VERIFIED 630784/2507936 (180.8s)
CRC VERIFIED 634880/2507936 (181.9s)
CRC VERIFIED 638976/2507936 (183.1s)
CRC VERIFIED 643072/2507936 (184.4s)
CRC VERIFIED 647168/2507936 (185.5s)
CRC VERIFIED 651264/2507936 (186.7s)
CRC VERIFIED 655360/2507936 (188.0s)
CRC VERIFIED 659456/2507936 (189.1s)
CRC VERIFIED 663552/2507936 (190.4s)
CRC VERIFIED 667648/2507936 (191.5s)
CRC VERIFIED 671744/2507936 (192.7s)
CRC VERIFIED 675840/2507936 (193.9s)
CRC VERIFIED 679936/2507936 (195.1s)
CRC VERIFIED 684032/2507936 (196.3s)
CRC VERIFIED 688128/2507936 (197.5s)
CRC VERIFIED 692224/2507936 (198.7s)
CRC VERIFIED 696320/2507936 (199.9s)
CRC VERIFIED 700416/2507936 (201.1s)
CRC VERIFIED 704512/2507936 (202.2s)
CRC VERIFIED 708608/2507936 (203.5s)
CRC VERIFIED 712704/2507936 (204.7s)
CRC VERIFIED 716800/2507936 (205.8s)
CRC VERIFIED 720896/2507936 (207.0s)
CRC VERIFIED 724992/2507936 (208.2s)
CRC VERIFIED 729088/2507936 (209.4s)
CRC VERIFIED 733184/2507936 (210.6s)
CRC VERIFIED 737280/2507936 (211.8s)
CRC VERIFIED 741376/2507936 (213.0s)
CRC VERIFIED 745472/2507936 (214.2s)
CRC VERIFIED 749568/2507936 (215.4s)
CRC VERIFIED 753664/2507936 (216.5s)
CRC VERIFIED 757760/2507936 (217.7s)
CRC VERIFIED 761856/2507936 (218.9s)
CRC VERIFIED 765952/2507936 (220.1s)
CRC VERIFIED 770048/2507936 (221.3s)
CRC VERIFIED 774144/2507936 (222.5s)
CRC VERIFIED 778240/2507936 (223.7s)
CRC VERIFIED 782336/2507936 (224.9s)
CRC VERIFIED 786432/2507936 (226.1s)
CRC VERIFIED 790528/2507936 (227.3s)
CRC VERIFIED 794624/2507936 (228.5s)
CRC VERIFIED 798720/2507936 (229.7s)
CRC VERIFIED 802816/2507936 (230.9s)
CRC VERIFIED 806912/2507936 (232.1s)
CRC VERIFIED 811008/2507936 (233.3s)
CRC VERIFIED 815104/2507936 (234.5s)
CRC VERIFIED 819200/2507936 (235.7s)
CRC VERIFIED 823296/2507936 (236.9s)
CRC VERIFIED 827392/2507936 (238.1s)
CRC VERIFIED 831488/2507936 (239.3s)
CRC VERIFIED 835584/2507936 (240.5s)
CRC VERIFIED 839680/2507936 (241.7s)
CRC VERIFIED 843776/2507936 (242.9s)
CRC VERIFIED 847872/2507936 (244.0s)
CRC VERIFIED 851968/2507936 (245.2s)
CRC VERIFIED 856064/2507936 (246.4s)
CRC VERIFIED 860160/2507936 (247.6s)
CRC VERIFIED 864256/2507936 (248.8s)
CRC VERIFIED 868352/2507936 (250.0s)
CRC VERIFIED 872448/2507936 (251.2s)
RAM REUSE VERIFIED 872448
RAM REUSE VERIFIED 876544
RAM REUSE VERIFIED 880640
RAM REUSE VERIFIED 884736
RAM REUSE VERIFIED 888832
RAM REUSE VERIFIED 892928
RAM REUSE VERIFIED 897024
RAM REUSE VERIFIED 901120
RAM REUSE VERIFIED 905216
RAM REUSE VERIFIED 909312
CRC VERIFIED 917504/2507936 (253.0s)
CRC VERIFIED 921600/2507936 (254.2s)
CRC VERIFIED 925696/2507936 (255.3s)
CRC VERIFIED 929792/2507936 (256.5s)
CRC VERIFIED 933888/2507936 (257.7s)
CRC VERIFIED 937984/2507936 (258.9s)
CRC VERIFIED 942080/2507936 (260.1s)
CRC VERIFIED 946176/2507936 (261.3s)
CRC VERIFIED 950272/2507936 (262.5s)
RAM REUSE VERIFIED 950272
RAM REUSE VERIFIED 954368
CRC VERIFIED 962560/2507936 (263.8s)
CRC VERIFIED 966656/2507936 (265.0s)
CRC VERIFIED 970752/2507936 (266.2s)
CRC VERIFIED 974848/2507936 (267.4s)
CRC VERIFIED 978944/2507936 (268.6s)
CRC VERIFIED 983040/2507936 (269.8s)
CRC VERIFIED 987136/2507936 (270.9s)
CRC VERIFIED 991232/2507936 (272.1s)
CRC VERIFIED 995328/2507936 (273.3s)
CRC VERIFIED 999424/2507936 (274.5s)
CRC VERIFIED 1003520/2507936 (275.7s)
CRC VERIFIED 1007616/2507936 (276.9s)
CRC VERIFIED 1011712/2507936 (278.1s)
CRC VERIFIED 1015808/2507936 (279.3s)
CRC VERIFIED 1019904/2507936 (280.5s)
CRC VERIFIED 1024000/2507936 (281.7s)
CRC VERIFIED 1028096/2507936 (282.9s)
CRC VERIFIED 1032192/2507936 (284.0s)
CRC VERIFIED 1036288/2507936 (285.2s)
CRC VERIFIED 1040384/2507936 (286.4s)
CRC VERIFIED 1044480/2507936 (287.6s)
CRC VERIFIED 1048576/2507936 (288.8s)
CRC VERIFIED 1052672/2507936 (290.0s)
CRC VERIFIED 1056768/2507936 (291.2s)
CRC VERIFIED 1060864/2507936 (292.4s)
CRC VERIFIED 1064960/2507936 (293.5s)
CRC VERIFIED 1069056/2507936 (294.7s)
CRC VERIFIED 1073152/2507936 (295.9s)
CRC VERIFIED 1077248/2507936 (297.1s)
CRC VERIFIED 1081344/2507936 (298.3s)
CRC VERIFIED 1085440/2507936 (299.5s)
CRC VERIFIED 1089536/2507936 (300.7s)
CRC VERIFIED 1093632/2507936 (301.9s)
CRC VERIFIED 1097728/2507936 (301.9s)
CRC VERIFIED 1101824/2507936 (302.5s)
CRC VERIFIED 1105920/2507936 (303.7s)
RAM REUSE VERIFIED 1105920
RAM REUSE VERIFIED 1110016
RAM REUSE VERIFIED 1114112
RAM REUSE VERIFIED 1118208
RAM REUSE VERIFIED 1122304
RAM REUSE VERIFIED 1126400
RAM REUSE VERIFIED 1130496
CRC VERIFIED 1138688/2507936 (305.4s)
CRC VERIFIED 1142784/2507936 (306.5s)
CRC VERIFIED 1146880/2507936 (307.8s)
RAM REUSE VERIFIED 1146880
CRC VERIFIED 1155072/2507936 (309.0s)
RAM REUSE VERIFIED 1155072
RAM REUSE VERIFIED 1159168
RAM REUSE VERIFIED 1163264
RAM REUSE VERIFIED 1167360
RAM REUSE VERIFIED 1171456
RAM REUSE VERIFIED 1175552
RAM REUSE VERIFIED 1179648
CRC VERIFIED 1187840/2507936 (310.7s)
RAM REUSE VERIFIED 1187840
RAM REUSE VERIFIED 1191936
RAM REUSE VERIFIED 1196032
RAM REUSE VERIFIED 1200128
CRC VERIFIED 1208320/2507936 (311.8s)
CRC VERIFIED 1212416/2507936 (312.8s)
CRC VERIFIED 1216512/2507936 (313.6s)
CRC VERIFIED 1220608/2507936 (314.5s)
CRC VERIFIED 1224704/2507936 (315.4s)
RAM REUSE VERIFIED 1224704
RAM REUSE VERIFIED 1228800
RAM REUSE VERIFIED 1232896
RAM REUSE VERIFIED 1236992
RAM REUSE VERIFIED 1241088
RAM REUSE VERIFIED 1245184
RAM REUSE VERIFIED 1249280
CRC VERIFIED 1257472/2507936 (316.9s)
CRC VERIFIED 1261568/2507936 (318.0s)
RAM REUSE VERIFIED 1261568
RAM REUSE VERIFIED 1265664
RAM REUSE VERIFIED 1269760
RAM REUSE VERIFIED 1273856
RAM REUSE VERIFIED 1277952
RAM REUSE VERIFIED 1282048
RAM REUSE VERIFIED 1286144
RAM REUSE VERIFIED 1290240
RAM REUSE VERIFIED 1294336
RAM REUSE VERIFIED 1298432
RAM REUSE VERIFIED 1302528
RAM REUSE VERIFIED 1306624
RAM REUSE VERIFIED 1310720
RAM REUSE VERIFIED 1314816
RAM REUSE VERIFIED 1318912
RAM REUSE VERIFIED 1323008
RAM REUSE VERIFIED 1327104
RAM REUSE VERIFIED 1331200
RAM REUSE VERIFIED 1335296
RAM REUSE VERIFIED 1339392
RAM REUSE VERIFIED 1343488
RAM REUSE VERIFIED 1347584
RAM REUSE VERIFIED 1351680
RAM REUSE VERIFIED 1355776
RAM REUSE VERIFIED 1359872
RAM REUSE VERIFIED 1363968
RAM REUSE VERIFIED 1368064
RAM REUSE VERIFIED 1372160
RAM REUSE VERIFIED 1376256
RAM REUSE VERIFIED 1380352
RAM REUSE VERIFIED 1384448
RAM REUSE VERIFIED 1388544
RAM REUSE VERIFIED 1392640
RAM REUSE VERIFIED 1396736
RAM REUSE VERIFIED 1400832
RAM REUSE VERIFIED 1404928
RAM REUSE VERIFIED 1409024
RAM REUSE VERIFIED 1413120
RAM REUSE VERIFIED 1417216
RAM REUSE VERIFIED 1421312
RAM REUSE VERIFIED 1425408
RAM REUSE VERIFIED 1429504
RAM REUSE VERIFIED 1433600
RAM REUSE VERIFIED 1437696
RAM REUSE VERIFIED 1441792
RAM REUSE VERIFIED 1445888
RAM REUSE VERIFIED 1449984
RAM REUSE VERIFIED 1454080
RAM REUSE VERIFIED 1458176
RAM REUSE VERIFIED 1462272
RAM REUSE VERIFIED 1466368
RAM REUSE VERIFIED 1470464
RAM REUSE VERIFIED 1474560
RAM REUSE VERIFIED 1478656
RAM REUSE VERIFIED 1482752
RAM REUSE VERIFIED 1486848
RAM REUSE VERIFIED 1490944
RAM REUSE VERIFIED 1495040
RAM REUSE VERIFIED 1499136
RAM REUSE VERIFIED 1503232
RAM REUSE VERIFIED 1507328
RAM REUSE VERIFIED 1511424
RAM REUSE VERIFIED 1515520
RAM REUSE VERIFIED 1519616
RAM REUSE VERIFIED 1523712
RAM REUSE VERIFIED 1527808
RAM REUSE VERIFIED 1531904
RAM REUSE VERIFIED 1536000
RAM REUSE VERIFIED 1540096
RAM REUSE VERIFIED 1544192
RAM REUSE VERIFIED 1548288
RAM REUSE VERIFIED 1552384
RAM REUSE VERIFIED 1556480
RAM REUSE VERIFIED 1560576
RAM REUSE VERIFIED 1564672
RAM REUSE VERIFIED 1568768
RAM REUSE VERIFIED 1572864
RAM REUSE VERIFIED 1576960
RAM REUSE VERIFIED 1581056
RAM REUSE VERIFIED 1585152
RAM REUSE VERIFIED 1589248
RAM REUSE VERIFIED 1593344
RAM REUSE VERIFIED 1597440
RAM REUSE VERIFIED 1601536
RAM REUSE VERIFIED 1605632
RAM REUSE VERIFIED 1609728
RAM REUSE VERIFIED 1613824
RAM REUSE VERIFIED 1617920
RAM REUSE VERIFIED 1622016
RAM REUSE VERIFIED 1626112
RAM REUSE VERIFIED 1630208
RAM REUSE VERIFIED 1634304
RAM REUSE VERIFIED 1638400
RAM REUSE VERIFIED 1642496
RAM REUSE VERIFIED 1646592
RAM REUSE VERIFIED 1650688
RAM REUSE VERIFIED 1654784
RAM REUSE VERIFIED 1658880
RAM REUSE VERIFIED 1662976
RAM REUSE VERIFIED 1667072
RAM REUSE VERIFIED 1671168
RAM REUSE VERIFIED 1675264
RAM REUSE VERIFIED 1679360
RAM REUSE VERIFIED 1683456
RAM REUSE VERIFIED 1687552
RAM REUSE VERIFIED 1691648
RAM REUSE VERIFIED 1695744
RAM REUSE VERIFIED 1699840
RAM REUSE VERIFIED 1703936
RAM REUSE VERIFIED 1708032
RAM REUSE VERIFIED 1712128
RAM REUSE VERIFIED 1716224
RAM REUSE VERIFIED 1720320
RAM REUSE VERIFIED 1724416
RAM REUSE VERIFIED 1728512
RAM REUSE VERIFIED 1732608
RAM REUSE VERIFIED 1736704
RAM REUSE VERIFIED 1740800
RAM REUSE VERIFIED 1744896
RAM REUSE VERIFIED 1748992
RAM REUSE VERIFIED 1753088
RAM REUSE VERIFIED 1757184
RAM REUSE VERIFIED 1761280
RAM REUSE VERIFIED 1765376
RAM REUSE VERIFIED 1769472
RAM REUSE VERIFIED 1773568
RAM REUSE VERIFIED 1777664
RAM REUSE VERIFIED 1781760
RAM REUSE VERIFIED 1785856
RAM REUSE VERIFIED 1789952
RAM REUSE VERIFIED 1794048
RAM REUSE VERIFIED 1798144
RAM REUSE VERIFIED 1802240
RAM REUSE VERIFIED 1806336
RAM REUSE VERIFIED 1810432
RAM REUSE VERIFIED 1814528
RAM REUSE VERIFIED 1818624
RAM REUSE VERIFIED 1822720
RAM REUSE VERIFIED 1826816
RAM REUSE VERIFIED 1830912
RAM REUSE VERIFIED 1835008
RAM REUSE VERIFIED 1839104
RAM REUSE VERIFIED 1843200
RAM REUSE VERIFIED 1847296
RAM REUSE VERIFIED 1851392
RAM REUSE VERIFIED 1855488
RAM REUSE VERIFIED 1859584
RAM REUSE VERIFIED 1863680
RAM REUSE VERIFIED 1867776
RAM REUSE VERIFIED 1871872
RAM REUSE VERIFIED 1875968
RAM REUSE VERIFIED 1880064
RAM REUSE VERIFIED 1884160
RAM REUSE VERIFIED 1888256
RAM REUSE VERIFIED 1892352
RAM REUSE VERIFIED 1896448
RAM REUSE VERIFIED 1900544
RAM REUSE VERIFIED 1904640
RAM REUSE VERIFIED 1908736
RAM REUSE VERIFIED 1912832
RAM REUSE VERIFIED 1916928
RAM REUSE VERIFIED 1921024
RAM REUSE VERIFIED 1925120
RAM REUSE VERIFIED 1929216
RAM REUSE VERIFIED 1933312
RAM REUSE VERIFIED 1937408
RAM REUSE VERIFIED 1941504
RAM REUSE VERIFIED 1945600
RAM REUSE VERIFIED 1949696
RAM REUSE VERIFIED 1953792
RAM REUSE VERIFIED 1957888
RAM REUSE VERIFIED 1961984
RAM REUSE VERIFIED 1966080
RAM REUSE VERIFIED 1970176
RAM REUSE VERIFIED 1974272
RAM REUSE VERIFIED 1978368
RAM REUSE VERIFIED 1982464
RAM REUSE VERIFIED 1986560
RAM REUSE VERIFIED 1990656
RAM REUSE VERIFIED 1994752
RAM REUSE VERIFIED 1998848
RAM REUSE VERIFIED 2002944
RAM REUSE VERIFIED 2007040
RAM REUSE VERIFIED 2011136
RAM REUSE VERIFIED 2015232
RAM REUSE VERIFIED 2019328
RAM REUSE VERIFIED 2023424
RAM REUSE VERIFIED 2027520
RAM REUSE VERIFIED 2031616
RAM REUSE VERIFIED 2035712
RAM REUSE VERIFIED 2039808
RAM REUSE VERIFIED 2043904
RAM REUSE VERIFIED 2048000
RAM REUSE VERIFIED 2052096
RAM REUSE VERIFIED 2056192
RAM REUSE VERIFIED 2060288
RAM REUSE VERIFIED 2064384
RAM REUSE VERIFIED 2068480
RAM REUSE VERIFIED 2072576
RAM REUSE VERIFIED 2076672
RAM REUSE VERIFIED 2080768
RAM REUSE VERIFIED 2084864
RAM REUSE VERIFIED 2088960
RAM REUSE VERIFIED 2093056
RAM REUSE VERIFIED 2097152
RAM REUSE VERIFIED 2101248
RAM REUSE VERIFIED 2105344
RAM REUSE VERIFIED 2109440
RAM REUSE VERIFIED 2113536
RAM REUSE VERIFIED 2117632
RAM REUSE VERIFIED 2121728
RAM REUSE VERIFIED 2125824
RAM REUSE VERIFIED 2129920
RAM REUSE VERIFIED 2134016
RAM REUSE VERIFIED 2138112
RAM REUSE VERIFIED 2142208
RAM REUSE VERIFIED 2146304
RAM REUSE VERIFIED 2150400
RAM REUSE VERIFIED 2154496
RAM REUSE VERIFIED 2158592
RAM REUSE VERIFIED 2162688
RAM REUSE VERIFIED 2166784
RAM REUSE VERIFIED 2170880
RAM REUSE VERIFIED 2174976
RAM REUSE VERIFIED 2179072
RAM REUSE VERIFIED 2183168
RAM REUSE VERIFIED 2187264
RAM REUSE VERIFIED 2191360
RAM REUSE VERIFIED 2195456
RAM REUSE VERIFIED 2199552
RAM REUSE VERIFIED 2203648
RAM REUSE VERIFIED 2207744
RAM REUSE VERIFIED 2211840
RAM REUSE VERIFIED 2215936
RAM REUSE VERIFIED 2220032
RAM REUSE VERIFIED 2224128
RAM REUSE VERIFIED 2228224
RAM REUSE VERIFIED 2232320
RAM REUSE VERIFIED 2236416
RAM REUSE VERIFIED 2240512
RAM REUSE VERIFIED 2244608
RAM REUSE VERIFIED 2248704
RAM REUSE VERIFIED 2252800
RAM REUSE VERIFIED 2256896
RAM REUSE VERIFIED 2260992
RAM REUSE VERIFIED 2265088
RAM REUSE VERIFIED 2269184
RAM REUSE VERIFIED 2273280
RAM REUSE VERIFIED 2277376
RAM REUSE VERIFIED 2281472
RAM REUSE VERIFIED 2285568
RAM REUSE VERIFIED 2289664
RAM REUSE VERIFIED 2293760
RAM REUSE VERIFIED 2297856
RAM REUSE VERIFIED 2301952
RAM REUSE VERIFIED 2306048
RAM REUSE VERIFIED 2310144
RAM REUSE VERIFIED 2314240
RAM REUSE VERIFIED 2318336
RAM REUSE VERIFIED 2322432
RAM REUSE VERIFIED 2326528
RAM REUSE VERIFIED 2330624
RAM REUSE VERIFIED 2334720
RAM REUSE VERIFIED 2338816
RAM REUSE VERIFIED 2342912
RAM REUSE VERIFIED 2347008
RAM REUSE VERIFIED 2351104
RAM REUSE VERIFIED 2355200
RAM REUSE VERIFIED 2359296
RAM REUSE VERIFIED 2363392
RAM REUSE VERIFIED 2367488
RAM REUSE VERIFIED 2371584
RAM REUSE VERIFIED 2375680
RAM REUSE VERIFIED 2379776
RAM REUSE VERIFIED 2383872
RAM REUSE VERIFIED 2387968
RAM REUSE VERIFIED 2392064
RAM REUSE VERIFIED 2396160
RAM REUSE VERIFIED 2400256
RAM REUSE VERIFIED 2404352
RAM REUSE VERIFIED 2408448
RAM REUSE VERIFIED 2412544
RAM REUSE VERIFIED 2416640
RAM REUSE VERIFIED 2420736
RAM REUSE VERIFIED 2424832
RAM REUSE VERIFIED 2428928
RAM REUSE VERIFIED 2433024
RAM REUSE VERIFIED 2437120
RAM REUSE VERIFIED 2441216
RAM REUSE VERIFIED 2445312
CRC VERIFIED 2453504/2507936 (337.2s)
RAM REUSE VERIFIED 2453504
RAM REUSE VERIFIED 2457600
CRC VERIFIED 2465792/2507936 (338.3s)
CRC VERIFIED 2469888/2507936 (339.3s)
CRC VERIFIED 2473984/2507936 (340.2s)
CRC VERIFIED 2478080/2507936 (341.3s)
CRC VERIFIED 2482176/2507936 (342.4s)
CRC VERIFIED 2486272/2507936 (343.5s)
CRC VERIFIED 2490368/2507936 (344.6s)
CRC VERIFIED 2494464/2507936 (345.7s)
RAM REUSE VERIFIED 2494464
CRC VERIFIED 2502656/2507936 (346.2s)
CRC VERIFIED 2506752/2507936 (346.6s)
CRC VERIFIED 2507936/2507936 (346.6s)
STAGE SWT6621S_DRAM_SDIO.bin 0x50000000 193224
CRC VERIFIED 4096/193224 (346.7s)
CRC VERIFIED 8192/193224 (346.7s)
CRC VERIFIED 12288/193224 (346.7s)
CRC VERIFIED 16384/193224 (346.7s)
CRC VERIFIED 20480/193224 (346.8s)
CRC VERIFIED 24576/193224 (346.8s)
CRC VERIFIED 28672/193224 (346.8s)
CRC VERIFIED 32768/193224 (346.8s)
CRC VERIFIED 36864/193224 (346.8s)
CRC VERIFIED 40960/193224 (346.8s)
CRC VERIFIED 45056/193224 (346.8s)
CRC VERIFIED 49152/193224 (346.9s)
CRC VERIFIED 53248/193224 (346.9s)
CRC VERIFIED 57344/193224 (346.9s)
CRC VERIFIED 61440/193224 (346.9s)
CRC VERIFIED 65536/193224 (346.9s)
CRC VERIFIED 69632/193224 (346.9s)
CRC VERIFIED 73728/193224 (347.0s)
CRC VERIFIED 77824/193224 (347.0s)
CRC VERIFIED 81920/193224 (347.0s)
CRC VERIFIED 86016/193224 (347.0s)
CRC VERIFIED 90112/193224 (347.0s)
CRC VERIFIED 94208/193224 (347.0s)
CRC VERIFIED 98304/193224 (347.0s)
CRC VERIFIED 102400/193224 (347.1s)
CRC VERIFIED 106496/193224 (347.1s)
CRC VERIFIED 110592/193224 (347.1s)
CRC VERIFIED 114688/193224 (347.1s)
CRC VERIFIED 118784/193224 (347.1s)
CRC VERIFIED 122880/193224 (347.1s)
CRC VERIFIED 126976/193224 (347.2s)
CRC VERIFIED 131072/193224 (347.2s)
CRC VERIFIED 135168/193224 (347.2s)
CRC VERIFIED 139264/193224 (347.2s)
CRC VERIFIED 143360/193224 (347.2s)
CRC VERIFIED 147456/193224 (347.2s)
CRC VERIFIED 151552/193224 (347.2s)
CRC VERIFIED 155648/193224 (347.3s)
CRC VERIFIED 159744/193224 (347.3s)
CRC VERIFIED 163840/193224 (347.3s)
CRC VERIFIED 167936/193224 (347.3s)
CRC VERIFIED 172032/193224 (347.3s)
CRC VERIFIED 176128/193224 (347.3s)
CRC VERIFIED 180224/193224 (347.4s)
CRC VERIFIED 184320/193224 (347.4s)
CRC VERIFIED 188416/193224 (347.4s)
CRC VERIFIED 192512/193224 (347.4s)
CRC VERIFIED 193224/193224 (347.4s)
